query,norm_attributes_json
B&R 8BVI0014HWS0.000-1 ACOPOS MULTI INVERTER MODULE I0014S,"{""module"": ""ACOPOS MULTI INVERTER MODULE"", ""key_attributes"": ""I0014S"", ""query"": ""B&R 8BVI0014HWS0.000-1 ACOPOS""}"
Motor Rotor,"{""component"": ""Rotor"", ""power_source"": ""Motor""}"
cooler kit motor,"{""kit"": ""cooler kit"", ""power source"": ""motor""}"
inline helical geared motors,"{""motor_type"": ""inline helical geared motors""}"
boparai auto switch pro,"{""attribute"": ""auto switch pro"", ""name"": ""boparai""}"
Carbon brush for AC HT Moter,"{""power_source"": ""AC HT Moter"", ""brush"": ""Carbon brush for""}"
800 W Wet Dry Vacuum Cleaner Motors,"{""power"": ""800 W"", ""type"": ""Wet Dry Vacuum Cleaner"", ""components"": ""Motors""}"
FL57STH56-2504ACF-25-ARK Hybrid Stepper Motor,"{""key_value_attributes"": ""Hybrid Stepper Motor"", ""model_number"": ""FL57STH56-2504ACF-25-ARK""}"
FL57STH51-2804AF- Hybrid Stepper Motor,"{""model_number"": ""FL57STH51-2804AF- Hybrid Stepper Motor""}"
90 watt ac geared motor,"{""power"": ""90 watt ac geared motor""}"
dwe4235 armature near udaipur,"{""model_number"": ""dwe4235"", ""location"": ""near udaipur"", ""part"": ""armature""}"
Electric Motor Starters,"{""starter type"": ""Electric Motor Starters""}"
ytc make smart positioner,"{""brand"": ""ytc make"", ""attribute"": ""smart positioner""}"
PowerSpeed Armature For Makita 3501 N,"{""power_speed"": ""Armature For Makita"", ""value"": ""3501 N""}"
arma texture,"{""attribute"": ""arma texture""}"
Single Phase Copper Slip Ring,"{""Ring Type"": ""Slip Ring"", ""Phase"": ""Single Phase"", ""Material"": ""Copper""}"
Venex Motor Starter,"{""brand"": ""Venex"", ""motor_starter"": ""Motor Starter""}"
Mobile+Starter+Prime,"{""features"": ""Mobile+Starter+Prime""}"
havells motor,"{""brand"": ""havells"", ""power_source"": ""motor""}"
AC Fail and DC Fail,"{""attribute"": ""AC Fail and DC Fail""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0MB0 0.06 kW,"{""power_consumption"": ""0.06 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0MB0""}"
Aluminium Winding Cooler Fan Motor,"{""cooling_system"": ""Winding Cooler Fan Motor"", ""material"": ""Aluminium""}"
FL42STH33-0956AF- Hybrid Stepper Motor,"{""model_number"": ""FL42STH33-0956AF- Hybrid Stepper Motor""}"
Mk 1 Dol Starter,"{""model_name"": ""Mk 1 Dol Starter""}"
fhp motors,"{""power_source"": ""fhp motors""}"
laxmi 3 hp singal fase motors,"{""power_source"": ""singal fase motors"", ""brand"": ""laxmi"", ""hp"": ""3 hp""}"
0502 exhaust fan motor,"{""attribute"": ""0502 exhaust fan motor""}"
dual shaft 1300RPM BLOWER FAN MOTOR,"{""shafts"": ""dual shaft"", ""speed"": ""1300RPM"", ""blower"": ""BLOWER FAN MOTOR""}"
105 W Alqer 16 Inch Super Cooler Motor,"{""Brand"": ""Alqer"", ""Cooler Type"": ""Super Cooler"", ""Power"": ""105 W"", ""Motor"": ""Motor"", ""Size"": ""16 Inch""}"
FL60STH65-2804AF Hybrid Stepper Motor,"{""model_number"": ""FL60STH65-2804AF"", ""motor_type"": ""Hybrid Stepper Motor""}"
टेक्समो मोटर स्पेयर पार्ट्स,"{""brand"": ""टेक्समो मोटर"", ""parts"": ""स्पेयर पार्ट्स""}"
Crompton 2hp Gf6834 Single Phase Electric Motor 1440 Rpm,"{""power"": ""2hp"", ""motor_type"": ""Single Phase Electric Motor"", ""rpm"": ""1440 Rpm"", ""brand"": ""Crompton"", ""model_number"": ""Gf6834""}"
Bch Submersible Pump Starters,"{""pump_type"": ""Submersible Pump"", ""brand"": ""Starters"", ""model_number"": ""Bch""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0,"{""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0""}"
AC Geared Motor,"{""power_source"": ""AC"", ""drive_type"": ""Geared Motor""}"
Crompton 2hp Gf6834 Single Phase Electric Motor,"{""power"": ""2hp"", ""phase"": ""Single Phase"", ""brand"": ""Crompton"", ""motor"": ""Electric Motor"", ""code"": ""Gf6834""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0SA0 2.7 kW,"{""power_consumption"": ""2.7 kW"", ""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0SA0""}"
Ecoflam Burner Servo Motor,"{""feature"": ""Ecoflam Burner"", ""motor"": ""Servo Motor""}"
"Three Phase Motor,Lubi Pumps,Lubi Electrical Motor__I__m__","{""power_source"": ""Three Phase Motor,Lubi Pumps,Lubi Electrical Motor__I__m__""}"
VTV YN90-120 Motor,"{""motor"": ""Motor"", ""model_number"": ""VTV YN90-120""}"
Electric Motors,"{""power_source"": ""Electric Motors""}"
induction motor,"{""motor_type"": ""induction motor""}"
60W Desert Cooler Motor,"{""power"": ""60W"", ""type"": ""Desert Cooler"", ""component"": ""Motor""}"
FL42STH47-1684AF-08- Hybrid Stepper Motor,"{""key_value_attributes"": ""FL42STH47-1684AF-08- Hybrid Stepper Motor""}"
electronic-starter,"{""attribute"": ""electronic-starter""}"
FL42STH38-1684AF Hybrid Stepper Motor,"{""model_number"": ""FL42STH38-1684AF"", ""motor_type"": ""Hybrid Stepper Motor""}"
Lubi LGH90GF50H15K Gare Motor,"{""motor"": ""Gare Motor"", ""model_number"": ""Lubi LGH90GF50H15K""}"
1FK2104-6AF10-0SB0,"{""attribute"": ""1FK2104-6AF10-0SB0""}"
Ml 2 Dol Starter,"{""value"": ""Dol Starter"", ""Ml"": ""2""}"
siemens electric ac motor 75 hp 1440 rpm,"{""brand"": ""siemens"", ""power"": ""75 hp"", ""motor"": ""electric ac motor"", ""rpm"": ""1440 rpm""}"
Vishal 8al2 Air Cooler Motor,"{""product_type"": ""Air Cooler"", ""motor"": ""Motor"", ""brand"": ""Vishal"", ""code"": ""8al2""}"
ELLDO cooler motor,"{""brand"": ""ELLDO"", ""feature"": ""cooler"", ""power_source"": ""motor""}"
CP - 101 ACTUATOR,"{""actuator"": ""ACTUATOR"", ""code"": ""CP - 101""}"
DZ Gear Motor Brushed DC Motor,"{""motor_type"": ""Brushed DC Motor"", ""model_designation"": ""DZ Gear Motor""}"
dual shaft blower fan motor,"{""feature"": ""dual shaft blower fan motor""}"
220 v dual shaft BLOWER FAN MOTOR,"{""voltage"": ""220 v"", ""shafts"": ""dual shaft"", ""blower fan motor"": ""BLOWER FAN MOTOR""}"
220  v 1 dual shaft BLOWER FAN MOTOR,"{""voltage"": ""220 v"", ""shafts"": ""dual shaft"", ""blower fan motor"": ""BLOWER FAN MOTOR"", ""value"": ""1""}"
"Crompton 2hp Gf6834 Single Phase Electric Motor, 1440 rpm","{""power"": ""2hp"", ""motor_type"": ""Single Phase Electric Motor, 1440 rpm"", ""brand"": ""Crompton"", ""model_number"": ""Gf6834""}"
"AT12 Single Chain Actuator, 425mm Stroke - Window Automation","{""Actuator"": ""Single Chain"", ""Stroke - Window Automation"": ""Actuator, 425mm Stroke"", ""Model"": ""AT12""}"
"SECO N 24 25 Single Chain Actuator, 250/350mm Stroke - Window Automation","{""Actuator"": ""Single Chain"", ""Model Number"": ""SECO N 24"", ""Stroke - Window Automation"": ""250/350mm Stroke -"", ""Chain"": ""Single Chain""}"
Siemens Raja+ Direct On Line Starters,"{""brand"": ""Siemens Raja+ Direct On Line Starters""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0 1 kW,"{""motor_type"": ""SERVO MOTOR"", ""brand"": ""SIEMENS SIMOTICS"", ""model_number"": ""S-1FK2"", ""power"": ""1 kW"", ""part_number"": ""1FK2104-6AF10-1MB0""}"
cg cooler motor,"{""attribute"": ""cg cooler motor""}"
Makita 9047 Armature By PowerSpeed,"{""brand"": ""Makita"", ""attribute"": ""Armature By PowerSpeed"", ""number"": ""9047""}"
Electric Motor Housing,"{""power_source"": ""Electric Motor Housing""}"
Vibro Sifter Vibratory Motors,"{""sifter type"": ""Vibro Sifter"", ""power source"": ""Vibratory Motors""}"
FL28STH45-0674A - Hybrid Stepper Motor,"{""product_code"": ""FL28STH45-0674A - Hybrid Stepper Motor""}"
Single Phase D.C. Motor,"{""power_source"": ""Single Phase"", ""motor_type"": ""D.C. Motor""}"
electric torque,"{""power_source"": ""electric"", ""feature"": ""torque""}"
Godrej Lawkim Ac Motors,"{""brand"": ""Godrej"", ""motors"": ""Ac Motors"", ""attribute"": ""Lawkim""}"
dual shaft FAN MOTOR,"{""component"": ""FAN MOTOR"", ""shafts"": ""dual shaft""}"
Crompton Electric Motor,"{""motor"": ""Electric Motor"", ""brand"": ""Crompton""}"
Mini Fan Motor,"{""fan"": ""Mini Fan"", ""motor"": ""Fan Motor""}"
3d minuture,"{""type"": ""3d"", ""minature"": ""minature""}"
Electric Motor with Gear,"{""power_source"": ""Electric Motor with Gear""}"
FL28STH45-0674AF-14 - Hybrid Stepper Motor,"{""model_number"": ""FL28STH45-0674AF-14 - Hybrid"", ""motor_type"": ""Stepper Motor""}"
mixer-grinder-motor,"{""device_type"": ""mixer-grinder-motor""}"
Sew-eurodrive servo Motor cmp50m/pk/vr/rh1m/sm1,"{""drive"": ""servo Motor"", ""model_number"": ""cmp50m/pk/vr/rh1m/sm1"", ""brand_or_series"": ""Sew-eurodrive""}"
"Sew-eurodrive ,servo Motor ,cmp50m/pk/vr/rh1m/sm1","{""attributes"": ""Sew-eurodrive ,servo Motor ,cmp50m/pk/vr/rh1m/sm1""}"
vane pneumatic actuator,"{""actuator"": ""vane pneumatic actuator""}"
Flange Mounted Motor,"{""mounting"": ""Flange Mounted"", ""power_source"": ""Motor""}"
FL57STH56-2504ACF-25 - Hybrid Stepper Motor,"{""key_value_attributes"": ""FL57STH56-2504ACF-25 - Hybrid Stepper Motor""}"
FL57STH56-2804AF-01- Hybrid Stepper Motor,"{""key_value_attributes"": ""FL57STH56-2804AF-01- Hybrid Stepper Motor""}"
MU2 Dol Motor Starter,"{""model_number"": ""MU2"", ""motor_starter"": ""Dol Motor Starter""}"
power tool cm4,"{""tool_type"": ""power tool"", ""cm"": ""cm4""}"
power tool near delhi cm4,"{""tool_type"": ""power tool"", ""location"": ""near delhi"", ""cm"": ""cm4""}"
crompton-motors,"{""key-value attributes"": ""crompton-motors""}"
Voltas AC Outdoor Fan Motor,"{""product_name"": ""Voltas"", ""fan_type"": ""AC Outdoor Fan"", ""motor_type"": ""Fan Motor""}"
Makita MT-950 Armature By PowerSpeed,"{""model_number"": ""MT-950"", ""power_source"": ""Armature By PowerSpeed"", ""brand"": ""Makita""}"
1500 cfm FAN MOTOR,"{""fan type"": ""FAN"", ""motor"": ""FAN MOTOR"", ""cfm"": ""1500""}"
230v apex cool 410w exhaust fan motor,"{""power"": ""410w"", ""voltage"": ""230v"", ""brand"": ""apex cool"", ""component"": ""exhaust fan motor""}"
FL57STH76-2504ACF-ARK Hybrid Stepper Motor,"{""key_value_attributes"": ""Hybrid Stepper Motor"", ""model_number"": ""FL57STH76-2504ACF-ARK""}"
Clogging Test,"{""test_type"": ""Clogging Test""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0,"{""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0""}"
crompton motor 1 hp,"{""motor"": ""crompton motor"", ""power"": ""1 hp""}"
crompton motor near tinsukia 1 hp,"{""motor"": ""crompton motor"", ""location"": ""near tinsukia"", ""power"": ""1 hp"", ""packaging"": ""near tinsukia""}"
motorized pulley drum motor,"{""power_source"": ""motorized pulley drum motor""}"
crompton motor,"{""motor"": ""crompton motor""}"
Belimo Damper Fire Actuator,"{""Actuator"": ""Fire Actuator"", ""Damper"": ""Belimo"", ""Part"": ""Damper""}"
e42 90w 2850/3450rpm motor single phase,"{""power"": ""90w"", ""motor"": ""single phase"", ""speed"": ""2850/3450rpm"", ""model_number"": ""e42""}"
Slip Ring Assemblies,"{""assembly_type"": ""Slip Ring Assemblies""}"
Siemens DOL Starter,"{""starter type"": ""DOL Starter"", ""brand"": ""Siemens""}"
pmdc gear motor 0-25-hp 25-200rpm 12-180volt,"{""motor_type"": ""pmdc gear motor"", ""voltage"": ""12-180volt"", ""speed"": ""25-200rpm"", ""power"": ""0-25-hp""}"
Vertical Motors,"{""orientation"": ""Vertical"", ""power_source"": ""Motors""}"
PowerSpeed Armature For Makita 9500 NB,"{""power_speed"": ""Armature For Makita"", ""key_value_attributes"": ""9500 NB""}"
side shaft gear motor,"{""drive_type"": ""side shaft gear motor""}"
FEBRICATION BLOWER 1HP SINGLE PHASE,"{""power"": ""1HP"", ""phase"": ""SINGLE PHASE"", ""product_type"": ""FEBRICATION"", ""blower"": ""BLOWER""}"
a40k/m566w/g7.2 (60 square pl gear),"{""attribute"": ""a40k/m566w/g7.2 (60 square pl gear)""}"
1400 rpm single phase 230 v flange mounted 230v apex cool 410w exhaust fan motor,"{""fan_type"": ""exhaust fan motor"", ""voltage"": ""230v flange mounted"", ""speed"": ""1400 rpm"", ""power"": ""410w"", ""phase"": ""single phase"", ""brand"": ""apex cool"", ""voltage_input"": ""230v""}"
crompton 10 hp motor,"{""motor"": ""10 hp motor"", ""brand"": ""crompton""}"
foot mounting 1 piece 1440 rpm Single Phase Motors,"{""mounting"": ""foot mounting"", ""speed"": ""1440 rpm"", ""power"": ""Single Phase Motors"", ""quantity"": ""1 piece""}"
ABB Servo Motors,"{""motors"": ""ABB Servo Motors""}"
20 HP Three Phase Electric Motor,"{""power"": ""20 HP"", ""operation"": ""Three Phase Electric Motor""}"
1FK2104-6AF10-1MB0,"{""attribute"": ""1FK2104-6AF10-1MB0""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0MA0 2.7 kW,"{""power_consumption"": ""2.7 kW"", ""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0MA0""}"
mil 37 38 diaphragm actuators,"{""actuators"": ""diaphragm actuators"", ""mil"": ""37"", ""value"": ""38""}"
Petrosa starter mini 1 KG,"{""product_type"": ""mini"", ""brand"": ""Petrosa starter"", ""weight"": ""1 KG"", ""material"": ""Pet""}"
BRUSHLESS MOTOR DYS 1800KV,"{""motor"": ""BRUSHLESS MOTOR"", ""key_value_attributes"": ""DYS 1800KV""}"
Petrosa starter mini 1KG,"{""product_type"": ""mini"", ""brand"": ""Petrosa starter"", ""weight"": ""1KG"", ""material"": ""Pet""}"
Petrosa starter mini 3 KG,"{""product_type"": ""mini"", ""weight"": ""3 KG"", ""brand"": ""Petrosa starter"", ""material"": ""Petrosa""}"
Petrosa starter mini 3KG,"{""product_type"": ""mini"", ""weight"": ""3KG"", ""brand"": ""Petrosa starter"", ""material"": ""Petrosa""}"
Weishaupt Burner Servo Motor,"{""attribute"": ""Burner Servo Motor"", ""brand"": ""Weishaupt""}"
Petrosa starter mini 8 KG,"{""product_name"": ""mini"", ""brand"": ""Petrosa starter"", ""weight"": ""8 KG"", ""material"": ""Pet""}"
Petrosa starter mini 8KG,"{""product_type"": ""mini"", ""brand"": ""Petrosa"", ""weight"": ""8KG"", ""attribute"": ""starter""}"
apex cool 410w single phase exhaust fan motor,"{""power"": ""410w"", ""fan type"": ""exhaust fan motor"", ""brand"": ""apex cool"", ""phase"": ""single phase""}"
danfoss original brand new h1b80/h1b110 motor,"{""brand"": ""danfoss"", ""model_number"": ""h1b80/h1b110"", ""condition"": ""brand new"", ""motor"": ""motor"", ""brand_name"": ""original brand""}"
3 HP Three Phase Induction Motor 960 Rpm,"{""motor_type"": ""Three Phase Induction Motor"", ""speed"": ""960 Rpm"", ""power"": ""3 HP""}"
gpn gear motor,"{""model_number"": ""gpn"", ""power_source"": ""gear motor""}"
Dol Motor Starters,"{""motor"": ""Dol Motor"", ""features"": ""Starters""}"
Oil Starter Magnet Call,"{""magnet"": ""Magnet"", ""call"": ""Magnet Call""}"
AC MOTAR,"{""power_source"": ""AC MOTAR""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1SB0 0.57 kW,"{""motor_type"": ""SERVO MOTOR"", ""power_consumption"": ""0.57 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1SB0""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0SB0 0.06 kW,"{""power_consumption"": ""0.06 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0SB0""}"
50HP Abb Electric Motor,"{""power"": ""50HP"", ""brand"": ""Abb Electric Motor""}"
10 hp crompton motor,"{""motor"": ""crompton motor"", ""power"": ""10 hp""}"
PowerSpeed Armature for Gsh-500 Bosch,"{""power_speed"": ""Armature for Gsh-500"", ""brand"": ""Bosch""}"
SIEMENS SINAMICS S200 Servo Motor 1FL2306-4AC01-0HB0 0.1 kW,"{""power_consumption"": ""0.1 kW"", ""model_number"": ""SIEMENS SINAMICS S200 Servo Motor 1FL2306-4AC01-0HB0""}"
helical gear motor,"{""mechanism"": ""helical gear motor""}"
3330601 Cummins Electronic Fuel Control Actuator,"{""query"": ""Cummins Electronic Fuel Control Actuator"", ""part_number"": ""3330601""}"
Stepper Motor,"{""motor_type"": ""Stepper Motor""}"
desert type copper 32 mm 1 cooler motor,"{""type"": ""desert type"", ""material"": ""copper"", ""size"": ""32 mm"", ""feature"": ""1 cooler motor""}"
9067/9069 Makita Armature By PowerSpeed,"{""model_number"": ""9067/9069"", ""power_source"": ""By PowerSpeed"", ""brand"": ""Makita"", ""mechanism"": ""Armature""}"
1 2 hp 775 12 v rs775 10000rpm 12v dc motor,"{""key_value_attributes"": ""1"", ""power"": ""2 hp"", ""model_number"": ""rs775"", ""speed"": ""10000rpm"", ""voltage"": ""12v dc motor"", ""value"": ""775"", ""voltage_input"": ""12v""}"
5hp 3phase motor,"{""power"": ""5hp"", ""motor"": ""3phase motor""}"
Bharat Benz Aluminium Housing,"{""Housing"": ""Aluminium"", ""Brand"": ""Bharat Benz""}"
lubi three phase induction motors,"{""power_source"": ""three phase induction motors"", ""brand_or_name"": ""lubi""}"
Crane Geared Brake Motor,"{""mechanism"": ""Crane"", ""power_source"": ""Geared Brake Motor""}"
1400 rpm single phase 230 v 230v apex cool 410w single phase exhaust fan motor,"{""fan type"": ""exhaust fan motor"", ""speed"": ""1400 rpm"", ""power"": ""410w"", ""voltage"": ""single phase 230v 230v"", ""brand"": ""apex cool"", ""phase"": ""single phase""}"
12v dc motor,"{""power_source"": ""12v dc motor""}"
1400 rpm 230 v apex cool 410w single phase exhaust fan motor,"{""fan type"": ""exhaust fan motor"", ""voltage"": ""230 v"", ""speed"": ""1400 rpm"", ""power"": ""410w"", ""phase"": ""single phase"", ""brand"": ""apex cool""}"
Suguna Motor Starter,"{""attribute"": ""Suguna"", ""motor_starter"": ""Motor Starter""}"
reverse forward 3 phase 20 3 hp starters,"{""phase"": ""3 phase"", ""power"": ""3 hp starters"", ""movement"": ""reverse forward"", ""quantity"": ""20""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2210-3AC01-0MB0 5.5 kW,"{""motor_type"": ""SERVO MOTOR"", ""power_output"": ""5.5 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2210-3AC01-0MB0"", ""attribute"": ""SIEMENS""}"
rexroth servo drive,"{""drive"": ""servo drive"", ""brand"": ""rexroth""}"
Valve Positioners,"{""function"": ""Valve Positioners""}"
FOOT Mounted Motor (model Gf 6834),"{""motor"": ""Motor (model Gf 6834)"", ""mounting"": ""FOOT Mounted""}"
1400 rpm apex cool 410w single phase exhaust fan motor,"{""fan type"": ""exhaust fan motor"", ""speed"": ""1400 rpm"", ""power"": ""410w"", ""phase"": ""single phase"", ""brand"": ""apex cool""}"
Motor Stater,"{""power_source"": ""Motor Stater""}"
Paragon Motor Starter,"{""motor_starter"": ""Paragon Motor Starter""}"
UR006G XGT Brushless Motor Active Feedback Sensing,"{""Motor"": ""Active Feedback Sensing"", ""Brand"": ""XGT"", ""Model Number"": ""UR006G"", ""Type"": ""Brushless Motor""}"
schubert and salzer positioner,"{""positioner"": ""schubert and salzer"", ""attribute"": ""positioner""}"
polisher-motor,"{""function"": ""polisher-motor""}"
Electric Vibratory Motor,"{""motor_type"": ""Electric Vibratory Motor""}"
Abb Electric Motor 50hp 1500 Rpm,"{""motor"": ""Electric Motor"", ""brand"": ""Abb"", ""speed"": ""1500 Rpm"", ""power"": ""50hp""}"
SIEMENS SIMOTICS S-1FK2 1FK2106-4AF11-1SA0  servo motor 2.7 kW,"{""motor"": ""servo motor"", ""brand"": ""SIEMENS SIMOTICS S-1FK2 1FK2106-4AF11-1SA0"", ""power"": ""2.7 kW""}"
Siemens Face Mounted Induction Motor,"{""motor_type"": ""Induction Motor"", ""mounting"": ""Face Mounted"", ""brand"": ""Siemens""}"
5 HP Three Phase Motor,"{""power"": ""5 HP"", ""motor_type"": ""Three Phase Motor""}"
APEX COOL 410W MOTOR,"{""power"": ""410W MOTOR"", ""brand"": ""APEX COOL""}"
Motar Starter,"{""power_source"": ""Motar Starter""}"
Siemens 7.5 KW 2 HP Electric Motor,"{""power_consumption"": ""7.5 KW"", ""brand"": ""Siemens"", ""motor"": ""Electric Motor"", ""horsepower"": ""2 HP""}"
Unbalance Vibratory Motors,"{""attribute"": ""Unbalance Vibratory Motors""}"
Sew Brake Motor,{}
ABB Three Phase Induction Motor,"{""motor_type"": ""Three Phase Induction Motor"", ""brand"": ""ABB""}"
Oriental motor,"{""motor"": ""Oriental motor""}"
3 phase auto starter,"{""power"": ""3 phase"", ""feature"": ""auto starter""}"
Type 200 17 Inch Copper Exhaust Fan Motor,"{""Fan"": ""Exhaust Fan"", ""Material"": ""Copper"", ""Type"": ""Type 200"", ""Feature"": ""Motor"", ""Size"": ""17 Inch""}"
Openable Gate Motor,"{""motor"": ""Openable Gate Motor""}"
hollow shaft encoder,"{""shaft type"": ""hollow shaft"", ""device"": ""encoder""}"
pbl-right-angled-helical-bevel-geared-motor,"{""motor_type"": ""geared-motor"", ""model_number"": ""pbl-right-angled-helical-bevel""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF00-1MA0 2.7 kW,"{""power_consumption"": ""2.7 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF00-1MA0"", ""key_attributes"": ""SIEMENS""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF00-1SA0  2.7 kW,"{""power_consumption"": ""2.7 kW"", ""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF00-1SA0""}"
"Foredom Flex Shaft Motor, Foredom Dental Motor, Art &Amp; Craft","{""Brand"": ""Foredom"", ""Motor"": ""Flex Shaft Motor, Foredom Dental Motor, Art &Amp; Craft"", ""Brand_of_motor"": ""Foredom""}"
lift-motor,"{""power_source"": ""lift-motor""}"
aira mild steel pneumatic rotary actuator,"{""actuator"": ""pneumatic rotary actuator"", ""material"": ""mild steel"", ""brand"": ""aira"", ""type"": ""air""}"
flange type 25 hp motor,"{""flange type"": ""flange type"", ""power"": ""25 hp motor""}"
3 phase dol motor starter,"{""motor"": ""dol motor starter"", ""phase"": ""3 phase""}"
Siemens Three Phase Electric Motor,"{""power_source"": ""Siemens Three Phase Electric Motor""}"
Lubi Electrical Motor,"{""motor"": ""Electrical Motor"", ""brand"": ""Lubi""}"
Moter stater,"{""power_source"": ""Moter stater""}"
"HUMSER 12V 10RPM, 24V 20RPM High Torque Shaft Self-Lock Engine DC Micro Gear Motor With Brass Pully","{""Motor Type"": ""DC Micro Gear Motor With Brass Pully"", ""Lock"": ""Self-Lock Engine"", ""Speed"": ""10RPM, 24V 20RPM"", ""Voltage"": ""12V"", ""Brand"": ""HUMSER"", ""Shaft"": ""High Torque Shaft""}"
geared motor,"{""power_source"": ""geared motor""}"
2285625342 statorhv 2030,"{""key-value attributes"": ""statorhv 2030"", ""query"": ""2285625342""}"
slipring motor,"{""mechanism"": ""slipring motor""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK10-0SB0 0.12 kW,"{""power_consumption"": ""0.12 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK10-0SB0""}"
Kisrloskar Motar,"{""brand"": ""Kisrloskar"", ""power_source"": ""Motar""}"
Gate Motor,"{""power_source"": ""Gate Motor""}"
vibratory motor,"{""motor_type"": ""vibratory motor""}"
270Hp Siemens Motor,"{""Motor"": ""Siemens Motor"", ""Horsepower"": ""270Hp""}"
bft deimos bt a600 gate motor,"{""model_number"": ""bt a600"", ""brand"": ""bft deimos""}"
Panasonic Servo Motor MHMF042L1U2M  400Watt,"{""motor"": ""Servo Motor"", ""brand"": ""Panasonic"", ""model_number"": ""MHMF042L1U2M"", ""power"": ""400Watt""}"
"3000 rpm Siemens 1FL6062-1AC61-0AA1 Servo Motor, 1.00 kW, 400V","{""motor_speed"": ""3000 rpm"", ""brand"": ""Siemens"", ""model_number"": ""1FL6062-1AC61-0AA1"", ""power_output"": ""Servo Motor, 1.00 kW, 400V""}"
fv5029 010,"{""attribute"": ""010"", ""code"": ""fv5029""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0SB0 0.57 kW,"{""motor_type"": ""SERVO MOTOR"", ""power_consumption"": ""0.57 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0SB0""}"
"""fv5029-010""","{""product_code"": ""fv5029-010""}"
DC Motor Carbon Brushes,"{""motor"": ""DC Motor"", ""brushes"": ""Carbon""}"
Three Phase Dol Motor Starter,"{""power_source"": ""Three Phase"", ""motor_type"": ""Dol Motor Starter""}"
three phase 2800 rpm 2 0.25 hp electric vibro motor,"{""power_source"": ""electric vibro motor"", ""phase"": ""three phase"", ""speed"": ""2800 rpm"", ""attribute"": ""2"", ""hp"": ""0.25 hp""}"
Motor Encoder,"{""component"": ""Encoder"", ""power_source"": ""Motor""}"
macwell brand motor,"{""brand"": ""macwell"", ""power source"": ""motor""}"
macwel brand motor,"{""brand"": ""macwel"", ""power source"": ""motor""}"
gearmoter,"{""power_source"": ""gearmoter""}"
3 phase 40 hp oil starter,"{""power"": ""3 phase"", ""hp"": ""40 hp"", ""starter"": ""oil""}"
my cool star,"{""brand"": ""my cool star""}"
DC Shunt Motor,"{""motor_type"": ""DC"", ""function"": ""Shunt Motor""}"
Cooler Motor 1 Inch,"{""attribute"": ""Cooler Motor"", ""size"": ""1 Inch""}"
Stirrer Motor,"{""component"": ""Stirrer Motor""}"
Acurater plate,"{""plate"": ""Acurater plate""}"
Weg- Germany 2880RPM Motor,"{""country_of_origin"": ""Germany"", ""speed"": ""2880RPM"", ""brand_or_model"": ""Weg"", ""power_source"": ""Motor""}"
pump-starter,"{""component"": ""pump-starter""}"
2283752193 motor6v 20a,"{""key_value_attributes"": ""motor6v 20a"", ""query"": ""2283752193""}"
