query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9,qmeans_attr_key_10,qmeans_attr_value_10,gemini_attr_key_10,gemini_attr_value_10
industrial solvent extraction plant teknik 100 liter 230 v manual,5,6,automation grade,manual,capacity,100 liter,brand,teknik,control,manual,capacity,100 liter,type,plant,usage,industrial,usage,"""industrial",voltage,230 v,usage,solvent extraction,,,voltage,230 v,,,,,,,,,,,,,,,,
industrial wpc extruder eureka 750 kg/hr 400 v fully automatic,6,5,automation grade,automatic,capacity,750 kg/hr,brand,eureka,feature,fully automatic,capacity,750 kg/hr,material,"""wpc",type,extruder,type,extruder,usage,industrial,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,,,
industrial xlpe cable extruder teknik 1 ton 380 v fully automatic,7,6,automation grade,automatic,capacity,1 ton,brand,teknik,feature,fully automatic,capacity,1 ton,product,"""xlpe cable",material,xlpe,type,extruder,type,extruder,usage,industrial,usage,industrial,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,
jockey extruder,2,1,brand,jockey,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jockey extruder - popular make, 500 liter, ss 316, three phase",3,5,brand,jockey,brand,"""jockey",capacity,500,capacity,500 liter,phase,three phase,material,ss 316,,,power,three phase,,,type,extruder,,,,,,,,,,,,,,,,,,,,
"jockey extruder - twin screw design, 750 kg/hr output, 380 v, 3 phase, stainless steel construction, unique brand, semi-automatic operation",3,6,automation grade,semi-automatic,capacity,750 kg/hr,brand,jockey,design,"""twin screw",material,stainless steel,material,stainless steel,,,operation,semi-automatic,,,power,3 phase,,,voltage,380 v,,,,,,,,,,,,,,,,
jockey extruder 50 hp motor 100 tpd,4,3,brand,jockey,capacity,100 tpd,capacity,100 tpd,power,50 hp,power,50 hp,type,"""extruder",type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
jockey extruder for chemical industries 200 kg/hr,3,3,brand,jockey,capacity,200 kg/hr,capacity,200 kg/hr,type,"""extruder",type,extruder,usage,chemical industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jockey extruder machine 50 tpd output 220 v single phase hdpe,6,5,brand,jockey,capacity,50 tpd,capacity,50 tpd,material,hdpe,material,hdpe,power_supply,single phase,phase,single phase,type,"""extruder",type,extruder,voltage,220 v,voltage,220 v,,,,,,,,,,,,,,,,,,
jockey extruder machine 50 tpd output 480 v three phase ss,6,5,brand,jockey,capacity,50 tpd,capacity,50 tpd,material,ss,material,ss,power_supply,three phase,phase,three phase,type,"""extruder",type,extruder,voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,,,,
"jockey extruder machine specifications - brand: gold star, capacity: 1 tpd, voltage: 440 v, phase: single phase, body material: mild steel, automation: semi-automatic",2,7,automation grade,semi-automatic,automation,semi-automatic,brand,jockey,body material,mild steel,,,brand,"""gold star",,,capacity,1 tpd,,,phase,single phase,,,type,extruder,,,voltage,440 v,,,,,,,,,,,,
jockey extruder with 50 kw power 380 v,3,3,brand,jockey,power,50 kw,type,extruder,type,"""extruder",voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jockey extruder with 7.5 hp power 440 v,4,3,brand,jockey,power,7.5 hp,motor power,7.5 hp,type,"""extruder",type,extruder,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,
kabra centrifuge extractor,2,1,brand,kabra,product,centrifuge extractor,product,centrifuge extractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kabra foam extruder 500 kg,2,3,brand,kabra,capacity,500 kg,capacity,500 kg,material,foam,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"kabra fully automatic metal recovery plant machine with 20 kg capacity, 415 v voltage, three phase, titanium body, suitable for industrial",4,7,automation grade,automatic,capacity,20 kg,brand/make,kabra,material,titanium,capacity,20 kg,power,three phase,usage,industrial,type,plant,,,usage,"""metal recovery",,,usage,industrial,,,voltage,415 v,,,,,,,,,,,,
kabra gold refinery plant,2,2,brand,kabra,type,refinery,usage,gold,usage,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kabra hdpe extruder,3,2,brand,kabra,material,hdpe,material,hdpe,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"kabra make fully automatic wpc extruder, production capacity: 500 ton, voltage: 440 v, phase: single phase, material: titanium, power: 3 kw",4,8,automation grade,automatic,brand,"""kabra",brand,kabra,capacity,500 ton,capacity,"500 ton,",feature,fully automatic,material,wpc,material,wpc,,,material,titanium,,,phase,single phase,,,power,3 kw,,,voltage,440 v,,,,,,,,
"kabra manual gold refining machine, 5 ton, 240 v, 1 phase",3,5,automation grade,manual,capacity,5 ton,brand,kabra,phase,1 phase,usage,gold refining,type,machine,,,usage,"""gold refining",,,voltage,240 v,,,,,,,,,,,,,,,,,,,,
kabra plastic recycling extruder,3,3,brand,kabra,brand,kabra plastic,type,extruder,type,extruder,usage,plastic recycling,usage,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kabra pp extruder 50 tpd,4,3,brand,kabra,capacity,50 tpd,capacity,50 tpd,material,"""pp",material,pp,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
kabra semi-automatic foam extruder,4,3,automation grade,semi-automatic,automation,semi-automatic,brand,kabra,material,foam,type,extruder,type,extruder,usage,foam,,,,,,,,,,,,,,,,,,,,,,,,,,
kabra semi-automatic gold refinery plant,2,3,automation grade,semi-automatic,automation,semi-automatic,brand,kabra,type,refinery,,,usage,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kabra solvent extraction plant 1000 kg/hr,1,3,capacity,1000 kg/hr,brand,kabra,,,capacity,1000 kg/hr,,,usage,solvent extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kabra tube extrusion machine,1,2,brand,kabra,machine type,extrusion,,,product,tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lab extruder 10 kw motor 200 kg,4,4,capacity,200 kg,capacity,200 kg,power,10 kw,power,10 kw,type,extruder,type,"""extruder",usage,lab,usage,lab,,,,,,,,,,,,,,,,,,,,,,,,
lab extruder 20 kw motor 200 kg,4,4,capacity,200 kg,capacity,200 kg,power,20 kw,power,20 kw,type,extruder,type,"""extruder",usage,lab,usage,lab,,,,,,,,,,,,,,,,,,,,,,,,
lab extruder 480 v three phase,4,4,phase,three phase,power,three phase,type,extruder,type,"""extruder",usage,lab,usage,lab,voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,
lab extruder for chemical industries 5 ton,3,4,capacity,5 ton,capacity,5 ton,type,extruder,type,"""extruder",usage,lab,usage,lab,,,usage,chemical industries,,,,,,,,,,,,,,,,,,,,,,,,
lab extruder for recycling,2,3,type,extruder,type,extruder,usage,lab,usage,lab,,,usage,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lab extruder machine 750 kg/hr output 400 v three phase aluminium,6,6,capacity,750 kg/hr,material,aluminium,material,aluminium,output,750 kg/hr,phase,three phase,power_supply,three phase,type,extruder,type,extruder,usage,lab,usage,"""lab",voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,
"labh group automatic oil extraction plant, 1000 liter, 400 v, 1 phase",3,4,brand,labh group,capacity,1000 liter,operation type,automatic,phase,1 phase,phase,1 phase,product,"""oil extraction",,,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,
labh group automatic pet extruder,3,4,automation grade,automatic,brand,labh group,brand,labh group,feature,automatic,type,extruder,material,pet,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
"labh group automatic xlpe cable extruder, 5 ton, 400 v, 1 phase",5,5,brand,labh group,capacity,5 ton,capacity,"5 ton,",material,"""xlpe cable",machine type,automatic,power_supply,1 phase,material,xlpe,type,extruder,phase,1 phase,voltage,400 v,,,,,,,,,,,,,,,,,,,,
labh group copper extraction plant 50 kg/hr,2,3,brand,labh group,capacity,50 kg/hr,capacity,50 kg/hr,material,"""copper",,,type,extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labh group double die extruder 200 kg,3,3,brand,labh group,capacity,200 kg,capacity,200 kg,type,"""double die",type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labh group foam extruder,1,2,brand,labh group,material,foam,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labh group fully automatic blown film extrusion machine,2,3,brand,labh group,brand,labh group,machine type,automatic,feature,fully automatic,,,type,"""blown film extrusion",,,,,,,,,,,,,,,,,,,,,,,,,,,,
labh group lab extruder 200 kg,3,3,brand,labh group,capacity,200 kg,capacity,200 kg,type,extruder,type,extruder,usage,lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"labh group make fully automatic cable extruder, production capacity: 5 tpd, voltage: 240 v, phase: three phase, material: pp, power: 2 hp",1,8,automation grade,automatic,capacity,5 tpd,,,feature,"""fully automatic",,,material,pp,,,phase,three phase,,,power,2 hp,,,product,cable,,,type,extruder,,,voltage,240 v,,,,,,,,
"labh group semi-automatic silver refining plant, 1 tpd, 480 v, 3 phase",3,5,automation grade,semi-automatic,capacity,1 tpd,brand,labh group,material,"""silver",phase,3 phase,power,3 phase,,,type,refining plant,,,voltage,480 v,,,,,,,,,,,,,,,,,,,,
labh group semi-automatic twin screw extruder,3,3,automation grade,semi-automatic,automation,"""semi-automatic",brand,labh group,type,twin screw,type,screw extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labh group twin screw extruder,2,2,brand,labh group,brand,labh group,type,screw extruder,type,twin screw extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"laxmi automatic blown film extrusion machine, 500 tpd, 220 v, 1 phase",3,6,brand,laxmi,brand,"""laxmi",machine type,automatic,capacity,500 tpd,phase,1 phase,feature,automatic,,,phase,1 phase,,,type,blown film extrusion,,,voltage,220 v,,,,,,,,,,,,,,,,
"laxmi fully automatic plastic extruder, 200 liter, 240 v, three phase",4,5,automation grade,automatic,capacity,200 liter,brand,laxmi,material,"""plastic",capacity,200,power_supply,three phase,phase,three phase,type,extruder,,,voltage,240 v,,,,,,,,,,,,,,,,,,,,
laxmi jockey extruder 25 kg,2,3,capacity,25 kg,brand,jockey,type,extruder,capacity,25 kg,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"laxmi make manual aluminium extrusion plant, production capacity: 200 kg, voltage: 480 v, phase: 3 phase, material: cast iron, power: 15 hp",4,8,automation grade,manual,capacity,200 kg,brand,laxmi,machine type,extrusion,material,aluminium,material,"""aluminium",motor power,15 hp,material,cast iron,,,operation,manual,,,phase,3 phase,,,power,15 hp,,,voltage,480 v,,,,,,,,
laxmi manual silver refinery machine,2,3,automation grade,manual,material,silver,brand,laxmi,operation,manual,,,type,refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"laxmi semi-automatic metal refining plant, 10 kg/hr, 480 v, three phase",5,5,automation grade,semi-automatic,capacity,10 kg/hr,brand,laxmi,feature,semi-automatic,capacity,"10 kg/hr,",power,three phase,phase,three phase,usage,"""metal refining",usage,metal refining,voltage,480 v,,,,,,,,,,,,,,,,,,,,
ldpe blown film machine,1,2,material,ldpe,material,ldpe,,,usage,film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ldpe blown film machine 10 hp motor 1 ton,3,4,capacity,1 ton,capacity,1 ton,material,ldpe,material,"""ldpe",motor power,10 hp,power,10 hp,,,type,blown film,,,,,,,,,,,,,,,,,,,,,,,,
ldpe blown film machine 240 v 50/60 hz,3,4,frequency,50/60 hz,frequency,50/60 hz,material,ldpe,material,"""ldpe",voltage,240 v,type,blown film,,,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,
ldpe blown film machine 480 v,2,3,material,ldpe,material,"""ldpe",voltage,480 v,type,blown film,,,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ldpe blown film machine 7.5 kw motor 100 kg,3,4,capacity,100 kg,capacity,100 kg,material,ldpe,material,"""ldpe",power,7.5 kw,power,7.5 kw,,,type,blown film,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system,0,2,,,material,liquid,,,type,extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system 2 hp motor 200 tpd,3,4,capacity,200 tpd,capacity,200 tpd,power,2 hp,power,2 hp,usage,liquid extraction,type,system,,,usage,"""liquid extraction",,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system 240 v 3 phase,2,3,phase,3 phase,power,3 phase,voltage,240 v,usage,"""liquid extraction",,,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system 380 v,1,2,voltage,380 v,usage,"""liquid extraction",,,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system for laboratory,2,2,product,liquid extraction,usage,liquid extraction,usage,laboratory,usage,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system for laboratory,2,2,product,liquid extraction,usage,liquid extraction,usage,laboratory,usage,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system for laboratory,2,2,product,liquid extraction,usage,liquid extraction,usage,laboratory,usage,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system for laboratory,2,2,product,liquid extraction,usage,liquid extraction,usage,laboratory,usage,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system with 7.5 hp power 380 v,2,3,motor power,7.5 hp,power,7.5 hp,voltage,380 v,usage,"""liquid extraction",,,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"looking for automatic centrifuge extractor with specifications: capacity 50 kg, voltage 400 v, phase 3 phase, body material ss 316, application laboratory",3,6,automation grade,automatic,application,laboratory,capacity,"50 kg,",body material,ss 316,usage,laboratory,capacity,50 kg,,,phase,3 phase,,,product,"""centrifuge extractor",,,voltage,400 v,,,,,,,,,,,,,,,,
"looking for automatic epe foam extruder with specifications: capacity 300 kg/hr, voltage 480 v, phase single phase, body material ss 304, application plastic processing",2,7,automation grade,automatic,application,plastic processing,capacity,"300 kg/hr,",body material,ss 304,,,capacity,300 kg/hr,,,material,"""epe foam",,,phase,single phase,,,type,extruder,,,voltage,480 v,,,,,,,,,,,,
"looking for automatic film extrusion machine with specifications: capacity 100 tpd, voltage 400 v, phase 1 phase, body material ss, application plastic processing",3,8,automation grade,automatic,application,plastic processing,capacity,100,body material,ss,material,plastic,capacity,100 tpd,,,feature,automatic,,,machine type,extrusion,,,phase,1 phase,,,usage,"""film",,,voltage,400 v,,,,,,,,
"looking for automatic metal recovery plant with specifications: capacity 5 kg/hr, voltage 440 v, phase three phase, body material aluminium, application recycling",2,6,automation grade,automatic,application,recycling,capacity,"5 kg/hr,",capacity,5 kg/hr,,,material,aluminium,,,phase,three phase,,,product,"""metal recovery",,,voltage,440 v,,,,,,,,,,,,,,,,
"looking for automatic plastic extruder with specifications: capacity 100 kg, voltage 230 v, phase three phase, body material mild steel, application plastic processing",3,8,automation grade,automatic,application,plastic processing,capacity,"100 kg,",body material,mild steel,material,plastic,capacity,100 kg,,,material,plastic,,,phase,three phase,,,type,"""automatic",,,type,extruder,,,voltage,230 v,,,,,,,,
"looking for automatic pp extruder with specifications: capacity 50 tpd, voltage 480 v, phase 1 phase, body material titanium, application recycling",2,7,automation grade,automatic,application,recycling,capacity,"50 tpd,",capacity,50 tpd,,,material,"""pp",,,material,titanium,,,phase,1 phase,,,type,extruder,,,voltage,480 v,,,,,,,,,,,,
"looking for automatic solvent extraction plant with specifications: capacity 750 kg/hr, voltage 480 v, phase three phase, body material ss 304, application pharmaceutical",3,6,automation grade,automatic,application,pharmaceutical,capacity,"750 kg/hr,",capacity,750 kg/hr,machine name,solvent extraction plant,material,ss 304,,,phase,three phase,,,type,"""solvent extraction",,,voltage,480 v,,,,,,,,,,,,,,,,
"looking for automatic twin screw extruder with specifications: capacity 500 tpd, voltage 220 v, phase 1 phase, body material mild steel, application laboratory",3,6,automation grade,automatic,application,laboratory,capacity,"500 tpd,",body material,mild steel,usage,laboratory,capacity,500 tpd,,,phase,1 phase,,,type,"""automatic twin screw extruder",,,voltage,220 v,,,,,,,,,,,,,,,,
"looking for fully automatic basket extruder with specifications: capacity 750 kg/hr, voltage 240 v, phase three phase, body material titanium, application wire & cable",2,6,automation grade,automatic,application,wire & cable,capacity,"750 kg/hr,",capacity,750 kg/hr,,,material,titanium,,,phase,three phase,,,type,"""basket extruder",,,voltage,240 v,,,,,,,,,,,,,,,,
"looking for fully automatic conical twin screw extruder with specifications: capacity 50 kg, voltage 240 v, phase single phase, body material titanium, application plastic processing",2,8,automation grade,automatic,application,plastic processing,capacity,"50 kg,",capacity,50 kg,,,feature,"""fully automatic",,,material,titanium,,,phase,single phase,,,type,conical twin screw,,,type,extruder,,,voltage,240 v,,,,,,,,
"looking for fully automatic silver refinery machine with specifications: capacity 30 kg, voltage 415 v, phase 3 phase, body material mild steel, application wire & cable",1,7,automation grade,automatic,application,wire & cable,,,capacity,30 kg,,,material,mild steel,,,phase,3 phase,,,type,refinery,,,usage,"""silver",,,voltage,415 v,,,,,,,,,,,,
"looking for manual aba blown film machine with specifications: capacity 100 kg, voltage 230 v, phase 1 phase, body material ss 316, application plastic processing",3,6,machine name,aba blown,application,plastic processing,machine type,manual,body material,ss 316,material,plastic,capacity,100 kg,,,phase,1 phase,,,type,"""aba blown film machine",,,voltage,230 v,,,,,,,,,,,,,,,,
"looking for manual curcumin extraction plant with specifications: capacity 10 kg, voltage 440 v, phase 3 phase, body material ss, application research",2,9,automation grade,manual,application,research,capacity,"10 kg,",body material,ss,,,capacity,10 kg,,,phase,3 phase,,,process,extraction,,,product,"""curcumin",,,type,manual,,,type,plant,,,voltage,440 v,,,,
"looking for manual extruder machine with specifications: capacity 500 tpd, voltage 440 v, phase single phase, body material pp, application research",2,7,automation grade,manual,application,research,capacity,"500 tpd,",capacity,500 tpd,,,material,pp,,,phase,single phase,,,type,"""extruder",,,type,manual,,,voltage,440 v,,,,,,,,,,,,
"looking for manual hydro extractor with specifications: capacity 500 ton, voltage 400 v, phase 1 phase, body material titanium, application laboratory",4,6,automation grade,manual,application,laboratory,capacity,"500 ton,",capacity,500 ton,model name/number,hydro extractor,material,titanium,usage,laboratory,phase,1 phase,,,type,"""hydro extractor",,,voltage,400 v,,,,,,,,,,,,,,,,
"looking for manual oleoresin extraction plant with specifications: capacity 250 kg/hr, voltage 480 v, phase single phase, body material stainless steel, application agricultural",3,6,automation grade,manual,application,agricultural,capacity,"250 kg/hr,",body material,stainless steel,usage,agricultural,capacity,250 kg/hr,,,phase,single phase,,,product,"""oleoresin extraction",,,voltage,480 v,,,,,,,,,,,,,,,,
"looking for semi-automatic aba blown film machine with specifications: capacity 5 tpd, voltage 415 v, phase 3 phase, body material mild steel, application plastic processing",2,7,machine name,aba blown,application,plastic processing,machine type,semi-automatic,capacity,5 tpd,,,material,mild steel,,,phase,3 phase,,,type,"""aba",,,type,blown film,,,voltage,415 v,,,,,,,,,,,,
"looking for semi-automatic sheet extruder with specifications: capacity 100 tpd, voltage 440 v, phase 3 phase, body material ms, application pharmaceutical",3,6,automation grade,semi-automatic,application,pharmaceutical,capacity,"100 tpd,",body material,ms,usage,pharmaceutical,capacity,100 tpd,,,phase,3 phase,,,type,"""sheet extruder",,,voltage,440 v,,,,,,,,,,,,,,,,
"mahindra automatic basket extruder machine with 50 ton capacity, 240 v voltage, three phase, titanium body, suitable for industrial",6,8,automation grade,automatic,brand,"""mahindra",brand,mahindra,capacity,50 ton,capacity,50 ton,feature,automatic,material,titanium,material,titanium,model name/number,extruder,power,three phase,usage,industrial,type,basket extruder,,,usage,industrial,,,voltage,240 v,,,,,,,,
"mahindra automatic pipe extrusion machine, 10 tpd, 220 v, 1 phase",2,6,brand,mahindra,capacity,10 tpd,phase,1 phase,feature,automatic,,,machine type,extrusion,,,phase,1 phase,,,product,"""pipe",,,voltage,220 v,,,,,,,,,,,,,,,,
mahindra automatic single die extruder,4,3,automation grade,automatic,brand,mahindra,brand,mahindra,design,single die,number of dies,single die,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
"mahindra fully automatic jockey extruder, 5 kg, 230 v, three phase",3,5,automation grade,automatic,brand,"""mahindra",brand,mahindra,capacity,5 kg,phase,three phase,power_supply,three phase,,,type,jockey extruder,,,voltage,230 v,,,,,,,,,,,,,,,,,,,,
"mahindra make semi-automatic pp extruder, production capacity: 5 kg, voltage: 440 v, phase: three phase, material: hdpe, power: 5 kw",3,8,automation grade,semi-automatic,brand,"""mahindra",brand,mahindra,capacity,5 kg,capacity,5,material,pp,,,material,hdpe,,,phase,three phase,,,power,5 kw,,,type,semi-automatic,,,voltage,440 v,,,,,,,,
"mahindra semi-automatic aluminium extrusion plant, 20 tpd, 380 v, 1 phase",3,7,automation grade,semi-automatic,brand,"""mahindra",brand,mahindra,capacity,20 tpd,phase,1 phase,machine type,extrusion,,,material,aluminium,,,operation,semi-automatic,,,power_supply,1 phase,,,voltage,380 v,,,,,,,,,,,,
mahindra semi-automatic copper extraction plant,3,4,automation grade,semi-automatic,automation,semi-automatic,brand,mahindra,brand,mahindra,usage,copper extraction,material,copper,,,type,extraction,,,,,,,,,,,,,,,,,,,,,,,,
mahindra wire extruder 100 kg,3,3,brand,mahindra,capacity,100 kg,capacity,100 kg,material,wire,type,wire extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manual aluminium xlpe cable extruder,2,5,automation grade,manual,material,aluminium,usage,cable,material,xlpe,,,operation,manual,,,product,cable,,,type,extruder,,,,,,,,,,,,,,,,,,,,
manual cast iron solid phase extraction system,3,3,automation grade,manual,material,cast iron,material,cast iron,operation,manual,product,solid phase extraction,type,solid phase extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"manual co-rotating twin screw extruder for food processing, capacity: 5 kg, power: 3 kw",3,4,automation grade,manual,capacity,5 kg,capacity,"5 kg,",power,3 kw,usage,food,type,"""co-rotating twin screw extruder",,,usage,food processing,,,,,,,,,,,,,,,,,,,,,,,,
"manual co-rotating twin screw extruder for pharmaceutical applications, 100 kg capacity, 220 v voltage rating, single phase power supply, pvc body",5,8,automation grade,manual,capacity,100 kg,capacity,100 kg,material,pvc,material,pvc,power supply,single phase,phase,single phase,type,"""manual",usage,pharmaceutical,type,co-rotating twin screw,,,type,extruder,,,usage,pharmaceutical,,,voltage,220 v,,,,,,,,
"manual conical twin screw extruder for chemical industries applications, 10 ton capacity, 240 v voltage rating, single phase power supply, cast iron body",5,6,automation grade,manual,capacity,10 ton,capacity,10 ton,operation,"""manual",material,cast iron,power supply,single phase,phase,single phase,type,conical twin screw,usage,chemical industries,usage,chemical industries,,,voltage,240 v,,,,,,,,,,,,,,,,
"manual double die extruder for agricultural applications, 10 tpd capacity, 480 v voltage rating, 3 phase power supply, titanium body",5,8,automation grade,manual,capacity,10 tpd,capacity,10 tpd,material,titanium,material,titanium,operation,"""manual",model name/number,extruder,power supply,3 phase,usage,agricultural,type,double die,,,type,extruder,,,usage,agricultural,,,voltage,480 v,,,,,,,,
"manual hdpe extruder for plastic processing applications, 100 tpd capacity, 380 v voltage rating, single phase power supply, ss body",5,7,automation grade,manual,body,ss,capacity,100 tpd,capacity,100 tpd,material,hdpe,material,"""hdpe",phase,single phase,power supply,single phase,usage,plastic processing,type,extruder,,,usage,plastic processing,,,voltage,380 v,,,,,,,,,,,,
manual liquid extraction system,1,3,automation grade,manual,material,liquid,,,operation,manual,,,product,extraction system,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"manual mild steel pvc extruder, capacity: 500 kg/hr, voltage: 380 v, phase: 3 phase",2,7,capacity,"500 kg/hr,",capacity,500 kg/hr,phase,3 phase,material,mild steel,,,material,pvc,,,operation,"""manual",,,phase,3 phase,,,type,extruder,,,voltage,380 v,,,,,,,,,,,,
manual mother baby extruder,1,3,type,extruder,operation,manual,,,type,extruder,,,usage,mother baby,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"manual ms epe foam extruder, capacity: 50 ton, voltage: 415 v, phase: single phase",3,7,capacity,"50 ton,",capacity,50 ton,material,ms,material,ms,phase,single phase,material,epe foam,,,phase,single phase,,,type,"""manual",,,type,extruder,,,voltage,415 v,,,,,,,,,,,,
"manual ms polymer extruder, capacity: 10 tpd, voltage: 380 v, phase: three phase",3,5,capacity,"10 tpd,",capacity,10 tpd,material,ms,material,"""ms polymer",phase,three phase,phase,three phase,,,type,extruder,,,voltage,380 v,,,,,,,,,,,,,,,,,,,,
"manual ms pvc extruder, capacity: 100 kg/hr, voltage: 480 v, phase: 1 phase",3,6,capacity,"100 kg/hr,",capacity,100 kg/hr,material,ms pvc,material,"""ms",phase,1,material,pvc,,,phase,1 phase,,,type,extruder,,,voltage,480 v,,,,,,,,,,,,,,,,
manual ms tube extrusion machine,3,3,automation grade,manual,machine type,extrusion,material,ms,material,ms tube,product,tube extrusion,operation,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manual pipe extrusion machine,2,3,automation grade,manual,machine type,extrusion,machine type,extrusion,operation,manual,,,product,pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"manual plastic recycling extruder for laboratory, capacity: 100 tpd, power: 15 kw",5,6,automation grade,manual,capacity,100 tpd,capacity,"100 tpd,",material,"""plastic",material,plastic,power,15 kw,type,extruder,type,extruder,usage,"laboratory,",usage,recycling,,,usage,laboratory,,,,,,,,,,,,,,,,
"manual plastic recycling extruder for laboratory, capacity: 500 kg/hr, power: 25 hp",6,5,automation grade,manual,capacity,500 kg/hr,capacity,"500 kg/hr,",material,"""plastic",material,plastic,power,25 hp,motor power,25 hp,type,extruder,type,extruder,usage,recycling,usage,"laboratory,",,,,,,,,,,,,,,,,,,
manual pp bitumen extractor,3,4,automation grade,manual,material,pp,machine type,bitumen extractor,material,bitumen,material,pp,operation,manual,,,product,extractor,,,,,,,,,,,,,,,,,,,,,,,,
manual pp foam extruder,2,3,automation grade,manual,material,pp foam,type,extruder,operation,manual,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manual pvc extruder 440 v,3,4,automation grade,manual,material,pvc,type,extruder,operation,"""manual",voltage,440 v,type,extruder,,,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,
"manual pvc extruder machine, capacity: 200 kg, voltage: 415 v, phase: 3 phase",2,5,automation grade,manual,capacity,200 kg,phase,3 phase,material,"""pvc",,,phase,3 phase,,,type,extruder,,,voltage,415 v,,,,,,,,,,,,,,,,,,,,
manual pvc pipe extruder 240 v,3,5,material,pvc,material,pvc,type,extruder,operation,"""manual",voltage,240 v,product,pipe,,,type,extruder,,,voltage,240 v,,,,,,,,,,,,,,,,,,,,
