query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9
jockey extruder with 7.5 hp power 440 v,4,2,brand,jockey,motor power,7.5 hp,motor power,7.5 hp,voltage,440 v,type,extruder,,,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,
kabra centrifuge extractor,2,2,brand,kabra,brand,kabra,product,centrifuge extractor,product type,centrifuge extractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kabra foam extruder 500 kg,2,2,brand,kabra,brand,"""kabra",capacity,500 kg,capacity(kg),500 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"kabra fully automatic metal recovery plant machine with 20 kg capacity, 415 v voltage, three phase, titanium body, suitable for industrial",4,7,automation grade,automatic,automation grade,fully automatic,brand/make,kabra,body material,titanium,capacity,20 kg,brand,"""kabra",usage,industrial,capacity(kg),20 kg,,,phase,three phase,,,usage/application,industrial,,,voltage,415 v,,,,,,,,
kabra gold refinery plant,2,2,brand,kabra,brand,kabra,usage,gold,usage/application,gold refining plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kabra hdpe extruder,3,2,brand,kabra,brand,kabra,material,hdpe,material to be extruded,hdpe,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
"kabra make fully automatic wpc extruder, production capacity: 500 ton, voltage: 440 v, phase: single phase, material: titanium, power: 3 kw",4,6,automation grade,automatic,automation grade,"""fully automatic",brand,kabra,material,titanium,capacity,"500 ton,",phase,single phase,material,wpc,power,3 kw,,,production capacity,500 ton,,,voltage,440 v,,,,,,,,,,,,
"kabra manual gold refining machine, 5 ton, 240 v, 1 phase",3,5,automation grade,manual,automation grade,manual,brand,kabra,brand,"""kabra",usage,gold refining,phase,1 phase,,,voltage,240 v,,,weight,5 ton,,,,,,,,,,,,,,,,
kabra plastic recycling extruder,3,2,brand,kabra,brand,kabra,type,extruder,material to be extruded,plastic,usage,plastic recycling,,,,,,,,,,,,,,,,,,,,,,,,,,
kabra pp extruder 50 tpd,4,3,brand,kabra,brand,"""kabra",capacity,50 tpd,capacity,50 tpd,material,pp,material to be extruded,pp,type,extruder,,,,,,,,,,,,,,,,,,,,,,
kabra semi-automatic foam extruder,4,2,automation grade,semi-automatic,automation grade,semi automatic,brand,kabra,brand,"""kabra",type,extruder,,,usage,foam,,,,,,,,,,,,,,,,,,,,,,
kabra semi-automatic gold refinery plant,2,2,automation grade,semi-automatic,automation grade,semi automatic,brand,kabra,brand,kabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kabra solvent extraction plant 1000 kg/hr,1,2,capacity,1000 kg/hr,brand,"""kabra",,,production capacity,1000 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kabra tube extrusion machine,1,2,brand,kabra,brand,kabra,,,type,tube extrusion machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lab extruder 10 kw motor 200 kg,4,2,capacity,200 kg,motor power,"""10 kw",power,10 kw,weight,200 kg,type,extruder,,,usage,lab,,,,,,,,,,,,,,,,,,,,,,
lab extruder 20 kw motor 200 kg,4,2,capacity,200 kg,power,"""20 kw",power,20 kw,weight,200 kg,type,extruder,,,usage,lab,,,,,,,,,,,,,,,,,,,,,,
lab extruder 480 v three phase,4,2,phase,three phase,phase,three phase,type,extruder,voltage,"""480 v",usage,lab,,,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,
lab extruder for chemical industries 5 ton,3,2,capacity,5 ton,industry type,"""lab",type,extruder,weight,5 ton,usage,lab,,,,,,,,,,,,,,,,,,,,,,,,,,
lab extruder for recycling,2,0,type,extruder,,,usage,lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lab extruder machine 750 kg/hr output 400 v three phase aluminium,6,4,capacity,750 kg/hr,material to be extruded,aluminium,material,aluminium,phase,three phase,phase,three phase,production capacity,"""750 kg/hr",type,extruder,voltage,400 v,usage,lab,,,voltage,400 v,,,,,,,,,,,,,,
"labh group automatic oil extraction plant, 1000 liter, 400 v, 1 phase",3,3,brand,labh group,automation grade,"""automatic",operation type,automatic,phase,1 phase,phase,1 phase,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,
labh group automatic pet extruder,3,0,automation grade,automatic,,,brand,labh group,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
"labh group automatic xlpe cable extruder, 5 ton, 400 v, 1 phase",5,4,brand,labh group,automation grade,"""automatic",capacity,"5 ton,",phase,1 phase,machine type,automatic,voltage,400 v,material,xlpe,weight,5 ton,phase,1 phase,,,,,,,,,,,,,,,,,,
labh group copper extraction plant 50 kg/hr,2,1,brand,labh group,production capacity,"""50 kg/hr",capacity,50 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labh group double die extruder 200 kg,3,3,brand,labh group,capacity(kg/hr),"""200 kg",capacity,200 kg,screw design,twin screw,type,extruder,type of extruder,twin screw,,,,,,,,,,,,,,,,,,,,,,,,
labh group foam extruder,1,0,brand,labh group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labh group fully automatic blown film extrusion machine,2,2,brand,labh group,automation grade,"""fully automatic",machine type,automatic,machine type,fully automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labh group lab extruder 200 kg,3,1,brand,labh group,capacity(kg/hr),"""200 kg",capacity,200 kg,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
"labh group make fully automatic cable extruder, production capacity: 5 tpd, voltage: 240 v, phase: three phase, material: pp, power: 2 hp",1,5,automation grade,automatic,automation grade,"""fully automatic",,,material,pp,,,phase,three phase,,,power,2 hp,,,voltage,240 v,,,,,,,,,,,,,,,,
"labh group semi-automatic silver refining plant, 1 tpd, 480 v, 3 phase",3,5,automation grade,semi-automatic,automation grade,"""semi-automatic",brand,labh group,capacity,1 tpd,phase,3 phase,phase,three phase,,,usage/application,silver refining plant,,,voltage (v),480 v,,,,,,,,,,,,,,,,
labh group semi-automatic twin screw extruder,3,3,automation grade,semi-automatic,automation grade,semi-automatic,brand,labh group,screw design,twin screw,type,screw extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
labh group twin screw extruder,2,0,brand,labh group,,,type,screw extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"laxmi automatic blown film extrusion machine, 500 tpd, 220 v, 1 phase",3,4,brand,laxmi,automation grade,"""automatic",machine type,automatic,capacity,500 tpd,phase,1 phase,phase,1 phase,,,voltage,220 v,,,,,,,,,,,,,,,,,,,,
"laxmi fully automatic plastic extruder, 200 liter, 240 v, three phase",4,3,automation grade,automatic,automation grade,"""fully automatic",brand,laxmi,phase,three phase,capacity,200,voltage,240 v,phase,three phase,,,,,,,,,,,,,,,,,,,,,,
laxmi jockey extruder 25 kg,2,1,capacity,25 kg,capacity,"""25 kg",type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"laxmi make manual aluminium extrusion plant, production capacity: 200 kg, voltage: 480 v, phase: 3 phase, material: cast iron, power: 15 hp",4,7,automation grade,manual,automation grade,"""manual",brand,laxmi,material,cast iron,material,aluminium,motor power,15 hp,motor power,15 hp,phase,3 phase,,,production capacity,200 kg,,,usage/application,aluminium extrusion,,,voltage,480 v,,,,,,,,
laxmi manual silver refinery machine,2,0,automation grade,manual,,,brand,laxmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"laxmi semi-automatic metal refining plant, 10 kg/hr, 480 v, three phase",5,4,automation grade,semi-automatic,automation grade,"""semi-automatic",brand,laxmi,phase,three phase,capacity,"10 kg/hr,",production capacity,10 kg/hr,phase,three phase,voltage,480 v,usage,metal refining,,,,,,,,,,,,,,,,,,
ldpe blown film machine,1,2,material,ldpe,machine type,blown film extrusion machine,,,plastic processed,ldpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ldpe blown film machine 10 hp motor 1 ton,3,2,capacity,1 ton,motor power,"""10 hp",material,ldpe,weight,1 ton,motor power,10 hp,,,,,,,,,,,,,,,,,,,,,,,,,,
ldpe blown film machine 240 v 50/60 hz,3,2,frequency,50/60 hz,frequency,50/60 hz,material,ldpe,voltage,"""240 v",voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,
ldpe blown film machine 480 v,2,1,material,ldpe,voltage,"""480 v",voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ldpe blown film machine 7.5 kw motor 100 kg,3,2,capacity,100 kg,capacity(kg),100 kg,material,ldpe,motor power,"""7.5 kw",power,7.5 kw,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system 2 hp motor 200 tpd,3,2,capacity,200 tpd,capacity,200 tpd,power,2 hp,motor power,"""2 hp",usage,liquid extraction,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system 240 v 3 phase,2,2,phase,3 phase,phase,three phase,voltage,240 v,voltage,"""240 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system 380 v,1,1,voltage,380 v,voltage,"""380 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system for laboratory,2,2,product,liquid extraction,form,liquid,usage,laboratory,industry type,"""laboratory",,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system for laboratory,2,2,product,liquid extraction,form,liquid,usage,laboratory,industry type,"""laboratory",,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system for laboratory,2,2,product,liquid extraction,form,liquid,usage,laboratory,industry type,"""laboratory",,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system for laboratory,2,2,product,liquid extraction,form,liquid,usage,laboratory,industry type,"""laboratory",,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid extraction system with 7.5 hp power 380 v,2,2,motor power,7.5 hp,motor power,7.5 hp,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"looking for automatic centrifuge extractor with specifications: capacity 50 kg, voltage 400 v, phase 3 phase, body material ss 316, application laboratory",3,6,automation grade,automatic,application,laboratory,capacity,"50 kg,",automation grade,"""automatic",usage,laboratory,body material,ss 316,,,capacity,50 kg,,,phase,3 phase,,,voltage,400 v,,,,,,,,,,,,
"looking for automatic epe foam extruder with specifications: capacity 300 kg/hr, voltage 480 v, phase single phase, body material ss 304, application plastic processing",2,5,automation grade,automatic,body material,ss 304,capacity,"300 kg/hr,",material to be extruded,plastic,,,phase,single phase,,,production capacity,"""300 kg/hr",,,voltage,480 v,,,,,,,,,,,,,,,,
"looking for automatic film extrusion machine with specifications: capacity 100 tpd, voltage 400 v, phase 1 phase, body material ss, application plastic processing",3,5,automation grade,automatic,automation grade,"""automatic",capacity,100,body material,ss,material,plastic,material to be extruded,plastic,,,phase,1 phase,,,voltage,400 v,,,,,,,,,,,,,,,,
"looking for automatic metal recovery plant with specifications: capacity 5 kg/hr, voltage 440 v, phase three phase, body material aluminium, application recycling",2,5,automation grade,automatic,automation grade,automatic,capacity,"5 kg/hr,",body material,aluminium,,,phase,three phase,,,production capacity,5 kg/hr,,,voltage,"""440 v",,,,,,,,,,,,,,,,
"looking for automatic plastic extruder with specifications: capacity 100 kg, voltage 230 v, phase three phase, body material mild steel, application plastic processing",3,6,automation grade,automatic,automation grade,"""automatic",capacity,"100 kg,",body material,mild steel,material,plastic,capacity,100 kg,,,material to be extruded,plastic,,,phase,three phase,,,voltage,230 v,,,,,,,,,,,,
"looking for automatic pp extruder with specifications: capacity 50 tpd, voltage 480 v, phase 1 phase, body material titanium, application recycling",2,7,automation grade,automatic,application,recycling,capacity,"50 tpd,",automation grade,"""automatic",,,body material,titanium,,,capacity,50 tpd,,,material to be extruded,pp,,,phase,1 phase,,,voltage,480 v,,,,,,,,
"looking for automatic solvent extraction plant with specifications: capacity 750 kg/hr, voltage 480 v, phase three phase, body material ss 304, application pharmaceutical",3,5,automation grade,automatic,body material,ss 304,capacity,"750 kg/hr,",phase,three phase,machine name,solvent extraction plant,production capacity,"""750 kg/hr",,,usage/application,food and beverages and cosmetics industries,,,voltage,480 v,,,,,,,,,,,,,,,,
"looking for automatic twin screw extruder with specifications: capacity 500 tpd, voltage 220 v, phase 1 phase, body material mild steel, application laboratory",3,7,automation grade,automatic,application,laboratory,capacity,"500 tpd,",automation grade,"""automatic",usage,laboratory,body material,mild steel,,,capacity,500 tpd,,,phase,1 phase,,,screw design,twin screw,,,voltage,220 v,,,,,,,,
"looking for fully automatic basket extruder with specifications: capacity 750 kg/hr, voltage 240 v, phase three phase, body material titanium, application wire & cable",2,6,automation grade,automatic,automation grade,"""fully automatic",capacity,"750 kg/hr,",body material,titanium,,,phase,three phase,,,production capacity,750 kg/hr,,,usage/application,wire & cable,,,voltage,240 v,,,,,,,,,,,,
"looking for fully automatic conical twin screw extruder with specifications: capacity 50 kg, voltage 240 v, phase single phase, body material titanium, application plastic processing",2,7,automation grade,automatic,automation grade,"""fully automatic",capacity,"50 kg,",body material,titanium,,,capacity,50 kg,,,material to be extruded,plastic,,,phase,single phase,,,screw design,conical,,,voltage,240 v,,,,,,,,
"looking for fully automatic silver refinery machine with specifications: capacity 30 kg, voltage 415 v, phase 3 phase, body material mild steel, application wire & cable",1,6,automation grade,automatic,automation grade,"""fully automatic",,,body material,mild steel,,,capacity(kg),30 kg,,,phase,3 phase,,,usage/application,wire & cable,,,voltage,415 v,,,,,,,,,,,,
"looking for manual aba blown film machine with specifications: capacity 100 kg, voltage 230 v, phase 1 phase, body material ss 316, application plastic processing",3,6,machine name,aba blown,automation grade,manual,machine type,manual,body material,ss 316,material,plastic,capacity,"""100 kg",,,material to be extruded,plastic,,,phase,1 phase,,,voltage,230 v,,,,,,,,,,,,
"looking for manual curcumin extraction plant with specifications: capacity 10 kg, voltage 440 v, phase 3 phase, body material ss, application research",2,5,automation grade,manual,body material,ss,capacity,"10 kg,",capacity,"""10 kg",,,phase,3 phase,,,usage/application,herbal extraction,,,voltage,440 v,,,,,,,,,,,,,,,,
"looking for manual extruder machine with specifications: capacity 500 tpd, voltage 440 v, phase single phase, body material pp, application research",2,6,automation grade,manual,automation grade,manual,capacity,"500 tpd,",body material,pp,,,capacity,500 tpd,,,phase,single phase,,,usage/application,industrial,,,voltage,"""440 v",,,,,,,,,,,,
"looking for manual hydro extractor with specifications: capacity 500 ton, voltage 400 v, phase 1 phase, body material titanium, application laboratory",4,6,automation grade,manual,application,laboratory,capacity,"500 ton,",automation grade,manual,model name/number,hydro extractor,body material,titanium,usage,laboratory,capacity,500 ton,,,phase,1 phase,,,voltage,"""400 v",,,,,,,,,,,,
"looking for manual oleoresin extraction plant with specifications: capacity 250 kg/hr, voltage 480 v, phase single phase, body material stainless steel, application agricultural",3,5,automation grade,manual,body material,stainless steel,capacity,"250 kg/hr,",phase,single phase,usage,agricultural,production capacity,"""250 kg/hr",,,usage/application,industrial,,,voltage,480 v,,,,,,,,,,,,,,,,
"looking for semi-automatic aba blown film machine with specifications: capacity 5 tpd, voltage 415 v, phase 3 phase, body material mild steel, application plastic processing",2,6,machine name,aba blown,automation grade,"""semi-automatic",machine type,semi-automatic,body material,mild steel,,,material to be extruded,plastic,,,model name/number,aba,,,phase,three phase,,,voltage,415 v,,,,,,,,,,,,
"looking for semi-automatic sheet extruder with specifications: capacity 100 tpd, voltage 440 v, phase 3 phase, body material ms, application pharmaceutical",3,6,automation grade,semi-automatic,automation grade,"""semi-automatic",capacity,"100 tpd,",body material,ms,usage,pharmaceutical,capacity,100 tpd,,,phase,3 phase,,,usage/application,pharmaceutical,,,voltage,440 v,,,,,,,,,,,,
"mahindra automatic basket extruder machine with 50 ton capacity, 240 v voltage, three phase, titanium body, suitable for industrial",6,6,automation grade,automatic,automation grade,"""automatic",brand,mahindra,body material,pp,capacity,50 ton,capacity,50 ton,material,titanium,phase,three phase,model name/number,extruder,usage/application,industrial,usage,industrial,voltage,240 v,,,,,,,,,,,,
"mahindra automatic pipe extrusion machine, 10 tpd, 220 v, 1 phase",2,5,brand,mahindra,automation grade,"""automatic",phase,1 phase,capacity,10 tpd,,,phase,1 phase,,,type,pipe extruder,,,voltage,220 v,,,,,,,,,,,,,,,,
mahindra automatic single die extruder,4,0,automation grade,automatic,,,brand,mahindra,,,number of dies,single die,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,
"mahindra fully automatic jockey extruder, 5 kg, 230 v, three phase",3,4,automation grade,automatic,automation grade,"""fully automatic",brand,mahindra,capacity(kg),5 kg,phase,three phase,phase,three phase,,,voltage,230 v,,,,,,,,,,,,,,,,,,,,
"mahindra make semi-automatic pp extruder, production capacity: 5 kg, voltage: 440 v, phase: three phase, material: hdpe, power: 5 kw",3,6,automation grade,semi-automatic,automation grade,"""semi-automatic",brand,mahindra,material,hdpe,capacity,5,phase,three phase,,,power,5 kw,,,production capacity,5 kg,,,voltage,440 v,,,,,,,,,,,,
"mahindra semi-automatic aluminium extrusion plant, 20 tpd, 380 v, 1 phase",3,4,automation grade,semi-automatic,automation grade,"""semi-automatic",brand,mahindra,capacity,20 tpd,phase,1 phase,phase,1 phase,,,voltage,380 v,,,,,,,,,,,,,,,,,,,,
mahindra semi-automatic copper extraction plant,3,2,automation grade,semi-automatic,automation grade,semi automatic,brand,mahindra,material to be extruded,copper,usage,copper extraction,,,,,,,,,,,,,,,,,,,,,,,,,,
mahindra wire extruder 100 kg,3,1,brand,mahindra,capacity(kg),"""100 kg",capacity,100 kg,,,type,wire extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
manual aluminium xlpe cable extruder,2,4,automation grade,manual,automation grade,manual,usage,cable,material to be extruded,aluminium,,,material to be extruded,xlpe,,,type,cable extruder,,,,,,,,,,,,,,,,,,,,
manual cast iron solid phase extraction system,3,2,automation grade,manual,automation grade,manual,material,cast iron,body material,iron,product,solid phase extraction,,,,,,,,,,,,,,,,,,,,,,,,,,
"manual co-rotating twin screw extruder for food processing, capacity: 5 kg, power: 3 kw",3,5,automation grade,manual,automation grade,"""manual",capacity,"5 kg,",capacity(kg),5 kg,usage,food,power,3 kw,,,screw design,twin screw,,,usage/application,food processing,,,,,,,,,,,,,,,,
"manual co-rotating twin screw extruder for pharmaceutical applications, 100 kg capacity, 220 v voltage rating, single phase power supply, pvc body",5,7,automation grade,manual,automation grade,"""manual",capacity,100 kg,body material,pvc,material,pvc,capacity,100 kg,phase,single phase,phase,single phase,usage,pharmaceutical,screw design,twin screw,,,usage/application,industrial,,,voltage,220 v,,,,,,,,
"manual conical twin screw extruder for chemical industries applications, 10 ton capacity, 240 v voltage rating, single phase power supply, cast iron body",5,8,automation grade,manual,automation grade,"""manual",capacity,10 ton,body material,cast iron,material,cast iron,capacity,10 ton,phase,single phase,industry type,chemical industry,usage,chemical industries,phase,single phase,,,screw design,conical,,,screw design,twin screw,,,voltage,240 v,,,,
"manual double die extruder for agricultural applications, 10 tpd capacity, 480 v voltage rating, 3 phase power supply, titanium body",5,6,automation grade,manual,application,agricultural,capacity,10 tpd,automation grade,"""manual",material,titanium,body material,titanium,model name/number,extruder,capacity,10 tpd,usage,agricultural,phase,three phase,,,voltage,480 v,,,,,,,,,,,,
"manual hdpe extruder for plastic processing applications, 100 tpd capacity, 380 v voltage rating, single phase power supply, ss body",5,6,automation grade,manual,automation grade,"""manual",capacity,100 tpd,body material,ss,material,hdpe,capacity,100 tpd,phase,single phase,phase,single phase,usage,plastic processing,plastic processed,hdpe,,,voltage,380 v,,,,,,,,,,,,
manual liquid extraction system,1,2,automation grade,manual,automation grade,manual,,,form,liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"manual mild steel pvc extruder, capacity: 500 kg/hr, voltage: 380 v, phase: 3 phase",2,6,capacity,"500 kg/hr,",automation grade,"""manual",phase,3 phase,body material,mild steel,,,phase,three phase,,,plastic processed,pvc,,,production capacity,500 kg/hr,,,voltage,380 v,,,,,,,,,,,,
manual mother baby extruder,1,2,type,extruder,automation grade,manual,,,type of extruder,twin screw,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"manual ms epe foam extruder, capacity: 50 ton, voltage: 415 v, phase: single phase",3,5,capacity,"50 ton,",automation grade,"""manual",material,ms,body material,ms,phase,single phase,capacity,50 ton,,,phase,single phase,,,voltage,415 v,,,,,,,,,,,,,,,,
"manual ms polymer extruder, capacity: 10 tpd, voltage: 380 v, phase: three phase",3,5,capacity,"10 tpd,",automation grade,"""manual",material,ms,body material,ms,phase,three phase,capacity,10 tpd,,,phase,three phase,,,voltage,380 v,,,,,,,,,,,,,,,,
"manual ms pvc extruder, capacity: 100 kg/hr, voltage: 480 v, phase: 1 phase",3,6,capacity,"100 kg/hr,",automation grade,"""manual",material,ms pvc,body material,ms,phase,1,phase,1 phase,,,plastic processed,pvc,,,production capacity,100 kg/hr,,,voltage,440v,,,,,,,,,,,,
manual ms tube extrusion machine,3,3,automation grade,manual,automation grade,manual,material,ms,body material,ms,product,tube extrusion,machine type,tube extrusion machine,,,,,,,,,,,,,,,,,,,,,,,,
manual pipe extrusion machine,2,2,automation grade,manual,automation grade,manual,machine type,extrusion,type,pipe extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"manual plastic recycling extruder for laboratory, capacity: 100 tpd, power: 15 kw",5,5,automation grade,manual,automation grade,"""manual",capacity,"100 tpd,",capacity,100 tpd,material,plastic,industry type,laboratory,type,extruder,material to be extruded,plastic,usage,"laboratory,",power,15 kw,,,,,,,,,,,,,,,,
"manual plastic recycling extruder for laboratory, capacity: 500 kg/hr, power: 25 hp",6,4,automation grade,manual,automation grade,"""manual",capacity,"500 kg/hr,",material to be extruded,plastic,material,plastic,motor power,2 hp,motor power,25 hp,production capacity,500 kg/hr,type,extruder,,,usage,"laboratory,",,,,,,,,,,,,,,
manual pp bitumen extractor,3,3,automation grade,manual,automation grade,manual,machine type,bitumen extractor,material to be extruded,pp,material,pp,type of testing machines,bitumen extractor,,,,,,,,,,,,,,,,,,,,,,,,
manual pp foam extruder,2,2,automation grade,manual,automation grade,manual,type,extruder,material to be extruded,pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manual pvc extruder 440 v,3,3,automation grade,manual,automation grade,manual,type,extruder,plastic processed,pvc,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,
"manual pvc extruder machine, capacity: 200 kg, voltage: 415 v, phase: 3 phase",2,5,automation grade,manual,automation grade,"""manual",phase,3 phase,capacity(kg/hr),200 kg,,,phase,three phase,,,plastic processed,pvc,,,voltage,415 v,,,,,,,,,,,,,,,,
manual pvc pipe extruder 240 v,3,3,material,pvc,automation grade,"""manual",type,extruder,plastic processed,pvc,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,
"manual pvc pipe extruder for pharmaceutical applications, 200 kg/hr capacity, 440 v voltage rating, single phase power supply, titanium body",5,7,automation grade,manual,automation grade,"""manual",capacity,200 kg/hr,body material,titanium,material,pvc,phase,single phase,phase,single phase,plastic processed,pvc,usage,pharmaceutical,production capacity,200 kg/hr,,,usage/application,food and beverages and cosmetics industries,,,voltage,440 v,,,,,,,,
"manual pvc pipe extruder for recycling, capacity: 100 ton, power: 20 kw",4,4,automation grade,manual,automation grade,"""manual",capacity,"100 ton,",capacity(kg),100 kg,material,pvc,plastic processed,pvc,type,extruder,power,20 kw,,,,,,,,,,,,,,,,,,,,
manual rice bran extraction plant,1,2,usage,rice bran extraction,automation grade,manual,,,raw material,rice bran,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"manual sheet extruder for chemical industries applications, 100 ton capacity, 220 v voltage rating, three phase power supply, ss 304 body",5,7,automation grade,manual,automation grade,"""manual",capacity,100 ton,capacity,100 ton,model name/number,sheet extruder,material grade,ss 304,phase,three phase,phase,three phase,usage,chemical industries,type,sheet,,,usage/application,industrial,,,voltage,220 v,,,,,,,,
"manual silver refinery machine for research applications, 5 kg capacity, 380 v voltage rating, single phase power supply, stainless steel body",4,6,automation grade,manual,automation grade,"""manual",capacity,5 kg,body material,stainless steel,material,stainless steel,capacity(kg),5 kg,model name/number,silver refinery,metal,silver,,,phase,single phase,,,voltage (v),380 v,,,,,,,,,,,,
manual silver refining plant,3,2,automation grade,manual,automation grade,manual,refining material,silver,metal,silver,usage,refining,,,,,,,,,,,,,,,,,,,,,,,,,,
manual solid phase extraction system,2,2,automation grade,manual,automation grade,manual,product,phase extraction,model name/number,solid phase extraction positive pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manual ss 316 aba blown film machine,2,4,machine type,manual,automation grade,"""manual",material grade,ss 316,body material,ss,,,material grade,316,,,model name/number,aba,,,,,,,,,,,,,,,,,,,,
"manual ss 316 blown film extrusion machine, capacity: 100 kg/hr, voltage: 440 v, phase: 3 phase",3,6,capacity,"100 kg/hr,",automation grade,"""manual",machine type,manual,body material,ss,phase,3 phase,material grade,316,,,phase,three phase,,,production capacity,100 kg/hr,,,voltage,440 v,,,,,,,,,,,,
"manual ss extruder machine, capacity: 200 liter, voltage: 480 v, phase: 1 phase",4,5,automation grade,manual,automation grade,"""manual",capacity,200,body material,ss,material,ss,capacity(kg),200,phase,1,phase,1 phase,,,voltage,480 v,,,,,,,,,,,,,,,,
"manual stainless steel pvc pipe extruder, capacity: 25 kg, voltage: 400 v, phase: 1 phase",2,6,capacity,"25 kg,",automation grade,"""manual",material,stainless steel pvc,body material,stainless steel,,,capacity,25 kg,,,material to be extruded,pvc,,,phase,1 phase,,,voltage,400 v,,,,,,,,,,,,
"manual twin screw extruder for agricultural applications, 500 kg/hr capacity, 220 v voltage rating, single phase power supply, aluminium body",5,6,automation grade,manual,automation grade,"""manual",capacity,500 kg/hr,material,aluminium,material,aluminium,phase,single phase,phase,single phase,production capacity,500 kg/hr,usage,agricultural,screw design,twin screw,,,voltage,220 v,,,,,,,,,,,,
"metal recovery plant - conical design, 30 kg output, 415 v, single phase, mild steel construction, labh group brand, manual operation",3,5,automation grade,manual,automation grade,manual,capacity,30 kg,body material,mild steel,material,mild steel,capacity(kg),"""30 kg",,,phase,single phase,,,voltage,415 v,,,,,,,,,,,,,,,,
"metal recovery plant - single screw design, 50 tpd output, 240 v, single phase, ss 316 construction, laxmi brand, fully automatic operation",2,5,automation grade,automatic,automation grade,fully automatic,brand,laxmi,body material,ss 316,,,capacity,50 tpd,,,phase,single phase,,,voltage,"""240 v",,,,,,,,,,,,,,,,
metal recovery plant 240 v 1 phase,2,2,phase,1 phase,phase,1 phase,voltage,240 v,voltage,"""240 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,
metal recovery plant 380 v three phase,2,2,phase,three phase,phase,three phase,voltage,380 v,voltage,"""380 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,
metal recovery plant 480 v 50/60 hz,2,2,frequency,50/60 hz,frequency,50/60 hz,voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
