Key,Value
Service Type,Servo Motors Repair
Brush Top,EG224
Grade,EG224
Power,Motor KV (RPM/V)	 935
Voltage,230vac
No Of Phase,4A current per phase
Usage,Automobile
Speed,24000
Application,Automobile
Material,"Electro Graphite, Metal Graphite, Bronze Graphite, Copper Graphite"
Material Type,"Electro Graphite, Metal Graphite, Bronze Graphite, Copper Graphite"
Brand,AMTEK
No. of Poles,4
Model Name/Number,PLASTRONIX
Voltage,Single Phase
Speed,Constant torque at 0~3000 RPM
Speed,Motor KV (RPM/V)	 935
Motor Type,12v dc moter
Model Name/Number,12v Dc moter
Motor Type,PMDC MOTOR
Power Source,dfghh
Motor Type,dfghh
Power Source,230vac
Type,230vac
Material Type,CAST IRON
Power Rating,415 V
Power Rating,415V
Motor Type,Three Phase
Servo Motor Type,AC
Current Rating,30 A
Body Material,As per update client
Voltage V,240 V
Surface Treatment,As per update client
Model No,As per update client
Features,5600RPM
No Load Speed,5600RPM
Usage,Industrial
Mounting Method,Foot
Auto ON Delay Time,1minute 3minutes 5minutes
Trip Time Delay,30Sec
Start Time Delay,1minute 3minutes 5minutes
Motor Voltage,220
Max. Speed,160000 rpm
Current,4A current per phase
Motor Voltage,220 Vac
Torque,Constant torque at 0~3000 RPM
Protection Class,IP44
Poles,4
Material Used,Mild Steel
Speed,1000/1200 rpm
Power Source,1000/1200 rpm
Brand,MDDLT55SF Panasonic AC Servo System
Model Name/Number,MDDLT55SF Panasonic AC Servo System
Frame,63 to 250
Collet Nut,Er11
Power,220V
Housing Protection,Ip44
Width,<0.25 inch
Grade,ASG1
Width,32mm
Brand,PLASTRONIX
Type,220 VAC
Model Name/Number,ASG1
Trip time delay for unbalance,30Sec
Chuck Size,ER11
Maximum Spindle Speed,24000
Output Power,Max. Output Current (Amp)	 4.2
Speed,160000 rpm
Output Current,Max. Output Current (Amp)	 4.2
Model Name,JCB / CNH.
Torque,As Per Motor Selection
Current,As Per Motor Selection
Usage,Toy
Material Used,Toys
Vehicle Name,N/A.
Vehicle Type,N/A.
Type of Motor,For All
Usage/Application,locomotive
Motor Part Type,wind generator
Material Type,silver
Phase,For All
Motor Part Type,locomotive
Type Of Motor,LOCOMOTIVE
Model No,S15
Speed,5000 RPM
Motor Type,BRUSHLESS
Motor Type,100 RPM Single Shaft BO Motor - Straight
Model Name/Number,100 RPM Single Shaft BO Motor - Straight
Current,12v
Manufacturer Brand,AMW
Trip time delay for unbalance,10 sec
Auto ON Delay Time,10 sec
Brand,BHARAT
Motor Brand,unisun
Collet Nut,er32
Frame Size,Round
Input Voltage,220V
Type,Automatically locks the gate and can only be operated by remote and with key provided for manual ope
Starter Type,Plastronix
ER Collet,er32
Diameter,8mm
Maximum Pressure,400 BAR
Ambient Temperature,-20...65 DegreeC
Pressure,400 BAR
Temperature,IP55
Port Size,"1/4"""
Number Of Poles,1
Gearbox Diameter,1.4inch
Body Material,Stainless steel
Brake Voltage (V),180VDC
Temperature Range,-20...65 DegreeC
Shaft Diameter,1.4inch
Voltage,180VDC
Motor Voltage,415 V
Number Of Motors,1
Dimension,Acc to Product demand
Pump Rpm,5000 rpm
Model No.,7614nb
Maximum Speed,5000 RPM
Collet,er32
Number Of Pole Pairs,8
No of Poles,8
Weight,ACC to product demand
Color,COPPER
Cat No,S15
Max. Pressure,High
Stall Torque,High
Motor Voltage,415
Motor Speed,5000 RPM
Gearbox Diameter,250 MM
Frame,250 MM
Rated Operational Voltage,"110V / 230V AC (ATS22), 110V / 230V AC / 24V DC (ATS48)"
Rated Control Supply Voltage,"110V / 230V AC (ATS22), 110V / 230V AC / 24V DC (ATS48)"
Brand,AMW
Type,High Voltage
Motor Brand,Shruti
Motor Voltage,440
Usage/Application,"Home,Industries,School,College,Hospitals,Apartments"
Grade,EG
Diameter,6 mm
Phase Configuration,Three Phase
Control Method,Automatic
Power,220V - 240V AC
Packaging Size,Box
Clamping Range S,80mm
Brand,Shruti
Current,3 phase
Current,5A
Brand,TnV
Power/Voltage,440V
Voltage,220V - 240V AC
Power,220V AC
Diameter,80mm
Phase,2
Colour,Black
Design,Round
Voltage Type,High Voltage
Current Rating,40 A
Running Capacity,40A
Operating Voltage,440
Current Rating,5A
Starter Type,Industrial Extension Board
Model Name/Number,TnV
Model Name/Number,Industrial Extension Board
Shutter Size,Torque Motor For Rolling Shutters
Output Torque,Torque Motor For Rolling Shutters
Power,Torque Motor For Rolling Shutters
Power/Voltage (V),440V
Motor Voltage,415V
Efficiency,IE2
Energy Efficiency Grade,IE2
Dimensions,23 x 11 x 21 CM
Size,23 x 11 x 21 CM
Dimensions,23x11x21 CM
Suitable For,"Home,Industries,School,College,Hospitals,Apartments"
Run Capacitor,50 MFD
Start Cap,50 MFD
Incomer Supply,220V AC
Size,23x11x21 CM
Incomer Supply,220V - 240V AC
Usage/Application,"Home,Apartment,Hospitals,Hotels,Schools,College,Industries,Factories"
Suitable For,"Home,Apartment,Hospitals,Hotels,Schools,College,Industries,Factories"
Model Number,HG-KR13BD
Brand,Jetwash
Brand,Indiyano
Chemical Formula,parallel shaft
Rated Voltage,220V
Power,12v
Mounting,57mm x 57mm
Size/Dimension,57mm x 57mm
Material Used,metal
Motor Voltage,230
Power,230
Compressor Brand,TFI
Brand/Make,MAXCENT VIBRATOR
Brand/Make,IDEALTECH
Load Capacity,AS PER CLIENTS REQUIREMENT
Brand,TFI
RPM,"720, 960, 1440, 2880 RPM"
RPM,750/1000/1400/2800  rpm
RPM,2800 RPM
Voltage,As per client's requirement
Pressure,As per client's requirement
Material,EPOXY
Brand,SR3
Rated Voltage,415 V
Brand,IDEALTECH
Voltage,220V -240V AC
Power,220V -240V AC
Current Type,Three Phase
Current Type,230V AC
Kind Of Application,Industrial
Location Type,Industrial
IP Rating,1
Ambient Temperature,1
Gear Ratios,1
Body Material,1
Model No,1
Surface Treatment,1
Valve Motion,As per client's requirement
Duty Cycle,AS PER CLIENTS REQUIREMENT
Speed At Rated Load,AS PER CLIENTS REQUIREMENT
Stroke Length,As per client's requirement
Speed(RPM),"300,015,001,000,750"
Features,Epoxy
Certification,SR3
Thermal Time,10mins
Continued Working Time,10Mins
Power Source,THREE PHASE
Voltage (Volt),415V
Frequency (Hertz),50Hz
Continued Working Time,15Min
Speed,15Min
Dimensions,100
Run Capacitor,100
Model Name/Number,BCH
Size,100
Start Cap,1
Power,12V 1 AMPS
Model Name/Number,millborn
Running Capacity,20AMP
Running Capacity,20A
Speed (RPM),"720, 960, 1440, 2880 RPM"
Speed,750/1000/1400/2800  rpm
Current,440V
Incomer Supply,440V
Guarantee,12 Months
Packaging Type,Corrugated Box
Surface Finish,Powder Coating
Packaging,Corrugated Box
Finishing,Powder Coated
Warranty,12 Months
Coating,Powder Coating
Suitable For,"Home,Industries,School,College,Hospitals,Apartments,Bunglows,Industries,Factory"
Usage/Application,"Home,Industries,School,College,Hospitals,Apartments,Bunglows,Industries,Factory"
Running Capacity,50 MFD
Body Enclosure,Cast Iron
Terminal Box Frame and Cover,Cast iron
Product Type,PMDC Motor
Usage,COOLING TOWER
Power,800w
Voltage,Micro Motor .
Application,Hammer Drill
Brand,Parker
Motor Type,Single Phase
Power,0.37KW ~ 450KW
Model Name/Number,MT2213
Spindle Power,800 watt
Power/Voltage,12 V
Speed,12V
Brand,VTEK
Pressure,LINEAR ACTUATOR
Power,12 volts dc
Power,parker
Voltage,230VAC/440VAC
Brand,Ignitor
Model Name/Number,Ignitor
Model Name/Number,150 RPM
Model Name/Number,100 RPM
Motor Voltage,230 V
Voltage,"3  kW  and  below  230  /  400,4  kW  and  above  400  /  690 V"
Stroke Length,"10"""
Voltage,200-415 V
Power,213 kW
Usage/Application,MOTOR TERMINATION
Brand,suguna
Maximum Operating Temperature,180* C
Brand,LINAK
Color,Yellow & Black
Model Name/Number,2496
No Of Phase,Single And Three Phase
Speed,1400-2800 rpm
Brand,Bharat Bijalee
Power,11 to 30kw
Ambient Temperature,40 Deg C
Input Phase,1 Phase
Brand,WOODWARD
Mounting,flange mounting & foot mounting
Speed,1700 RPM
Mounting Type,Floor Mounted
Voltage,Any
Speed,750 to 3000 rpm
Model Name/Number,asy1
Brand,reputed
Brand,Vignessh Gear
Power,40  Watts
Brand,As per demand
Brand,AVCON
IP Rating,IP21
Voltage,230 V - 400 V
Usage/Application,"Industrial,Agricultural etc"
Power,075 to 250 Frames
Voltage,1.4 Nm to 136 Nm (408 Nm Peak)
Model Name/Number,UNIMOTOR FM AC brushless servo motor
Speed,(408 Nm Peak)
Input Phase,3 phase
Brand,ANY MAKE
Model Name/Number,ANY MODEL
Input Phase,UNIVERSAL
Usage,Automotive
Speed,AS PER CUSTOMER REQUIREMENT
Usage/Application,Electric Power Tools
Speed,1400rpm
Model Name/Number,HP1
Voltage,NA
Power,10W to 22 KW
Power,1/8 HP
Maximum Weight Per Leaf,550W
Power Source,200~240
Usage/Application,Air Conditioner /Split/Ductable /Cassate
Brand,Maruti Die Casting
Motor Part Type,Brush
Ambient Temperature,55 Degree C
Brand,Godrej Lawkim
Rated Power,all size
Power,2-4 kw
Mounting,Foot / Flange
Voltage,230
Brand,amarsons
Phase,3-Phase
Model Name/Number,MHMF082L1V2M
Brand,MAG
Brand,TRANZ
Brand,Fenner
Voltage,415 to 440 V
Usage/Application,Automation
Voltage,240 V and also available in 240-440 V
Orientation,Foot & Flange
Brand,Carlo Gavazzi
Usage/Application,Q Frame Type Motor
Motor Voltage,33 V
Brand,Deuronn
Material,Sheet Metal
Starter Type,Star-Delta
Usage/Application,Industrial Motor Cover
Material,Graphite Bush or Carbon Bush
Brand,SCHLAFHORST
Usage/Application,Ball
Rated Power,5 HP TO 500 HP
Brand,LEROY SOMER
Power Rating,0.06 kW (0.082 hp)
Current,6-50Amp
Speed,6-36 mater head
Voltage,160-240 volt
Brand,N/A
Motor Voltage,N/A
Rated Power,"3 HP, also available in .5HP to 5HP"
Brand,Saini
Voltage,420 V
Power,180/0.5HP
Brand,Bheru
Voltage,230 V / 415 VAC
Stroke Length,"24"""
Model Name/Number,MRH2 2200
Power,0.37KW - 45KW
Speed,10001-14000 RPM
Ambient Temperature,50
Voltage,220V-240V
Maximum Weight Per Leaf,22 kg
Remote Operator,na
Phase,as per discussion
Mounting,"B3,B5,B14"
Rated Power,120HP
Power Rating,93KW  / 120HP
Warranty Period,NO WARRANTY
Input,Voltage
Brand,Jagrut
Phase,3 & 1
Model Name/Number,ML2DOL 20-32A DOL STARTERS
Motor Voltage,230 Vac
Brand,CARDIN
Ambient Temperature,-20+55 Degree celcius
Speed,>14000 RPM
Voltage,THREE PHASE
Material,EG 224
Motor Power,100HP
Input Voltage,320-520V
Input Phase,2PHASE
Output Current,140A
Power,26 W
Voltage,220 -230 V
No Load Speed,4001-6000 RPM
Mounting Type,Foot and Flanch
Usage/Application,For Swing Machine
Material Type,CRCA
Voltage,2.48 V
Mounting Type,Vertical
Brand,Crompton and bharatBijlee
Power,600W
Mounting,Flange and Foot
Step Angle,1.2
Usage/Application,MOTOR TERMINAL CONNECTOR
Maximum Operating Temperature,100 * C
Surface Finishing,SMOOTH
Model Name/Number,B550
Material,BRASS CARBON BRUSH HOLDER
Rated Power,75HP
Usage/Application,Induction Motor
Power,"1 HP,also available in .5HP to 5HP"
Voltage,240-380 V
Output Torque,2.5A
Mounting Type,As per customer
Surface Finish,Paint Coated
Brand,"Scheneider, Siemens, ABB, Larsen & Toubro, C&S, Havells, BCH"
Mounting Type,B3
Ambient Temperature,50 degree Celsius
Power,20HP
Ambient Temperature,-15 to 85 Deg C
Voltage,200 VAC ~ 440 VAC
Model Name/Number,Yes
Voltage,Yes
Brand,Max Plus
Usage/Application,REFRIGERATOR MOTOR
Usage/Application,Table Fan Motor
Power,3.7(5) kW(hp)
Power/Voltage,24V
Motor Brand,Jetwash
Length,Carbon brushes
Material,Carbon brushes
Motor Part Type,OHTC
Gear Type,Parallel shaft
Usage/Application,OHTC
Motor Voltage,240
Model Name/Number,AK
Brand,AK
Voltage,230-440V
Voltage,"200 - 450 VAC, 50 Hz +- 3%"
Model Name/Number,300 RPM
Model Name/Number,60 RPM
Speed,45 RPM
Model Name/Number,45 RPM
Model Name/Number,500 RPM
Power Rating,3.7 KW
Pressure,2000N
Maximum Weight Per Leaf,400kg
Power (Watts or HP),1200 W
Series,Foot Mounted Motor
Enclosure,Foot Mounted Motor
Input Phase,230 440V
Incomer Supply,220V
Model,Chicago pneumatic CP
Application,SERVO
Model Name/Number,HG-KR13BD
Brand,Chicago pneumatic CP
Incomer Supply,415V
Input Phase,230v
Suitable For,5 HP
Type,Industrial Carbon Brush
Product Type,Industrial Carbon Brush
Phase,"200 - 450 VAC, 50 Hz +- 3%"
Gate Weight Capacity,800 Kg
Encoder Type,sincos
Part Name,KOLLMORGEN SERVOSTAR 610-AS
Spindle Power,2.2 kw
Material,Bakelite
Speed,750KV
Power Rating,7.5 KW
Model Name/Number,KOLLMORGEN SERVOSTAR 610-AS
Current,30A
Current Rating,30A
Output Torque,600kg
Torque,750KV
Starter Type,Semi Automatic
Starter Type,SINGLE PHASE
Channels,SINCOS
Model,EV24A-SR-TPC
Power HP,12.5HP
Watt,75W
Material,as per requirement
Power,Standard
Mounting Type,Customised
Brand,Custom
Ambient Temperature,Normal
Length,All
Pressure,High accuracy
Brand,generic
Color,None
Power Source,Any
Brand,ME
Packaging Type,Custom
Brand,All brand
TS Max,NA
Dimensions,Multi
Size,ALL SIZES
Shutter Size,standard
Is It Customized,Customized
Control Panel,Not Required
Insulation Class,F
Quality,excellent
Size,Standerd
Electromagnetic Brake Static Friction Torque Motor Shaft,NA
Material,Customized
Model Name/Number,na
Head Shape,Standard
Size,Standard
Starter Type,ANY
Design,standard
Features,Flexible
IP Rating,allall
Brand,best quality
Model Name/Number,any
Color,Any
Color,Customizable
Size,Customized
Duty Cycle,variable
Size/Dimension,customize
Usage,Easy to use
Voltage,12 VDC
Speed,300
Model Name/Number,Y9-AA1
Power,1 HP - 1250 HP
Current,1250 A
Length,2.6-3 inch
Voltage,320V/380V
IP Rating,"ip 22,ip,44,ip55"
Actuator Type,Diesel
Model Name/Number,Stepper Motor
Material,Casting Iron
Brand,CHIHAI
Power,550 Watt
Voltage,230 Volt AC
Usage/Application,Commercial use for hotel and restaurant
Brand,Venus mixer grinder
Power,900 watt
Motor Voltage,On 230 volt AC 900 watt power
Power,8 KW
Torque At Max Speed,300rpm
No Load Speed,2001-4000 RPM
Motor Voltage,220V AC
Usage/Application,ALL
Power,0.37KW TO 250KW
Voltage,200-400V
Current,3 PH 415V  5.1AMP
Speed,1200
Brand,HPAI
Model Name/Number,HPAI-02
Voltage,250
Speed,500-2800 rpm
Brand,Cromex Appliances
Usage/Application,DC DRIVE
Width,32 MM
Current,6-54 A
Power,7.5 - 60HP
Power,Torque: 2 kg-cm
Power,Rated Torque(kg-cm): 2.9
Model Name/Number,TIFM0004
Power,3000kW
Usage/Application,Fan Motor For Room Air Conditioner
Speed,750-3000rpm
Termination Method,STUD / CABLE SOCKET
Voltage,415 V AC
Motor Part Type,MOTOR TERMINAL
Brand,Magtronics Engineering
Voltage,220-380 V
Mounting,Foot(B3)
Voltage,265/460 V
Brand,GOLDMEDAL
Speed,960 RPM- 3000 RPM
IP Rating,IP 54 and IP 55
Length,<0.5 inch
Voltage,AC
Power,3000 cc
Model Name/Number,BHSS - 1000 W
Power,5 A
Brand,Bholanath
Input Frequency,50HZ / 60HZ
Cooling Method,Fan
IP Rating,IP65
Current,10~25kA
Warranty Period,12 MONTHS
Ambient Temperature,-20 to 70 Degree Celsius
Brand,Bosch
Speed,4300 - 6000RPM
Power,90 Watts
Model Name/Number,QM/AM-650
Current,2A to 5A
Rated Current,16A
Brand,Polycab
Type,C Curve
Brand,THM
Voltage,440VAC
IP Rating,IP55 /65/ 66
Brand,HICOOL
Model Name/Number,HK-1
Material,"Cast Iron  and Also available in   Aluminium,Die Cast"
Brand,Armatix
Phase,N/A
Mounting Type,N/A
Brand,OMRON
Material Type,E6B2-CWZ1X
Power,60 to 120 Watts (changes according to motor model)
Voltage,12 to 48 Volts (changes according to motor model)
Mounting,TVS Lucas / Prabha Type
Usage/Application,MOTOR CONNECTION
Brand,MSC
Brand,Leopard
Brand,Msc Kolkata
Material,"DMC, Copper, Carbon"
Speed,Customized
Voltage,Customized
Hollow Shaft Diameter,"6, 8, 10 mm Hole Diameters"
Usage/Application,As per Suitable
Motor Part Type,TERMINAL PLATE
Model Name/Number,1FL6064-1AC61-0AB1
Weight,1FL6064-1AC61-0AB1 (Siemens Make Servo Motor)
Model Name/Number,SW-OFC
Brand,HPL
Brand,Teknic
Number Of Phase,THREE
Brand,Trio
Speed,1600-1800 RPM
Voltage,230-440 V-15..10%
Power,25 HP
Power,600 Watt
Material,Ci
Voltage,200-690V AC
Model Name/Number,VLT Compact Starter MCD 200
Motor Power,7.5 kW to 110 kW
Model Name/Number,VLT Soft Starter MCD 600
Brand,MPS
Usage/Application,Automobile Industry
Brand,Anu Electrical Motors
Power,150 Watts To 750 Watts
Power,1.1 kW / 1.5HP
Speed,1370 RPM
Die Casting Type,GRAVITY DIE CASTING
Model Name/Number,HG-KR43K
No Load Speed,490 to 19500 rpm
Power,110 W
Speed,1350-1400 rpm
Model Name/Number,Electronic Single Phase Motor Starter
Model Name/Number,ATS48C17Q
Power,37-132 kW
Resolution,Upto 10000
Hollow Shaft Diameter,up to 85 mm diameter
Power,132-250 kW
Power,45-90 kW
Model Name/Number,ATS22C17Q
Power,7.5-15 kW
Brand,volar
Brand,VRD
Brand,Micron
Brand,Meera
Usage/Application,Mixer Motor
Type,Planetary
Model Name/Number,MC/DC/1003
Brand,Micromot Controls
Torque,&lt;0.20 mNm
Usage/Application,SLIP RING FOR YRKK FRAME MOTOR
Motor Part Type,SLIP RING UNIT
Usage/Application,HT MOTOR TERMINAL BUSHING
Motor Part Type,BUSHING INSULATORS
Speed,"960 , 1440 , 2800"
Motor Part Type,terminal plate for ht motor
Speed,900RPM
Length,Many Sizes and Variety
Model Name/Number,RP15
Brand,O General
Brand,Bhumidhan
Brand,KEB
Head Shape,Round
Surface Finishing,Polished
Power,6AMPS
Voltage,123V
Input Phase,123V
Torque,6 AMPS
Brand,Twin track
Type Of Motor,Dc and Ac Motor
Width,as per requirement
We Repair,Rexroth & Yaskawa
Kw/Hp,0.37 - 45 kw/( 0.5-60 hp)
Torque,6.58 nm
Brand,Gast
Torque At Max Speed,2000 RPM
Power,as per requirement
Power,24V AC / DC / 110V AC / 220 V AC / 230V AC
Surface Finish,Color Coated
Brand,B&R
Model Name/Number,8MSA3X.R0-42
Voltage,6600
Brand,The Galaxy Enterprise
Model Name/Number,60 Servo
Brand,as per requirement
Number Of Phase,as per requirement
Motor Part Type,INSULATORS SPOUT
No Of Phase,5 phase
Brand,ASK PLUS
Brand,Smit
Output Type,Relay
Power,0.5
Power,10.0 HP
Usage/Application,Electriv motor
Brand,Kohli aluminium
Power,ThreePhase
Power,1HP / 2HP / 3HP
Voltage,230 /440 VOLT
Brand,Oriental Motor
Brand,Defender
Type,UNIPOLAR/BIPOLAR
Torque,AS PER CUSTOMER
Power,1-3 kW
Ambient Temperature,40 Degree C
Brand,Shanthi Gears
Brand,Atlas Gold
Warranty Period,6 Months
Mounting,Foot Mount
Rated Power,7
Material,using best grades...
Width,"0.6-1 inch,<0.25 inch"
Output Current,5-10A
Voltage,220 V - 240 V
Duty,S3 / S4 / S5 Intermittent Duty
Warranty,6 months warranty.
Servo Motor Type,"AC Motor, DC Servo Motor, Printed Armature"
Power,1500 VOLT
Brand,Babbal motors and gajets
Type,CSCR
Type,CSIR
Brand,Fusion Star
Speed,10 TO 1000
Voltage,415 volt
Speed,32 TO 400
Power,.7 KV and Above depend on Requirment
Speed,750 RPM To 2800 RPM
Power,10hp-300hp
Brand,imported
Material,Heavy duty copper contacts
Voltage,280-500v
Output Torque,280 - 1220 Nm
Usage/Application,Residential or Commercial Gates  for Intensive Usage
Remote Operator,RC Victor 2
Holder Size,25x50 and other are also available
Number Of Phase,3phase or more
Model Name/Number,BULL20M
Type Of Gate,Sliding
Speed,1000 RPM and also available 900-2000 RPM
Brand,Kuebler
Usage/Application,For Sander Polisher
Speed,20 to 280 RPM
Gear Type,Worm
Power,Up to 15 Kw
Power,2.5KW
Model Name/Number,SH31004P12F2100
Brand,baldor/ABB
Power,280-440
Current,"20-32,13-21"
Motor Brand,CGL
Speed,1~700 Rpm
Model Name/Number,ADD175A
Actuator Type,Screw Jack Actuator
Speed,"720RPM also in 960, 1440, 2900 RPM"
Power,10Kw to 250Kw
Power,370 watt
Voltage,230-415 V
Power,75-250 kW
Power,55-220 kW
Power,30-110 kW
Brand,Johnson Controls
Model Name/Number,T2000AAC-0C0
Color,White
Output Torque,360 Nm
Power,715 W
Power,55-110 kW
Model Name/Number,ATS22C21Q
Current,162 A
Model Name/Number,REXROTH A2FM56/61W-PZB
Mounting Type,"B3, B5, B14, Pad & Combinations"
Voltage,415 V +/- 10%
Brand,Pranshu Electricals
Power,2KW
Stroke Length,"1"""
Voltage,220 - 380 V
Mounting Type,free standing
Brand,Jewel
Voltage,230-415 Volt
Brand,Raj Lite
Mounting,Floor Mounted
Voltage,230 volt
Brand,Rotomotive Powerdrives India Ltd
Brand,Redsun
Speed,As required
Mounting Type,Foot and Flange
Power,620W
Material,Electro Pneumatics Valve Positioner
Usage/Application,Crawler Drill
Model Name/Number,CMP50M
Voltage,340 V
Service Location,Maharashtra
We Repair,Pacific Scientific Servo Motor Repairing
We Repair,Kollmorgen Servo Motor Repairing
Power,100 watt
Motor Voltage,24 V
Speed,32-400 RPM
Power,400 Kw
Power Rating,ANY
Ambient Temperature,50 C.
Brand,BBL / CG / Havells / Kirloskar
Ambient Temperature,40 - 50
Voltage,2.5V
Voltage,2.2V
Rated Power,0.37kw to 1000 kw
Ambient Temperature,-15 to 50 Degree Celsius
Power,1.5 kW to 15 kW
Voltage,380-415 V
Brand,AE
Frequency,54
Brand,SCON GEARS
Phase,"three phase, single phase, etc....."
Brand,Premium
Mounting Type,B3 / V1 / B14....
Model Name/Number,43MRGR3008
Voltage,220 V AC
Speed,NA
Usage/Application,air lock
Brand,Nm
Type,Any parsion
Speed,960-2800
Voltage,5 V
Model Name/Number,SG 90
Brand,Hydro Power
Casing Material,BLDC
Size/Dimension,BRUSHLESS MOTOR DYS 1100KV
Material,C.I.
Mounting,FOOT OR FLANGE
Motor Brand,Own Brand
Design,Customized
Model Name/Number,as per customer requirement
Machine Power,customized
Pole,Standard
Running Torque,Variable
Color,As per requirement
Dimension,customized Size
Power,As required
Motor Power,customized
Power,Depend on requirement
Rated Speed,As Per Requirement
Stroke Length,All size
TS Max,As per model
Color,As per customer requirement
Frequency,na
Is It Customized,Non Customized
Frame Size,Any
Build Up Area / Size,any
Type of Control Panel,All type
Dimensions,Regular
Shutter Size,As Per Customer Required
quality,standard
Machining,Optional
Waraanty,NA
Size,As per requirement
Quality,Best
weight,vary
brand,none
usage,multi
Deal In,New Only
Brand,NPS
Speed(RPM),Variable
Torque,Variable
Voltage,ALL
Power,customize
Voltage,customize
Voltage,Other
Phase,As Per Requirement
Speed,As Per Requirement
Application,NA
Mounting Type,As Per Requirement
Speed,ALL
Type,ALL
Current,ALL
Torque,ALL
Motor Type,customize
Type,customize
Torque,customize
Model Name/Number,customize
Brand,customize
Speed,customize
Power Source,customize
Power Source,As  Per Customer Requirement
Motor Type,As  Per Customer Requirement
Type,AS REQUIRED
Torque,AS REQUIRED
Material,N/A
Power,N/A
Speed,N/A
Type,N/A
Output Contact Rating,NA
Packaging Type,NA
Material,NA
Brush Top,Other
Features,good
Model Name/Number,all
Mounting Style,all
Moisture Proof,all
Ambient Temperature,na
Gear Ratios,na
Design Type,Standard
Usage/Application,good
Color,good
Brand/Model,all
Size/Dimension,Custom
Width,NA
Features,all
Frame Size,na
Shape,na
Body Enclosure,na
Electromagnetic Brake Voltage Or Frequency Or Current Or Input,na
Surface Treatment,na
IP Rating,na
Number Of Poles,As Per Requirement
Start Time Delay,NA
Temperature,NA
Size,NA
Shutter Size,na
Contact Gap,na
Surface Finish,Custom
Machine Power,NA
Features,standard
Complaints or Issues,all
Brand,NA
Features,na
Suitable For,na
DC Brake,na
Size,N/A
No Load Speed,all
Thickness,Other
Temperature,ALL
Weight,AS REQUIRED
Size/Dimension,AS REQUIRED
Insulation Type,AS REQUIRED
Dosage,As per requirement
Voltage,As per requirement
Motor Voltage,As per requirement
Mounting,Standard
Output Power,Customized
Output Current,Customized
Ambient operating limits,na
Power Supply,na
Power Consumption,na
Damper Area,na
Load Capacity,AS PER CLIENT REQUIREMENT
Voltage,Customised
Voltage,AS PER CLIENT REQUIREMENT
Usage/Application,AS PER CLIENT REQUIREMENT
Usage/Application,as per requirement
Brand,Any one
Speed,130 - 3600 RPM
Place of Application,Out-Door
Speed,1800-2600 RPM
Speed,1440-2800 RPM
Voltage,12-24 V
Model Name/Number,NHM 400
Model Name/Number,LK1158
Voltage,1000
Brand,Autocon
Power,440 v
Model Name/Number,IND215
Voltage,200
Voltage,230/400 Volt
Brand,All Brands available
Model Name/Number,GSH 11E
Stroke Length,"12"""
Mounting Type,"Foot, Flange, Foot cum Flange Mounted"
Remote Operator,Yes
Usage/Application,"BUSTER PUMP FOR R.O,MIXER MOTOR,HAND TOOLS"
Thickness,0.50MM
Brand,Forex
Voltage,115/230V
Model Name/Number,ATS48C66Q
Voltage,415 & 220
Power,22-90 kW
Model Name/Number,ATS48D47Q
Power,9-45 kW
Voltage,430 V
Power,<10kW
Model Name/Number,ATS22D47Q
Service Location,Service Center
Voltage,2 x 12V AC
Voltage,220/380/415/690 V
Motor Brand,COMUNELLO ITALY
Model Name/Number,SMC Flex Low Voltage Soft Starters
Current,12-25 A
Speed,250 RPM
Brand,AGEI
Brand,Careon
Voltage,12VDC
Type Of Motor,Servo
Power/Voltage,TC 24 V
Max Output Power,19 HP
Mounting Type,B5 (Flange )
Voltage,230V AC 50hz or 230 DC
Power,415 volt
Usage/Application,CGL HT MOTOR SLIP RINGS
Speed,1000
Power,2.2 kW to 1250kW
Usage/Application,For Motor
Ambient Temperature,50 Deg C
Model Name/Number,MY
Brand,BMC
Output Torque,168 NM
Usage/Application,Electric Fittings
Number Of Phase,3 PHASE AND MORE
Speed,24000RPM
Model Name/Number,Hydraulic Pump Motor
Speed,1440 standard
Voltage,230/400 V
Model Name/Number,SA-03
Mounting Type,fgree standing
Speed,10-300RPM
Voltage,415/230V
Starter Type,Electronic
Current,18 Amp
Rated Power,0.5 HP also available up to 30HP
Model Name/Number,BLV Series
Material,DC
Model Name/Number,1000 RPM
Model Name/Number,30 RPM
Power Source,4W
Type,Micro Motor .
Rated Power,3Hp
Rated Power,1.5Hp
Rated Power,10Hp
Number of Poles,6
Voltage,12 volts dc
Starter Type,Soft Starter Repair Service
ER Collet,ATC
Motor Brand,Vtek
Body Material,Helical Geared Motor
Capacity,0.37KW ~ 450KW
Capacity,2 Hp
Model No,Helical Geared Motor
Collet Nut,ATC
Surface Treatment,Helical Geared Motor
IP Rating,Helical Geared Motor
Ambient Temperature,Helical Geared Motor
Input Phase,230VAC /440VAC
Usage,Hammer Drill
Output Power,5 kW
Running Capacity,25 A
Speed,SGMSH-15DCA6F-OY
Truck Brand,shruti
Voltage,SGMSH-15DCA6F-OY
Number of Poles,4 Poles
No of Poles,4 Pole
Rated Power,7.5 HP
Main Circuit Control,SGMSH-15DCA6F-OY
Single Phase Servo Pack Model,SGMSH-15DCA6F-OY
Three Phase Servo Pack Model,SGMSH-15DCA6F-OY
Model Name/Number,SGMSH-15DCA6F-OY
Material of Construction(Contact),Copper
Weight Capacity,400kg
Maximum Lifting Height,400kg
Rated Output Capacity,1KW
Power,1Kw
Power,4W
