Query,Key Match Count,Value Match Count,GT Unique Keys,Gemma Unique Keys,GT Unique Values,Gemma Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemma: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemma Only Keys
Panasonic AC Servo Motor,5,1,7,8,3,2,71.4%,33.3%,panasonic - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| ac - current_type | supply_type,Panasonic - brand | type | company | motor_type | manufacturer | product_type | make | device_type,brand | company | manufacturer | motor type | product type,panasonic,current type | supply type,device type | make | type
Panasonic Geared Motor,5,1,5,8,2,2,100.0%,50.0%,panasonic - brand | manufacturer | company |||| gear motor - motor_type | product_type,Panasonic - brand | company | manufacturer | make |||| Geared Motor - type | motor_type | product_type | device_type,brand | company | manufacturer | motor type | product type,panasonic,,device type | make | type
Panasonic Servo Motor MHMF042L1U2M  400Watt,5,2,10,11,4,3,50.0%,50.0%,panasonic - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 400 w - power | wattage |||| MHMF042L1U2M - model_number | part_number | model,Panasonic - brand | company | manufacturer | make |||| MHMF042L1U2M - model_number | model_name | model | model_no |||| 400Watt - power_source | power_supply | power_type,brand | company | manufacturer | model | model number,mhmf042l1u2m | panasonic,motor type | part number | power | product type | wattage,make | model name | model no | power source | power supply | power type
Paragon Motor Starter,0,0,4,4,2,1,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,Paragon - brand | company | manufacturer | make,,,application | motor type | product type | use,brand | company | make | manufacturer
Permanent Magnet. tech,0,0,2,7,1,2,0.0%,0.0%,magnet - product_category | category,Permanent Magnet. - power_source | power_supply | power_type |||| Tech - material | body_material | material_type | casing_material,,,category | product category,body material | casing material | material | material type | power source | power supply | power type
Petrosa Starter medium,0,0,4,8,1,2,0.0%,0.0%,starter - application | use |||| starter - product_category | category,Petrosa - brand | company | manufacturer | make |||| Medium - starter_type | starter_motor_type | starting_method | starter_model,,,application | category | product category | use,brand | company | make | manufacturer | starter model | starter motor type | starter type | starting method
Petrosa Starter medium 200 Grams,0,0,4,10,1,3,0.0%,0.0%,starter - application | use |||| starter - product_category | category,200 Grams - weight | item_weight | net_weight |||| Medium - size | dimension | frame_size |||| Petrosa - brand | company | manufacturer | make,,,application | category | product category | use,brand | company | dimension | frame size | item weight | make | manufacturer | net weight | size | weight
Petrosa starter mini 1 KG,0,0,4,10,2,3,0.0%,0.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,1 KG - weight | item_weight | net_weight |||| Mini - size | dimension | frame_size |||| Petrosa - brand | company | manufacturer | make,,,application | category | product category | use,brand | company | dimension | frame size | item weight | make | manufacturer | net weight | size | weight
Petrosa starter mini 1KG,0,0,4,11,2,3,0.0%,0.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,1KG - capacity | load_capacity | weight_capacity | lifting_capacity |||| Petrosa - brand | company | manufacturer | make |||| Mini - starter_type | starting_method | starter,,,application | category | product category | use,brand | capacity | company | lifting capacity | load capacity | make | manufacturer | starter | starter type | starting method | weight capacity
Petrosa starter mini 3 KG,0,0,4,10,2,3,0.0%,0.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,Petrosa - brand | company | manufacturer | make |||| 3 KG - weight | item_weight | net_weight |||| Mini - size | dimension | frame_size,,,application | category | product category | use,brand | company | dimension | frame size | item weight | make | manufacturer | net weight | size | weight
Petrosa starter mini 3KG,0,0,4,10,2,3,0.0%,0.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,3KG - weight | item_weight | net_weight |||| Mini - size | dimension | frame_size |||| Petrosa - brand | company | manufacturer | make,,,application | category | product category | use,brand | company | dimension | frame size | item weight | make | manufacturer | net weight | size | weight
Petrosa starter mini 8 KG,0,0,4,11,2,3,0.0%,0.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,8 KG - capacity | load_capacity | weight_capacity | lifting_capacity |||| Petrosa - brand | company | manufacturer | make |||| Mini - starter_type | starting_method | starter_method,,,application | category | product category | use,brand | capacity | company | lifting capacity | load capacity | make | manufacturer | starter method | starter type | starting method | weight capacity
Petrosa starter mini 8KG,0,0,4,11,2,3,0.0%,0.0%,starter - application | use |||| starter - product_category | category |||| miniature - product_category | category,Petrosa - brand | company | manufacturer | make |||| 8KG - capacity | load_capacity | weight_capacity | lifting_capacity |||| Mini - starter_type | starting_method | starter_method,,,application | category | product category | use,brand | capacity | company | lifting capacity | load capacity | make | manufacturer | starter method | starter type | starting method | weight capacity
Piston Nebulizer Motor,2,0,2,8,1,2,100.0%,0.0%,motor - motor_type | product_type,Piston - type | motor_type | product_type | device_type |||| Nebulizer - usage_application | application | usage | suitable_for,motor type | product type,,,application | device type | suitable for | type | usage | usage application
Planetary Gear Motor,0,0,2,4,1,1,0.0%,0.0%,gear motor - motor_type | product_type,Planetary Gear Motor - model_number | model_name | model | model_no,,,motor type | product type,model | model name | model no | model number
Pmdc Stirrer Motor,2,0,2,8,1,2,100.0%,0.0%,motor - motor_type | product_type,PMDC - brand | company | manufacturer | make |||| Stirrer Motor - type | motor_type | product_type | device_type,motor type | product type,,,brand | company | device type | make | manufacturer | type
Pneumatic Actuators,0,1,4,4,2,1,0.0%,50.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,Pneumatic - power_source | power_supply | power_type | operation_mode,,pneumatic,application | category | product category | use,operation mode | power source | power supply | power type
Pneumatic Actuatos,0,1,4,10,2,1,0.0%,50.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,Pneumatic - power_source | power_supply | power_type |||| None - working_pressure | max_pressure |||| None - working_load | load_capacity |||| None - weight | item_weight | net_weight,,pneumatic,application | category | product category | use,item weight | load capacity | max pressure | net weight | power source | power supply | power type | weight | working load | working pressure
Pneumatic Diaphragm Actuator,0,1,4,6,2,2,0.0%,50.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,Pneumatic - power_source | actuator_type | power_supply | motor_type | power_type | product_type,,pneumatic,application | category | product category | use,actuator type | motor type | power source | power supply | power type | product type
Pneumatic Rotary Actuator,0,1,4,6,2,2,0.0%,50.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,Pneumatic - power_source | power_supply | power_type |||| Rotary Actuator - working_pressure | max_pressure | working_load,,pneumatic,application | category | product category | use,max pressure | power source | power supply | power type | working load | working pressure
Pneumatic Rotary Actuators,0,1,4,7,2,2,0.0%,50.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,Pneumatic - power_source | power_supply | power_type | operating_voltage |||| Rotary Actuators - number_of_poles | no_of_poles | poles,,pneumatic,application | category | product category | use,no of poles | number of poles | operating voltage | poles | power source | power supply | power type
PowerSpeed Armature For 9005 N Makita,0,0,2,8,1,2,0.0%,0.0%,armature - product_category | category,PowerSpeed - brand | company | manufacturer | make |||| 9005 N - model_number | model_name | model | model_no |||| 9005 N - model_no | model_name | model,,,category | product category,brand | company | make | manufacturer | model | model name | model no | model number
PowerSpeed Armature For Makita 3501 N,0,0,2,8,1,2,0.0%,0.0%,armature - product_category | category,PowerSpeed - brand | company | manufacturer | make |||| 3501 N - model_number | model_name | model | model_no |||| 3501 N - model_no | model_name | model | model_number,,,category | product category,brand | company | make | manufacturer | model | model name | model no | model number
PowerSpeed Armature For Makita 9500 NB,0,1,2,8,1,3,0.0%,100.0%,armature - product_category | category,PowerSpeed - brand | company | manufacturer | make |||| 9500 NB - model_number | model_name | model | model_no |||| Armature - model_no | model_name | model | model_number,,armature,category | product category,brand | company | make | manufacturer | model | model name | model no | model number
PowerSpeed Armature for Gsh-500 Bosch,3,0,5,8,2,2,60.0%,0.0%,bosch - brand | manufacturer | company |||| armature - product_category | category,PowerSpeed - brand | company | manufacturer | make |||| GSH-500 - model_number | model_name | model | model_no,brand | company | manufacturer,,category | product category,make | model | model name | model no | model number
Printer Solenoid Switch,0,0,4,6,3,2,0.0%,0.0%,printing - application | use |||| solenoid - application | use |||| solenoid - product_category | category |||| switch - product_category | category,Solenoid Switch - type | product_type | device_type |||| Printer - model_number | model_name | model,,,application | category | product category | use,device type | model | model name | model number | product type | type
R. S. Series Geared Motors,0,0,2,8,1,2,0.0%,0.0%,gear motor - motor_type | product_type,R. S. - brand | company | manufacturer | make |||| Series Geared Motors - model_number | model_name | model | model_no,,,motor type | product type,brand | company | make | manufacturer | model | model name | model no | model number
RC Car Brushless ESC Platinum Edition 120A,1,1,4,16,3,4,25.0%,33.3%,rc car - application | use |||| automotive - application | use |||| esc - product_category | category,120A - current | current_rating | rated_current | input_current |||| Brushless ESC - type | motor_type | product_type | device_type |||| Platinum Edition - model_number | model_name | model | model_no |||| RC Car - usage_application | application | usage | suitable_for,application,rc car,category | product category | use,current | current rating | device type | input current | model | model name | model no | model number | motor type | product type | rated current | suitable for | type | usage | usage application
RPG15Q Motor,0,0,5,4,2,1,0.0%,0.0%,rpg - brand | manufacturer | company |||| motor - motor_type | product_type,RPG15Q - model_number | model_name | model | model_no,,,brand | company | manufacturer | motor type | product type,model | model name | model no | model number
Rawat+Induction+Motors,2,0,2,7,1,2,100.0%,0.0%,induction motor - motor_type | product_type,Rawat - brand | company | manufacturer | make |||| Induction Motors - type | motor_type | product_type,motor type | product type,,,brand | company | make | manufacturer | type
Refrigerator Motor,2,0,2,4,1,1,100.0%,0.0%,motor - motor_type | product_type,Refrigerator Motor - type | motor_type | product_type | device_type,motor type | product type,,,device type | type
Remi Centrifuge Carbon Brush,3,1,7,8,3,2,42.9%,33.3%,remi - brand | manufacturer | company |||| automotive - application | use |||| brush - product_category | category,Remi - brand | company | manufacturer | make |||| Carbon Brush - type | motor_type | product_type | device_type,brand | company | manufacturer,remi,application | category | product category | use,device type | make | motor type | product type | type
Remi Centrifuge Carbon Brushes,3,1,7,8,3,2,42.9%,33.3%,remi - brand | manufacturer | company |||| automotive - application | use |||| brush - product_category | category,Remi - brand | company | manufacturer | make |||| Carbon Brushes - type | product_type | item_type | device_type,brand | company | manufacturer,remi,application | category | product category | use,device type | item type | make | product type | type
Remi Geared Motor,5,1,5,8,2,2,100.0%,50.0%,remi - brand | manufacturer | company |||| gear motor - motor_type | product_type,Remi - brand | company | manufacturer | make |||| Geared Motor - type | motor_type | product_type | device_type,brand | company | manufacturer | motor type | product type,remi,,device type | make | type
Rexroth A2Fo180,0,0,0,8,0,2,N/A,N/A,,Rexroth - brand | company | manufacturer | make |||| A2Fo180 - model_number | model_name | model | model_no,,,,brand | company | make | manufacturer | model | model name | model no | model number
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,0,0,9,0,4,0,0.0%,0.0%,gear motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| 30 rpm - speed | rpm | rated_speed |||| dc - current_type | supply_type,,,,current type | motor type | product type | rated speed | rpm | speed | supply type | supply voltage | voltage,
Rhino+12V+DC+30RPM+70Kgcm+IG32+Heavy+Duty+Planetary+Geared+Motor,0,0,9,0,4,0,0.0%,0.0%,gear motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| 30 rpm - speed | rpm | rated_speed |||| dc - current_type | supply_type,,,,current type | motor type | product type | rated speed | rpm | speed | supply type | supply voltage | voltage,
Rolling Shutter Motor,2,0,2,4,1,1,100.0%,0.0%,motor - motor_type | product_type,Rolling Shutter Motor - type | motor_type | product_type | device_type,motor type | product type,,,device type | type
Rotomotive Induction Motor 3 Phase,4,1,7,8,3,2,57.1%,33.3%,rotomotive - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| three phase - phase | supply_phase,3 Phase - phase | phase_type | number_of_phase | input_phase |||| Rotomotive - brand | company | manufacturer | make,brand | company | manufacturer | phase,rotomotive,motor type | product type | supply phase,input phase | make | number of phase | phase type
Rotork Yt 3300 Smart Positioner,0,0,4,8,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Rotork - brand | company | manufacturer | make |||| Yt 3300 - model_number | model_name | model | model_no,,,application | category | product category | use,brand | company | make | manufacturer | model | model name | model no | model number
SECO N 24 25 Single Chain Actuator,0,0,4,11,1,3,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,SECO - brand | company | manufacturer | make |||| N 24 25 - model_number | model_name | model | model_no |||| Single Chain - number_of_poles | no_of_poles | poles,,,application | category | product category | use,brand | company | make | manufacturer | model | model name | model no | model number | no of poles | number of poles | poles
SIEMENS 1FL6064-1AC61-2LA1 SIMOTICS S-1FL6-1FL6 Operating voltage 3AC 400 V,0,0,8,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| 400v - voltage | supply_voltage |||| 3v - voltage | supply_voltage |||| 1FL6064-1AC61-2LA1 - model_number | part_number | model,,,,brand | company | manufacturer | model | model number | part number | supply voltage | voltage,
SIEMENS 1LE7501‑1BB23‑5AA4,5,1,6,8,2,2,83.3%,50.0%,siemens - brand | manufacturer | company |||| 1LE7501 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| 1LE7501-1BB23-5AA4 - model_number | model_name | model | model_no,brand | company | manufacturer | model | model number,siemens,part number,make | model name | model no
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-5AF00-1SB0 0.75 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.75 kw - power | kilowatt | wattage |||| 1FK2104-5AF00-1SB0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,5,2,8,8,3,3,62.5%,66.7%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF01-1MB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2104-6AF01-1MB0 - model_name | model_no | model_name | model_number,brand | company | manufacturer | model | model number,1fk2104-6af01-1mb0 | siemens,motor type | part number | product type,make | model name | model no
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,6,1,11,12,4,3,54.5%,25.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF01-1MB0 - model_number | part_number | model,SIEMENS - brand | model_number | power_source | company | model_name | power_supply | manufacturer | model | power_type | make | model_no | power,brand | company | manufacturer | model | model number | power,siemens,kilowatt | motor type | part number | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF11-0MB0,0,0,8,0,3,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF11-0MB0 - model_number | part_number | model,,,,brand | company | manufacturer | model | model number | motor type | part number | product type,
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF11-0MB0 1 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF11-0MB0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 1FK2106-4AF11-1SA0  servo motor 2.7 kW,6,2,11,12,4,3,54.5%,50.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF11-1SA0 - model_number | part_number | model,SIEMENS - brand | model_number | power_source | company | model_name | power_supply | manufacturer | model | power_type | make | model_no | power,brand | company | manufacturer | model | model number | power,2.7 kw | siemens,kilowatt | motor type | part number | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SIMOTICS S-1FK2 SERVO  MOTOR 1FK2106-4AF00-0MA0 2.7 kW,5,2,11,11,4,3,45.5%,50.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF00-0MA0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 SERVO  MOTOR 1FK2106-4AF00-0MA0 - model_number | model_name | model | model_no |||| 2.7 kW - power_source | power_supply | power_type,brand | company | manufacturer | model | model number,2.7 kw | siemens,kilowatt | motor type | part number | power | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-3AF11-1SA0 2.3 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2.3 kw - power | kilowatt | wattage |||| 1FK2106-3AF11-1SA0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF00-1MA0 2.7 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF00-1MA0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF10-0SA0 2.7 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF10-0SA0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR  1FK2106-4AF01-1SA0 2.7 kW,7,3,11,12,4,4,63.6%,75.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF01-1SA0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2106-4AF01-1SA0 - model_name | model_no | model | model_number |||| 2.7 kW - power | wattage | motor_power | power_rating,brand | company | manufacturer | model | model number | power | wattage,1fk2106-4af01-1sa0 | 2.7 kw | siemens,kilowatt | motor type | part number | product type,make | model name | model no | motor power | power rating
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0MB0 0.06 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.06 kw - power | kilowatt | wattage |||| 1FK2104-4AK01-0MB0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0SB0 0.06 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.06 kw - power | kilowatt | wattage |||| 1FK2104-4AK01-0SB0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-5AK00-0SB0 0.12 kW,6,3,11,12,4,4,54.5%,75.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.12 kw - power | kilowatt | wattage |||| 1FK2104-5AK00-0SB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2104-5AK00-0SB0 - model_name | model_no | model | model_number |||| 0.12 kW - power_source | power_supply | power_type | power,brand | company | manufacturer | model | model number | power,0.12 kw | 1fk2104-5ak00-0sb0 | siemens,kilowatt | motor type | part number | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0,5,2,8,9,3,3,62.5%,66.7%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF01-1SB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no | model_type |||| 1FK2104-6AF01-1SB0 - model_no | model_name | model_number | model_no,brand | company | manufacturer | model | model number,1fk2104-6af01-1sb0 | siemens,motor type | part number | product type,make | model name | model no | model type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0 1 kW,6,3,11,12,4,4,54.5%,75.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF01-1SB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2104-6AF01-1SB0 - model_name | model_no | model_name | model_number |||| 1 kW - power_source | power_supply | power_type | power,brand | company | manufacturer | model | model number | power,1 kw | 1fk2104-6af01-1sb0 | siemens,kilowatt | motor type | part number | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0,5,2,8,8,3,3,62.5%,66.7%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF10-0MB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2104-6AF10-0MB0 - model_name | model_no | model | model_number,brand | company | manufacturer | model | model number,1fk2104-6af10-0mb0 | siemens,motor type | part number | product type,make | model name | model no
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,6,1,11,12,4,3,54.5%,25.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF10-0MB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 - model_number | model_name | model | model_no |||| 1kW - power_source | power_supply | power_type | power,brand | company | manufacturer | model | model number | power,siemens,kilowatt | motor type | part number | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0,5,1,8,8,3,2,62.5%,33.3%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF10-0SB0 - model_number | part_number | model,SIEMENS - brand | model_number | company | model_name | manufacturer | model | make | model_no,brand | company | manufacturer | model | model number,siemens,motor type | part number | product type,make | model name | model no
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0 1 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF10-0SB0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0,5,2,8,8,3,3,62.5%,66.7%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF10-1MB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2104-6AF10-1MB0 - model_name | model_no | model_name,brand | company | manufacturer | model | model number,1fk2104-6af10-1mb0 | siemens,motor type | part number | product type,make | model name | model no
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0 1 kW,6,1,11,12,4,3,54.5%,25.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF10-1MB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0 - model_number | model_name | model | model_no |||| 1kW - power_source | power_supply | power_type | power,brand | company | manufacturer | model | model number | power,siemens,kilowatt | motor type | part number | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF00-0SA0 2.7 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF00-0SA0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF00-1SA0  2.7 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF00-1SA0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0MA0 2.7 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF01-0MA0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0SA0 2.7 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF01-0SA0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-1MA0  2.7 kW,6,3,11,12,4,4,54.5%,75.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF01-1MA0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2106-4AF01-1MA0 - model_name | model_no | model | model_number |||| 2.7 kW - power_source | power_supply | power_type | power,brand | company | manufacturer | model | model number | power,1fk2106-4af01-1ma0 | 2.7 kw | siemens,kilowatt | motor type | part number | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF10-0MA0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0 2.7 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF10-1MA0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
