query,gt_success,qmeans_success,gt_total_keys,gt_unique_values,qmeans_total_keys,matched_key_count,matched_value_count,gt_only_key_count,qmeans_only_key_count,key_match_rate,value_match_rate,matched_keys,gt_only_keys,qmeans_only_keys,matched_values,key_match_details_json,value_match_details_json
Venex Motor Starter,True,True,7,3,2,1,1,6,1,14.29%,33.33%,brand,company; use; application; manufacturer; product type; motor type,usage,venex,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""venex"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""venex"", ""value_also_matches"": true}]","[{""value"": ""venex"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
Mobile+Starter+Prime,True,True,4,1,0,0,0,4,0,0.00%,0.00%,,product category; category; application; use,,,[],[]
havells motor,True,True,5,2,2,1,2,4,1,20.00%,100.00%,brand,product type; manufacturer; company; motor type,part type,motor; havells,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""havells"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""havells"", ""value_also_matches"": true}]","[{""value"": ""motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""part type""]}, {""value"": ""havells"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
AC Fail and DC Fail,True,True,2,1,0,0,0,2,0,0.00%,0.00%,,current type; supply type,,,[],[]
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0MB0 0.06 kW,True,True,11,4,4,2,4,9,2,18.18%,100.00%,power; brand,wattage; part number; company; manufacturer; model; product type; model number; kilowatt; motor type,usage; model name/number,1fk2104-4ak01-0mb0; siemens; 0.06 kw; servo motor,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""0.06 kw"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""power"", ""qmeans_value"": ""0.06 kw"", ""value_also_matches"": true}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""siemens"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""siemens"", ""value_also_matches"": true}]","[{""value"": ""1fk2104-4ak01-0mb0"", ""gt_keys"": [{""key"": ""model_number"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""part_number"", ""key_priority"": 2, ""attr_priority"": 4}, {""key"": ""model"", ""key_priority"": 3, ""attr_priority"": 4}], ""qmeans_keys"": [""model name/number""]}, {""value"": ""siemens"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}, {""value"": ""0.06 kw"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""kilowatt"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""wattage"", ""key_priority"": 3, ""attr_priority"": 3}], ""qmeans_keys"": [""power""]}, {""value"": ""servo motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""usage""]}]"
Aluminium Winding Cooler Fan Motor,True,True,6,3,3,0,1,4,3,0.00%,33.33%,,product type; application; use; motor type,usage; winding material; part type,cooler,[],"[{""value"": ""cooler"", ""gt_keys"": [{""key"": ""application"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""use"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""usage""]}]"
FL42STH33-0956AF- Hybrid Stepper Motor,True,True,2,1,2,1,1,1,1,50.00%,100.00%,motor type,product type,model name/number,stepper motor,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""stepper motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""stepper motor"", ""value_also_matches"": true}]","[{""value"": ""stepper motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""motor type""]}]"
Mk 1 Dol Starter,True,True,4,1,2,0,0,4,2,0.00%,0.00%,,product category; category; use; application,starter type; model name/number,,[],[]
fhp motors,True,True,2,1,1,0,0,2,1,0.00%,0.00%,,product type; motor type,brand,,[],[]
laxmi 3 hp singal fase motors,True,True,5,2,2,1,1,4,1,20.00%,50.00%,power,product type; horsepower; motor type; hp,brand,3 hp,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""3 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""power"", ""qmeans_value"": ""3 hp"", ""value_also_matches"": true}]","[{""value"": ""3 hp"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 2}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 2}], ""qmeans_keys"": [""power""]}]"
0502 exhaust fan motor,True,True,6,3,2,0,0,4,2,0.00%,0.00%,,product type; application; use; motor type,usage; model number,,[],[]
dual shaft 1300RPM BLOWER FAN MOTOR,True,True,9,4,4,2,1,7,2,22.22%,25.00%,shaft type; speed,rated speed; use; application; product type; shaft; rpm; motor type,usage; part type,dual shaft,"[{""normalized_key"": ""shaft type"", ""gt_key"": ""shaft_type"", ""gt_value"": ""dual shaft"", ""gt_key_priority"": 1, ""gt_attr_priority"": 4, ""qmeans_key"": ""shaft type"", ""qmeans_value"": ""dual shaft"", ""value_also_matches"": true}, {""normalized_key"": ""speed"", ""gt_key"": ""speed"", ""gt_value"": ""1300 rpm"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""speed"", ""qmeans_value"": ""1300rpm"", ""value_also_matches"": false}]","[{""value"": ""dual shaft"", ""gt_keys"": [{""key"": ""shaft_type"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""shaft"", ""key_priority"": 2, ""attr_priority"": 4}], ""qmeans_keys"": [""shaft type""]}]"
105 W Alqer 16 Inch Super Cooler Motor,True,True,6,3,4,1,2,5,3,16.67%,66.67%,power,wattage; use; application; product type; motor type,usage; brand; size,105 w; cooler motor,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""105 w"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""power"", ""qmeans_value"": ""105 w"", ""value_also_matches"": true}]","[{""value"": ""105 w"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""wattage"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""power""]}, {""value"": ""cooler motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""usage""]}]"
FL60STH65-2804AF Hybrid Stepper Motor,True,True,2,1,2,1,1,1,1,50.00%,100.00%,motor type,product type,model name/number,stepper motor,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""stepper motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""stepper motor"", ""value_also_matches"": true}]","[{""value"": ""stepper motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""motor type""]}]"
टेक्समो मोटर स्पेयर पार्ट्स,True,True,5,2,0,0,0,5,0,0.00%,0.00%,,brand; manufacturer; company; product category; category,,,[],[]
Crompton 2hp Gf6834 Single Phase Electric Motor 1440 Rpm,True,True,13,5,6,4,2,9,2,30.77%,40.00%,power; speed; brand; phase,motor type; company; rated speed; hp; manufacturer; product type; rpm; horsepower; supply phase,power source; model name/number,crompton; 1440 rpm,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""2 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""power"", ""qmeans_value"": ""2hp"", ""value_also_matches"": false}, {""normalized_key"": ""speed"", ""gt_key"": ""speed"", ""gt_value"": ""1440 rpm"", ""gt_key_priority"": 1, ""gt_attr_priority"": 5, ""qmeans_key"": ""speed"", ""qmeans_value"": ""1440 rpm"", ""value_also_matches"": true}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""crompton"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""crompton"", ""value_also_matches"": true}, {""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""single phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 4, ""qmeans_key"": ""phase"", ""qmeans_value"": ""single"", ""value_also_matches"": false}]","[{""value"": ""crompton"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}, {""value"": ""1440 rpm"", ""gt_keys"": [{""key"": ""speed"", ""key_priority"": 1, ""attr_priority"": 5}, {""key"": ""rpm"", ""key_priority"": 2, ""attr_priority"": 5}, {""key"": ""rated_speed"", ""key_priority"": 3, ""attr_priority"": 5}], ""qmeans_keys"": [""speed""]}]"
Bch Submersible Pump Starters,True,True,4,2,2,0,0,2,2,0.00%,0.00%,,application; use,usage; brand,,[],[]
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0,True,True,8,3,3,1,3,7,2,12.50%,100.00%,brand,part number; company; manufacturer; model; product type; model number; motor type,usage; model name/number,1fk2104-6af10-0sb0; siemens; servo motor,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""siemens"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""siemens"", ""value_also_matches"": true}]","[{""value"": ""1fk2104-6af10-0sb0"", ""gt_keys"": [{""key"": ""model_number"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""part_number"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""model"", ""key_priority"": 3, ""attr_priority"": 3}], ""qmeans_keys"": [""model name/number""]}, {""value"": ""siemens"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}, {""value"": ""servo motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""usage""]}]"
AC Geared Motor,True,True,4,2,2,0,1,4,2,0.00%,50.00%,,product type; current type; supply type; motor type,type; part type,ac,[],"[{""value"": ""ac"", ""gt_keys"": [{""key"": ""current_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""supply_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""type""]}]"
Crompton 2hp Gf6834 Single Phase Electric Motor,True,True,10,4,5,2,2,8,3,20.00%,50.00%,power; brand,motor type; company; hp; manufacturer; product type; phase; horsepower; supply phase,no of phase; product; model name/number,crompton; single phase,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""2 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""power"", ""qmeans_value"": ""2hp"", ""value_also_matches"": false}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""crompton"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""crompton"", ""value_also_matches"": true}]","[{""value"": ""crompton"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}, {""value"": ""single phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 4}], ""qmeans_keys"": [""no of phase""]}]"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0SA0 2.7 kW,True,True,11,4,4,2,4,9,2,18.18%,100.00%,power; brand,wattage; part number; company; manufacturer; model; product type; model number; kilowatt; motor type,usage; model name/number,2.7 kw; 1fk2106-4af01-0sa0; siemens; servo motor,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""2.7 kw"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""power"", ""qmeans_value"": ""2.7 kw"", ""value_also_matches"": true}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""siemens"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""siemens"", ""value_also_matches"": true}]","[{""value"": ""2.7 kw"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""kilowatt"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""wattage"", ""key_priority"": 3, ""attr_priority"": 3}], ""qmeans_keys"": [""power""]}, {""value"": ""1fk2106-4af01-0sa0"", ""gt_keys"": [{""key"": ""model_number"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""part_number"", ""key_priority"": 2, ""attr_priority"": 4}, {""key"": ""model"", ""key_priority"": 3, ""attr_priority"": 4}], ""qmeans_keys"": [""model name/number""]}, {""value"": ""siemens"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}, {""value"": ""servo motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""usage""]}]"
Ecoflam Burner Servo Motor,True,True,2,1,3,0,1,2,3,0.00%,100.00%,,product type; motor type,usage; brand; type,servo motor,[],"[{""value"": ""servo motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""type""]}]"
VTV YN90-120 Motor,True,True,2,1,2,0,1,2,2,0.00%,100.00%,,product type; motor type,part type; model name/number,motor,[],"[{""value"": ""motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""part type""]}]"
Electric Motors,True,True,2,1,1,0,0,2,1,0.00%,0.00%,,product type; motor type,power source,,[],[]
induction motor,True,True,2,1,1,1,0,1,0,50.00%,0.00%,motor type,product type,,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""induction motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""induction"", ""value_also_matches"": false}]",[]
60W Desert Cooler Motor,True,True,6,3,4,1,1,5,3,16.67%,33.33%,power,wattage; use; application; product type; motor type,usage; part type; cooler type,cooler,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""60 w"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""power"", ""qmeans_value"": ""60w"", ""value_also_matches"": false}]","[{""value"": ""cooler"", ""gt_keys"": [{""key"": ""application"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""use"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""usage""]}]"
FL42STH47-1684AF-08- Hybrid Stepper Motor,True,True,2,1,2,1,1,1,1,50.00%,100.00%,motor type,product type,model name/number,stepper motor,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""stepper motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""stepper motor"", ""value_also_matches"": true}]","[{""value"": ""stepper motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""motor type""]}]"
electronic-starter,True,True,4,1,1,0,0,4,1,0.00%,0.00%,,product category; category; use; application,power source,,[],[]
FL42STH38-1684AF Hybrid Stepper Motor,True,True,2,1,2,1,1,1,1,50.00%,100.00%,motor type,product type,model name/number,stepper motor,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""stepper motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""stepper motor"", ""value_also_matches"": true}]","[{""value"": ""stepper motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""motor type""]}]"
Lubi LGH90GF50H15K Gare Motor,True,True,5,2,3,1,1,4,2,20.00%,50.00%,brand,product type; manufacturer; company; motor type,type; model name/number,lubi,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""lubi"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""lubi"", ""value_also_matches"": true}]","[{""value"": ""lubi"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
1FK2104-6AF10-0SB0,True,True,3,1,0,0,0,3,0,0.00%,0.00%,,model number; part number; model,,,[],[]
Ml 2 Dol Starter,True,True,4,1,2,0,0,4,2,0.00%,0.00%,,product category; category; use; application,starter type; model name/number,,[],[]
siemens electric ac motor 75 hp 1440 rpm,True,True,13,5,4,3,3,10,1,23.08%,60.00%,power; speed; brand,supply type; company; rated speed; current type; hp; manufacturer; product type; rpm; horsepower; motor type,power source,siemens; 1440 rpm; 75 hp,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""75 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""power"", ""qmeans_value"": ""75 hp"", ""value_also_matches"": true}, {""normalized_key"": ""speed"", ""gt_key"": ""speed"", ""gt_value"": ""1440 rpm"", ""gt_key_priority"": 1, ""gt_attr_priority"": 4, ""qmeans_key"": ""speed"", ""qmeans_value"": ""1440 rpm"", ""value_also_matches"": true}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""siemens"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""siemens"", ""value_also_matches"": true}]","[{""value"": ""siemens"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}, {""value"": ""1440 rpm"", ""gt_keys"": [{""key"": ""speed"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""rpm"", ""key_priority"": 2, ""attr_priority"": 4}, {""key"": ""rated_speed"", ""key_priority"": 3, ""attr_priority"": 4}], ""qmeans_keys"": [""speed""]}, {""value"": ""75 hp"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 3}], ""qmeans_keys"": [""power""]}]"
Vishal 8al2 Air Cooler Motor,True,True,4,2,4,0,1,4,4,0.00%,50.00%,,product type; application; use; motor type,usage; brand; model number; part type,cooler,[],"[{""value"": ""cooler"", ""gt_keys"": [{""key"": ""application"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""use"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""usage""]}]"
ELLDO cooler motor,True,True,4,2,1,0,1,4,1,0.00%,50.00%,,product type; application; use; motor type,usage,cooler motor,[],"[{""value"": ""cooler motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""usage""]}]"
CP - 101 ACTUATOR,True,True,4,1,2,0,1,4,2,0.00%,100.00%,,product category; category; use; application,product; model name/number,actuator,[],"[{""value"": ""actuator"", ""gt_keys"": [{""key"": ""application"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""use"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""product_category"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""category"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""product""]}]"
DZ Gear Motor Brushed DC Motor,True,True,6,3,1,1,1,3,0,25.00%,33.33%,motor type,product type; current type; supply type,,dc,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""dc motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""dc"", ""value_also_matches"": false}]","[{""value"": ""dc"", ""gt_keys"": [{""key"": ""current_type"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_type"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""motor type""]}]"
dual shaft blower fan motor,True,True,6,3,2,1,1,5,1,16.67%,33.33%,shaft type,use; application; product type; shaft; motor type,part type,dual shaft,"[{""normalized_key"": ""shaft type"", ""gt_key"": ""shaft_type"", ""gt_value"": ""dual shaft"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""shaft type"", ""qmeans_value"": ""dual shaft"", ""value_also_matches"": true}]","[{""value"": ""dual shaft"", ""gt_keys"": [{""key"": ""shaft_type"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""shaft"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""shaft type""]}]"
220 v dual shaft BLOWER FAN MOTOR,True,True,8,4,4,2,1,6,2,25.00%,25.00%,shaft type; voltage,use; supply voltage; application; product type; shaft; motor type,usage; part type,dual shaft,"[{""normalized_key"": ""shaft type"", ""gt_key"": ""shaft_type"", ""gt_value"": ""dual shaft"", ""gt_key_priority"": 1, ""gt_attr_priority"": 4, ""qmeans_key"": ""shaft type"", ""qmeans_value"": ""dual shaft"", ""value_also_matches"": true}, {""normalized_key"": ""voltage"", ""gt_key"": ""voltage"", ""gt_value"": ""220v"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""voltage"", ""qmeans_value"": ""220 v"", ""value_also_matches"": false}]","[{""value"": ""dual shaft"", ""gt_keys"": [{""key"": ""shaft_type"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""shaft"", ""key_priority"": 2, ""attr_priority"": 4}], ""qmeans_keys"": [""shaft type""]}]"
220  v 1 dual shaft BLOWER FAN MOTOR,True,True,8,4,4,2,1,6,2,25.00%,25.00%,shaft type; voltage,use; supply voltage; application; product type; shaft; motor type,usage; part type,dual shaft,"[{""normalized_key"": ""shaft type"", ""gt_key"": ""shaft_type"", ""gt_value"": ""dual shaft"", ""gt_key_priority"": 1, ""gt_attr_priority"": 4, ""qmeans_key"": ""shaft type"", ""qmeans_value"": ""dual shaft"", ""value_also_matches"": true}, {""normalized_key"": ""voltage"", ""gt_key"": ""voltage"", ""gt_value"": ""220v"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""voltage"", ""qmeans_value"": ""220 v"", ""value_also_matches"": false}]","[{""value"": ""dual shaft"", ""gt_keys"": [{""key"": ""shaft_type"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""shaft"", ""key_priority"": 2, ""attr_priority"": 4}], ""qmeans_keys"": [""shaft type""]}]"
AT12 Single Chain Actuator,True,False,4,1,0,0,0,0,0,0.00%,0.00%,,,,,[],[]
SECO N 24 25 Single Chain Actuator,True,False,4,1,0,0,0,0,0,0.00%,0.00%,,,,,[],[]
Siemens Raja+ Direct On Line Starters,True,True,5,2,2,1,1,4,1,20.00%,50.00%,brand,manufacturer; application; use; company,model name/number,siemens,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""siemens"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""siemens"", ""value_also_matches"": true}]","[{""value"": ""siemens"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
