keyword,mcat_name,mcat_id,mcat_accuracy_level
SIMOTICS 1FK7 1FK7043-4CH7 MOTER 1.2kW,Siemens Servo Motors,184102,High
electric motorized actuator,Motorized Actuators,167393,High
armature of stanley sc-16,Stanley Power Saw,203985,High
high power dc water motors project,DC Motor,445,Medium
high power dc water motors for project near badlapur,DC Motor,445,Medium
150HP 960 RPM ELECTRIC MOTOR,Electric Motor,1274,High
30HP 960 RPM ELECTRIC MOTOR,Electric Motor,1274,High
600 kg sliding gate motor,Electric Sliding Gate Motor,52905,High
75HP Face Mounted Motor Marathon,Face Mounted Motor,145548,High
high power dc motors,DC Motor,445,High
Switch Reluctance Motor,Reluctance Motors,36192,High
Tower Fan Motor,Tower Fan Motor,443716,High
315 KW 1450 RPM ELECTEIC MOTOR,Electric Motor,1274,High
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1QB1,Siemens Synchronous Motor,203373,High
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1RH1,Siemens Synchronous Motor,203373,Medium
three phase 1 piece 1 hp (0.75 kw) 1440 rpm 1.5 KW Sew Brake Motor,Brake Motors,21078,High
3 HP 3 Phase Induction Motor 100%copper Winding,Three Phase Motor,2415,High
Refrigerator Motor,Refrigerator Motor,186074,High
220hp 960 rpm ELECTRIC MOTOR,Electric Motor,1274,High
SIMOTICS S synchronous motor 1FK7- 1FK7103-3BC71-1QA1,Siemens Servo Motors,184102,High
SIMOTICS S Synchronous motor 1FK7 1FK7103-2AC71-1RH1,Siemens Servo Motors,184102,Medium
Face Mounted Motor marathon 75hp,Face Mounted Motor,145548,High
Solenoid Switches,Solenoid Switches,7646,High
Linear Motor,Linear Motor,17163,High
200KW Flange Induction Motor,Three Phase Induction Motor,131725,Medium
valve positioner,Valve Positioners,40629,High
rotex positioner,Electro Pneumatic Valve Positioner,147007,High
AC Slip Ring Induction Motor,Slip Ring Motor,37228,High
4HP Single Phase Electric Motor 220-240V 50-60Hz for Air Compressor,Single Phase Electric Motor,52927,High
Crompton  1.5HP 2800RPM  Foot Mounted Motor,Foot Mounted Motor,177266,High
Vending machine parts geair motor DC,Vending Machine Motor,132955,High
15 hp motor,Electric Motor,1274,High
VSI motor,Diesel Engine,487,Medium
Indo Cooler Motor Silver line,Indo Cooler Motor,658623,High
motor for toto,Electric Motor,1274,High
Motor Lamination V-4,Motor Lamination,33557,High
DANFOSS ACTUATOR AME435,Danfoss Actuators,208001,High
grinding-motor,Grinding Motor,167613,High
50 n 100 mm linear motor,Linear Motor,17163,High
Toy motor 3v,Toy Motor,39979,High
100 mm linear motor,Linear Motor,17163,High
Crompton Greaves 15HP 960RPM  Foot Mounted  Motor,Crompton Greaves Motor,126348,High
Crompton  2HP  2800RPM Flange Floor  Mounted  Motor,Flange Motors,6408,High
solenoid switch parts,Switch Parts,69481,High
Crompton  1 HP Mini Sergeant Motor,Crompton Greaves Motor,126348,High
1450 Rpm 1 Hp Motor Cg Make,Crompton Greaves Motor,126348,High
Motor Lamination V-4,Motor Lamination,33557,High
Crompton  3HP 1440RPM  Foot Cum Flange Motor,Flange Motors,6408,High
Stepper Motor Controller,Stepper Motor Controller,13374,High
kirloskar 10 hp 1440 rpm original motor,Kirloskar Electric Motor,185261,High
Single Phase Flange Mounted,Flange Motors,6408,High
PANASONIC MOTOR,Panasonic AC Motor,206269,High
Worm Gearbox Motors,Worm Geared Motor,41500,High
Piston Nebulizer Motor,Nebulizer Motor,652872,High
Motor Lamination V-6,V6 Submersible Pump,182047,Medium
Crompton 2HP  Flange Mounted  Motor,Flange Motors,6408,High
mgm brake motors,Brake Motors,21078,High
Crompton Single Phase 0.5 HP Flange Motor,Crompton Motors,446133,High
CG Make 1hp 1440 rpm Flange Mounted Brake Motor,Brake Motors,21078,High
200HP Abb Induction Motor,ABB Induction Motor,193239,High
2800 rpm foot mounted abb electric motor,ABB Electric Motor,181114,High
Flameproof Dol Starter,DOL Starter,26266,High
Micromotor,DC Micro Motors,25372,High
75 kw 100 hp induction motor,Induction Motors,10971,High
20hp Abb Induction Motor,ABB Induction Motor,193239,High
0.25 HP 1440RPM  Ft  Single Phase Double Shaft Motor,Double Shaft Motor,139590,High
Non Electric Motor,Electric Motor,1274,High
crompton greaves motor kv ka motor dikhlayiye,Crompton Greaves Motor,126348,High
2800  rpm 4 foot  mounted abb electric motor,ABB Electric Motor,181114,High
2800  rpm 4 abb electric motor,ABB Electric Motor,181114,High
1 HP Texmo Taro Single Phase Motor Starter,Single Phase Motor Starter,226793,High
Nebulizer Compressor Motor,Nebulizer Motor,652872,High
0.75 KW Godrej 1158 1HP Electric Motor,Godrej Lawkim Ac Motors,206364,High
gec 10 hp 960 rpm industrial motors,Industrial Motors,52915,High
Linear Actuator Switch,Actuator Selector Switches,69998,High
730 Frame Slipring Induction Motor,Slip Ring Motor,37228,High
noortepar manufacturing plant,TEFC Motor,2999,Medium
TEFC Motor,TEFC Motor,2999,High
1hp single phase ac motor,Single Phase Motors,9484,High
Motor Lamination V-3 70-41-22,Motor Lamination,33557,High
screed vibrator motor,Vibration Motor,2743,High
godrej lawkim motor lk 4250,HVAC Motors,177394,Medium
Godrej Lawkim Motor LK-4250,Godrej Lawkim Industrial Motors,203174,Medium
ABB 200HP Induction Motor,ABB Induction Motor,193239,High
High Voltage Closed Air Circuit Air Cooled TP Series Vertical Mounting Induction Motors,High Voltage Motor,177165,High
Kenstar Motor Rotor Armature,Motor Armature,167444,High
Fire Safety Solenoid,Shut-Off Valves,1759,Medium
Induction Brake And Motor 3Hp to 100 HP,Brake Motors,21078,High
Printer Solenoid Switch,Solenoid Switches,7646,High
Mini Solenoid Switches,Solenoid Switches,7646,High
