query,ground_truth_count,qmeans_attr_count,gemini_attr_count,gemma_attr_count,groundtruth_attr_key_1,groundtruth_attr_value_1,groundtruth_attr_key_2,groundtruth_attr_value_2,groundtruth_attr_key_3,groundtruth_attr_value_3,groundtruth_attr_key_4,groundtruth_attr_value_4,groundtruth_attr_key_5,groundtruth_attr_value_5,groundtruth_attr_key_6,groundtruth_attr_value_6,groundtruth_attr_key_7,groundtruth_attr_value_7,groundtruth_attr_key_8,groundtruth_attr_value_8,groundtruth_attr_key_9,groundtruth_attr_value_9,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,gemma_attr_key_1,gemma_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,gemma_attr_key_2,gemma_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,gemma_attr_key_3,gemma_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,gemma_attr_key_4,gemma_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,gemma_attr_key_5,gemma_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,gemma_attr_key_6,gemma_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,gemma_attr_key_7,gemma_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,gemma_attr_key_8,gemma_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9,gemma_attr_key_9,gemma_attr_value_9,COUNT_MATCH,HIGH_COUNT,qmeans_vs_gemini_attr_1_key_match,qmeans_vs_gemini_attr_1_value_match,qmeans_vs_gemini_attr_2_key_match,qmeans_vs_gemini_attr_2_value_match,qmeans_vs_gemini_attr_3_key_match,qmeans_vs_gemini_attr_3_value_match,qmeans_vs_gemini_attr_4_key_match,qmeans_vs_gemini_attr_4_value_match,qmeans_vs_gemini_attr_5_key_match,qmeans_vs_gemini_attr_5_value_match,qmeans_vs_gemini_attr_6_key_match,qmeans_vs_gemini_attr_6_value_match,qmeans_vs_gemini_attr_7_key_match,qmeans_vs_gemini_attr_7_value_match,qmeans_vs_gemini_attr_8_key_match,qmeans_vs_gemini_attr_8_value_match,qmeans_vs_gemini_attr_9_key_match,qmeans_vs_gemini_attr_9_value_match,gemini_vs_qmeans_attr_1_key_match,gemini_vs_qmeans_attr_1_value_match,gemini_vs_qmeans_attr_2_key_match,gemini_vs_qmeans_attr_2_value_match,gemini_vs_qmeans_attr_3_key_match,gemini_vs_qmeans_attr_3_value_match,gemini_vs_qmeans_attr_4_key_match,gemini_vs_qmeans_attr_4_value_match,gemini_vs_qmeans_attr_5_key_match,gemini_vs_qmeans_attr_5_value_match,gemini_vs_qmeans_attr_6_key_match,gemini_vs_qmeans_attr_6_value_match,gemini_vs_qmeans_attr_7_key_match,gemini_vs_qmeans_attr_7_value_match,gemini_vs_qmeans_attr_8_key_match,gemini_vs_qmeans_attr_8_value_match,gemini_vs_qmeans_attr_9_key_match,gemini_vs_qmeans_attr_9_value_match,groundtruth_vs_qmeans_attr_1_key_match,groundtruth_vs_qmeans_attr_1_value_match,groundtruth_vs_qmeans_attr_2_key_match,groundtruth_vs_qmeans_attr_2_value_match,groundtruth_vs_qmeans_attr_3_key_match,groundtruth_vs_qmeans_attr_3_value_match,groundtruth_vs_qmeans_attr_4_key_match,groundtruth_vs_qmeans_attr_4_value_match,groundtruth_vs_qmeans_attr_5_key_match,groundtruth_vs_qmeans_attr_5_value_match,groundtruth_vs_qmeans_attr_6_key_match,groundtruth_vs_qmeans_attr_6_value_match,groundtruth_vs_qmeans_attr_7_key_match,groundtruth_vs_qmeans_attr_7_value_match,groundtruth_vs_qmeans_attr_8_key_match,groundtruth_vs_qmeans_attr_8_value_match,groundtruth_vs_qmeans_attr_9_key_match,groundtruth_vs_qmeans_attr_9_value_match,groundtruth_vs_gemini_attr_1_key_match,groundtruth_vs_gemini_attr_1_value_match,groundtruth_vs_gemini_attr_2_key_match,groundtruth_vs_gemini_attr_2_value_match,groundtruth_vs_gemini_attr_3_key_match,groundtruth_vs_gemini_attr_3_value_match,groundtruth_vs_gemini_attr_4_key_match,groundtruth_vs_gemini_attr_4_value_match,groundtruth_vs_gemini_attr_5_key_match,groundtruth_vs_gemini_attr_5_value_match,groundtruth_vs_gemini_attr_6_key_match,groundtruth_vs_gemini_attr_6_value_match,groundtruth_vs_gemini_attr_7_key_match,groundtruth_vs_gemini_attr_7_value_match,groundtruth_vs_gemini_attr_8_key_match,groundtruth_vs_gemini_attr_8_value_match,groundtruth_vs_gemini_attr_9_key_match,groundtruth_vs_gemini_attr_9_value_match,qmeans_vs_gemma_attr_1_key_match,qmeans_vs_gemma_attr_1_value_match,qmeans_vs_gemma_attr_2_key_match,qmeans_vs_gemma_attr_2_value_match,qmeans_vs_gemma_attr_3_key_match,qmeans_vs_gemma_attr_3_value_match,qmeans_vs_gemma_attr_4_key_match,qmeans_vs_gemma_attr_4_value_match,qmeans_vs_gemma_attr_5_key_match,qmeans_vs_gemma_attr_5_value_match,qmeans_vs_gemma_attr_6_key_match,qmeans_vs_gemma_attr_6_value_match,qmeans_vs_gemma_attr_7_key_match,qmeans_vs_gemma_attr_7_value_match,qmeans_vs_gemma_attr_8_key_match,qmeans_vs_gemma_attr_8_value_match,qmeans_vs_gemma_attr_9_key_match,qmeans_vs_gemma_attr_9_value_match,gemma_vs_qmeans_attr_1_key_match,gemma_vs_qmeans_attr_1_value_match,gemma_vs_qmeans_attr_2_key_match,gemma_vs_qmeans_attr_2_value_match,gemma_vs_qmeans_attr_3_key_match,gemma_vs_qmeans_attr_3_value_match,gemma_vs_qmeans_attr_4_key_match,gemma_vs_qmeans_attr_4_value_match,gemma_vs_qmeans_attr_5_key_match,gemma_vs_qmeans_attr_5_value_match,gemma_vs_qmeans_attr_6_key_match,gemma_vs_qmeans_attr_6_value_match,gemma_vs_qmeans_attr_7_key_match,gemma_vs_qmeans_attr_7_value_match,gemma_vs_qmeans_attr_8_key_match,gemma_vs_qmeans_attr_8_value_match,gemma_vs_qmeans_attr_9_key_match,gemma_vs_qmeans_attr_9_value_match,gemini_vs_gemma_attr_1_key_match,gemini_vs_gemma_attr_1_value_match,gemini_vs_gemma_attr_2_key_match,gemini_vs_gemma_attr_2_value_match,gemini_vs_gemma_attr_3_key_match,gemini_vs_gemma_attr_3_value_match,gemini_vs_gemma_attr_4_key_match,gemini_vs_gemma_attr_4_value_match,gemini_vs_gemma_attr_5_key_match,gemini_vs_gemma_attr_5_value_match,gemini_vs_gemma_attr_6_key_match,gemini_vs_gemma_attr_6_value_match,gemini_vs_gemma_attr_7_key_match,gemini_vs_gemma_attr_7_value_match,gemini_vs_gemma_attr_8_key_match,gemini_vs_gemma_attr_8_value_match,gemini_vs_gemma_attr_9_key_match,gemini_vs_gemma_attr_9_value_match,gemma_vs_gemini_attr_1_key_match,gemma_vs_gemini_attr_1_value_match,gemma_vs_gemini_attr_2_key_match,gemma_vs_gemini_attr_2_value_match,gemma_vs_gemini_attr_3_key_match,gemma_vs_gemini_attr_3_value_match,gemma_vs_gemini_attr_4_key_match,gemma_vs_gemini_attr_4_value_match,gemma_vs_gemini_attr_5_key_match,gemma_vs_gemini_attr_5_value_match,gemma_vs_gemini_attr_6_key_match,gemma_vs_gemini_attr_6_value_match,gemma_vs_gemini_attr_7_key_match,gemma_vs_gemini_attr_7_value_match,gemma_vs_gemini_attr_8_key_match,gemma_vs_gemini_attr_8_value_match,gemma_vs_gemini_attr_9_key_match,gemma_vs_gemini_attr_9_value_match,groundtruth_vs_gemma_attr_1_key_match,groundtruth_vs_gemma_attr_1_value_match,groundtruth_vs_gemma_attr_2_key_match,groundtruth_vs_gemma_attr_2_value_match,groundtruth_vs_gemma_attr_3_key_match,groundtruth_vs_gemma_attr_3_value_match,groundtruth_vs_gemma_attr_4_key_match,groundtruth_vs_gemma_attr_4_value_match,groundtruth_vs_gemma_attr_5_key_match,groundtruth_vs_gemma_attr_5_value_match,groundtruth_vs_gemma_attr_6_key_match,groundtruth_vs_gemma_attr_6_value_match,groundtruth_vs_gemma_attr_7_key_match,groundtruth_vs_gemma_attr_7_value_match,groundtruth_vs_gemma_attr_8_key_match,groundtruth_vs_gemma_attr_8_value_match,groundtruth_vs_gemma_attr_9_key_match,groundtruth_vs_gemma_attr_9_value_match
"conical twin screw extruder - teknik make, 50 ton, ss 304, three phase",5,3,4,5,body material,ss 304,brand,teknik,capacity,50 ton,phase,three phase,product,conical twin screw extruder,,,,,,,,,brand,teknik,material grade,ss 304,brand,- teknik make,capacity,50 ton,phase,three phase,contact_parts,ss 304,phase,three phase,screw design,conical,phase,three phase,,,screw design,twin screw,screw_type,conical twin screw extruder,,,,,weight,50 ton,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemma,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,TRUE,FALSE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,FALSE,NA,TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,
ms ldpe blown film machine,2,1,2,2,body material,ms,product,ldpe blown film machine,,,,,,,,,,,,,,,material,ms ldpe,body material,ms,shaft_material,ms,,,plastic processed,ldpe,type,ldpe blown film machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"gemini,gemma",FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
rajco silver refinery machine,2,2,2,2,brand,rajco,product,silver refinery machine,,,,,,,,,,,,,,,brand,rajco,brand,rajco,brand_make,rajco,product,silver refinery machine,metal,silver,usage,silver refinery machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,"qmeans,gemini,gemma",TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
semi-automatic foam extruder 440 v,3,3,3,3,automation grade,semi-automatic,product,foam extruder,voltage,440 v,,,,,,,,,,,,,automation grade,semi-automatic,automation grade,semi-automatic,automation_grade,semi-automatic,type,extruder,type,extruder,type,foam extruder,voltage,440 v,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,"qmeans,gemini,gemma",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,
"labh group make fully automatic cable extruder, production capacity: 5 tpd, voltage: 240 v, phase: three phase, material: pp, power: 2 hp",8,1,5,5,automation grade,fully automatic,body material,pp,brand,labh group,capacity,5 tpd,motor power,2 hp,phase,three phase,product,cable extruder,voltage,240 v,,,automation grade,automatic,automation grade,fully automatic,capacity,production capacity: 5 tpd,,,material,pp,heating_range,fully automatic,,,phase,three phase,powerw,labh group make,,,power,2 hp,type,cable extruder,,,voltage,240 v,voltage,"voltage: 240 v, phase: three phase, material: pp, power: 2 hp",,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"gemini,gemma",TRUE,FALSE,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,FALSE,NA,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,,
conical twin screw extruder for agricultural,2,2,4,3,product,conical twin screw extruder,usage/application,agricultural,,,,,,,,,,,,,,,type,screw extruder,screw design,conical,application,for agricultural,usage,agricultural,screw design,twin screw,extruder_type,twin screw extruder,,,type,extruder,screw_torque,conical,,,usage/application,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemini,TRUE,FALSE,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
ss 304 monolayer extruder,2,2,2,2,body material,ss 304,product,monolayer extruder,,,,,,,,,,,,,,,material grade,ss 304,body material,ss,contact_parts,ss 304,type,extruder,layer,monolayer,machine_types,monolayer extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,"qmeans,gemini,gemma",FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,
aba blown film machine 15 kw motor 25 kg,3,3,3,3,capacity,25 kg,motor power,15 kw,product,aba blown film machine,,,,,,,,,,,,,brand,aba,model name/number,aba,capacity,25 kg,capacity,25 kg,motor power,15 kw,name,aba three layer blown film machine,power,15 kw,weight,25 kg,power_consumption,15 kw motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,"qmeans,gemini,gemma",FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,
kabra plastic recycling extruder,2,3,2,2,brand,kabra,product,plastic recycling extruder,,,,,,,,,,,,,,,brand,kabra,brand,kabra,brand,kabra,type,extruder,material to be extruded,plastic,type,plastic recycling extruder,usage,plastic recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,
"rajco fully automatic multi layer extruder machine with 200 liter capacity, 230 v voltage, three phase, ss 316 body, suitable for wire & cable",8,4,7,4,automation grade,fully automatic,body material,ss 316,brand,rajco,capacity,200 liter,phase,three phase,product,multi layer extruder,usage/application,wire & cable,voltage,230 v,,,automation grade,automatic,automation grade,fully automatic,brand_make,rajco,brand,rajco,body material,ss 316,capacity,"with 200 liter capacity, 230 v voltage, three phase, ss 316 body, suitable for wire & cable",capacity,200 liter,brand,rajco,filling_system,fully automatic,model name/number,extruder,capacity(litre),200 liter,type,multi layer extruder machine,,,phase,three phase,,,,,usage/application,wire & cable,,,,,voltage,230 v,,,,,,,,,,,,,,,FALSE,gemini,TRUE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,TRUE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,,,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,,,,,,,,,,,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,
10 tpd automatic plastic recycling extruder,3,4,3,4,automation grade,automatic,capacity,10 tpd,product,plastic recycling extruder,,,,,,,,,,,,,automation grade,automatic,automation grade,automatic,capacity,10 tpd,capacity,10 tpd,capacity,10 tpd,mode,automatic,type,extruder,material to be extruded,plastic,plastic_processed,plastic recycling,usage,plastic recycling,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"qmeans,gemma",TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,
"mahindra semi-automatic aluminium extrusion plant, 20 tpd, 380 v, 1 phase",6,3,4,3,automation grade,semi-automatic,brand,mahindra,capacity,20 tpd,phase,1 phase,product,aluminium extrusion plant,voltage,380 v,,,,,,,automation grade,semi-automatic,automation grade,semi-automatic,automation_type,semi-automatic,brand,mahindra,capacity,20 tpd,brand_make,mahindra,phase,1 phase,phase,1 phase,plant_type,"aluminium extrusion plant, 20 tpd, 380 v, 1 phase",,,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemini,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,
200 kg single phase double die extruder,3,4,0,3,capacity,200 kg,phase,single phase,product,double die extruder,,,,,,,,,,,,,number of dies,double die,,,72x4x4inch,200 kg,phase,single phase,,,extruder_type,double die extruder,type,extruder,,,phase,single phase,weight,200 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,
liquid extraction system 380 v,2,1,1,2,product,liquid extraction system,voltage,380 v,,,,,,,,,,,,,,,voltage,380 v,voltage,380 v,product_name,liquid extraction system,,,,,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemma,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,
"plastic recycling extruder for wire & cable use, 200 liter, 220 v, unique brand",5,4,3,2,brand,unique,capacity,200 liter,product,plastic recycling extruder,usage/application,wire & cable,voltage,220 v,,,,,,,,,brand,unique,material to be extruded,plastic,type,plastic recycling machine,capacity,200 liter,usage/application,wire & cable,usage,"extruder for wire & cable use, 200 liter, 220 v, unique brand",type,extruder,voltage,220 v,,,usage,plastic recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,TRUE,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,
lab extruder 10 kw motor 200 kg,3,4,2,3,capacity,200 kg,motor power,10 kw,product,lab extruder,,,,,,,,,,,,,capacity,200 kg,motor power,10 kw,72x4x4inch,200 kg,power,10 kw,weight,200 kg,power,10 kw motor,type,extruder,,,type,lab extruder,usage,lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,,,,,,,,,,,FALSE,NA,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,
used foam extruder,2,2,0,2,condition,used,product,foam extruder,,,,,,,,,,,,,,,condition,used,,,condition,used,type,extruder,,,type,foam extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"qmeans,gemma",FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,,
