query,success,key_count,raw_output,attributes_json
laxmi 3 hp singal fase motors,True,4,"{""power"": ""singal fase"", ""brand"": ""laxmi"", ""hp"": ""3 hp"", ""quantity"": ""singal""}","{""power"": ""singal fase"", ""brand"": ""laxmi"", ""hp"": ""3 hp"", ""quantity"": ""singal""}"
0502 exhaust fan motor,True,3,"{""attribute"": ""exhaust fan"", ""motor type"": ""motor"", ""query"": ""0502""}","{""attribute"": ""exhaust fan"", ""motor type"": ""motor"", ""query"": ""0502""}"
dual shaft 1300RPM BLOWER FAN MOTOR,False,0,"{""shafts"": ""dual"", ""speed"": ""1300RPM"", ""blower fan motor""}",
105 W Alqer 16 Inch Super Cooler Motor,True,5,"{""Brand"": ""Alqer"", ""Cooling System"": ""Super Cooler"", ""Power Consumption"": ""105 W"", ""Motor"": ""Motor"", ""Size"": ""16 Inch""}","{""Brand"": ""Alqer"", ""Cooling System"": ""Super Cooler"", ""Power Consumption"": ""105 W"", ""Motor"": ""Motor"", ""Size"": ""16 Inch""}"
FL60STH65-2804AF Hybrid Stepper Motor,True,2,"{""product_code"": ""FL60STH65-"", ""motor_type"": ""Hybrid Stepper Motor""}","{""product_code"": ""FL60STH65-"", ""motor_type"": ""Hybrid Stepper Motor""}"
टेक्समो मोटर स्पेयर पार्ट्स,True,3,"{""brand"": ""टेक्समो"", ""parts"": ""स्पेयर पार्ट्स"", ""power source"": ""मोटर""}","{""brand"": ""टेक्समो"", ""parts"": ""स्पेयर पार्ट्स"", ""power source"": ""मोटर""}"
Crompton 2hp Gf6834 Single Phase Electric Motor 1440 Rpm,True,6,"{""power"": ""Single Phase"", ""motor type"": ""Electric Motor"", ""brand"": ""Crompton"", ""speed"": ""1440 Rpm"", ""attribute"": ""Gf6834"", ""horsepower"": ""2hp""}","{""power"": ""Single Phase"", ""motor type"": ""Electric Motor"", ""brand"": ""Crompton"", ""speed"": ""1440 Rpm"", ""attribute"": ""Gf6834"", ""horsepower"": ""2hp""}"
Bch Submersible Pump Starters,True,3,"{""pump type"": ""Submersible Pump"", ""brand/product name"": ""Starters"", ""query details"": ""Bch""}","{""pump type"": ""Submersible Pump"", ""brand/product name"": ""Starters"", ""query details"": ""Bch""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0,True,3,"{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part_number"": ""1FK2104-7AK10-0SB0""}","{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part_number"": ""1FK2104-7AK10-0SB0""}"
AC Geared Motor,True,2,"{""power source"": ""AC"", ""drive type"": ""Geared Motor""}","{""power source"": ""AC"", ""drive type"": ""Geared Motor""}"
Crompton 2hp Gf6834 Single Phase Electric Motor,True,5,"{""power"": ""Single Phase"", ""motor type"": ""Electric Motor"", ""brand"": ""Crompton"", ""attribute"": ""Gf6834"", ""horsepower"": ""2hp""}","{""power"": ""Single Phase"", ""motor type"": ""Electric Motor"", ""brand"": ""Crompton"", ""attribute"": ""Gf6834"", ""horsepower"": ""2hp""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0SA0 2.7 kW,True,4,"{""power"": ""2.7 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2 SERVO DRIVE"", ""part number"": ""1FK2106-3FA01-0SA0""}","{""power"": ""2.7 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2 SERVO DRIVE"", ""part number"": ""1FK2106-3FA01-0SA0""}"
Ecoflam Burner Servo Motor,True,2,"{""feature"": ""Ecoflam Burner"", ""motor type"": ""Servo Motor""}","{""feature"": ""Ecoflam Burner"", ""motor type"": ""Servo Motor""}"
"Three Phase Motor,Lubi Pumps,Lubi Electrical Motor__I__m__",True,3,"{""power source"": ""Three Phase Motor"", ""pumps"": ""Lubi Pumps,"", ""motor details"": ""__I__m__,Lubi Electrical Motor__""}","{""power source"": ""Three Phase Motor"", ""pumps"": ""Lubi Pumps,"", ""motor details"": ""__I__m__,Lubi Electrical Motor__""}"
VTV YN90-120 Motor,True,2,"{""motor"": ""Motor"", ""product_code"": ""VTV YN90-130""}","{""motor"": ""Motor"", ""product_code"": ""VTV YN90-130""}"
Electric Motors,True,1,"{""power source"": ""Electric Motors""}","{""power source"": ""Electric Motors""}"
induction motor,True,1,"{""motor"": ""induction motor""}","{""motor"": ""induction motor""}"
60W Desert Cooler Motor,True,3,"{""power"": ""60W"", ""type"": ""Desert Cooler"", ""component"": ""Motor""}","{""power"": ""60W"", ""type"": ""Desert Cooler"", ""component"": ""Motor""}"
FL42STH47-1684AF-08- Hybrid Stepper Motor,True,2,"{""key"": ""FL42STH47-08- Hybrid"", ""motor type"": ""Stepper Motor""}","{""key"": ""FL42STH47-08- Hybrid"", ""motor type"": ""Stepper Motor""}"
electronic-starter,True,1,"{""attribute"": ""electronic-starter""}","{""attribute"": ""electronic-starter""}"
FL42STH38-1684AF Hybrid Stepper Motor,True,3,"{""motor"": ""Hybrid"", ""attribute"": ""Stepper Motor"", ""part_number"": ""FL42STH38-2079AAF""}","{""motor"": ""Hybrid"", ""attribute"": ""Stepper Motor"", ""part_number"": ""FL42STH38-2079AAF""}"
Lubi LGH90GF50H15K Gare Motor,True,2,"{""motor"": ""Gare Motor"", ""attributes"": [""LGH90GF50H1""]}","{""motor"": ""Gare Motor"", ""attributes"": [""LGH90GF50H1""]}"
1FK2104-6AF10-0SB0,True,1,"{""attribute"": ""1FK2104-7AP10-0SB0""}","{""attribute"": ""1FK2104-7AP10-0SB0""}"
Ml 2 Dol Starter,True,3,"{""key"": ""Ml"", ""Dol"": ""Starter"", ""size"": ""2""}","{""key"": ""Ml"", ""Dol"": ""Starter"", ""size"": ""2""}"
siemens electric ac motor 75 hp 1440 rpm,True,4,"{""motor"": ""electric ac motor"", ""brand"": ""siemens"", ""rpm"": ""1440 rpm"", ""horsepower"": ""75 hp""}","{""motor"": ""electric ac motor"", ""brand"": ""siemens"", ""rpm"": ""1440 rpm"", ""horsepower"": ""75 hp""}"
Vishal 8al2 Air Cooler Motor,True,4,"{""product"": ""Air Cooler"", ""motor"": ""Motor"", ""brand"": ""Vishal"", ""code"": ""8al2""}","{""product"": ""Air Cooler"", ""motor"": ""Motor"", ""brand"": ""Vishal"", ""code"": ""8al2""}"
ELLDO cooler motor,True,3,"{""brand"": ""ELLDO"", ""feature"": ""cooler"", ""power source"": ""motor""}","{""brand"": ""ELLDO"", ""feature"": ""cooler"", ""power source"": ""motor""}"
CP - 101 ACTUATOR,True,2,"{""actuator"": ""ACTUATOR"", ""code"": ""CP - 101""}","{""actuator"": ""ACTUATOR"", ""code"": ""CP - 101""}"
DZ Gear Motor Brushed DC Motor,True,2,"{""motor"": ""Brushed DC Motor"", ""type"": ""DZ Gear Motor""}","{""motor"": ""Brushed DC Motor"", ""type"": ""DZ Gear Motor""}"
dual shaft blower fan motor,True,2,"{""feature"": ""dual shaft"", ""accessory"": ""blower fan motor""}","{""feature"": ""dual shaft"", ""accessory"": ""blower fan motor""}"
220 v dual shaft BLOWER FAN MOTOR,False,0,"{""voltage"": ""220 v"", ""shafts"": ""dual shaft"", ""blower fan motor""}",
220  v 1 dual shaft BLOWER FAN MOTOR,True,4,"{""voltage"": ""220 v"", ""shafts"": ""dual shaft"", ""blower fan motor"": true, ""color"": ""BLOWER FAN MOTOR""}","{""voltage"": ""220 v"", ""shafts"": ""dual shaft"", ""blower fan motor"": true, ""color"": ""BLOWER FAN MOTOR""}"
"Crompton 2hp Gf6834 Single Phase Electric Motor, 1440 rpm",True,5,"{""power"": ""Single Phase"", ""motor_type"": ""Electric Motor, 1440"", ""brand"": ""Crompton"", ""key_attributes"": [""Gf6834""], ""horsepower"": ""2hp""}","{""power"": ""Single Phase"", ""motor_type"": ""Electric Motor, 1440"", ""brand"": ""Crompton"", ""key_attributes"": [""Gf6834""], ""horsepower"": ""2hp""}"
"AT12 Single Chain Actuator, 425mm Stroke - Window Automation",True,3,"{""Actuator"": ""Single Chain"", ""Stroke - Window Automation"": ""Actuator, 425mm"", ""Model Number"": ""AT12""}","{""Actuator"": ""Single Chain"", ""Stroke - Window Automation"": ""Actuator, 425mm"", ""Model Number"": ""AT12""}"
"SECO N 24 25 Single Chain Actuator, 250/350mm Stroke - Window Automation",True,4,"{""Actuator"": ""Single Chain"", ""Model Number"": ""SECO N 24"", ""Stroke - Window Automation"": ""250/350"", ""Chain Type"": null}","{""Actuator"": ""Single Chain"", ""Model Number"": ""SECO N 24"", ""Stroke - Window Automation"": ""250/350"", ""Chain Type"": null}"
Siemens Raja+ Direct On Line Starters,True,4,"{""brand"": ""Siemens"", ""initiators"": ""Direct On Line Starters"", ""title"": ""Raja+"", ""key_attributes"": null}","{""brand"": ""Siemens"", ""initiators"": ""Direct On Line Starters"", ""title"": ""Raja+"", ""key_attributes"": null}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0 1 kW,True,4,"{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INFK1FK2"", ""power"": ""1 kW"", ""part number"": ""1FK2104-7AK10-1MF0""}","{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INFK1FK2"", ""power"": ""1 kW"", ""part number"": ""1FK2104-7AK10-1MF0""}"
cg cooler motor,True,3,"{""attribute"": ""cg"", ""feature"": ""cooler"", ""power source"": ""motor""}","{""attribute"": ""cg"", ""feature"": ""cooler"", ""power source"": ""motor""}"
Makita 9047 Armature By PowerSpeed,True,3,"{""brand"": ""Makita"", ""attribute1"": ""Armature By PowerSpeed"", ""code"": ""9047""}","{""brand"": ""Makita"", ""attribute1"": ""Armature By PowerSpeed"", ""code"": ""9047""}"
Electric Motor Housing,True,2,"{""power source"": ""Electric Motor"", ""housing type"": ""Housing""}","{""power source"": ""Electric Motor"", ""housing type"": ""Housing""}"
Vibro Sifter Vibratory Motors,True,2,"{""sifting mechanism"": ""Vibro Sifter"", ""power source"": ""Vibratory Motors""}","{""sifting mechanism"": ""Vibro Sifter"", ""power source"": ""Vibratory Motors""}"
FL28STH45-0674A - Hybrid Stepper Motor,True,2,"{""product_code"": ""FL28STH45-"", ""motor_type"": ""Hybrid Stepper Motor""}","{""product_code"": ""FL28STH45-"", ""motor_type"": ""Hybrid Stepper Motor""}"
Single Phase D.C. Motor,True,2,"{""power"": ""Single Phase"", ""motor type"": ""D.C. Motor""}","{""power"": ""Single Phase"", ""motor type"": ""D.C. Motor""}"
electric torque,True,2,"{""power"": ""electric"", ""feature"": ""torque""}","{""power"": ""electric"", ""feature"": ""torque""}"
Godrej Lawkim Ac Motors,True,3,"{""brand"": ""Godrej"", ""motors"": ""Ac Motors"", ""attribute"": ""Lawkim""}","{""brand"": ""Godrej"", ""motors"": ""Ac Motors"", ""attribute"": ""Lawkim""}"
dual shaft FAN MOTOR,True,2,"{""component"": ""FAN"", ""motor type"": ""DUAL SHAFT FAN MOTOR""}","{""component"": ""FAN"", ""motor type"": ""DUAL SHAFT FAN MOTOR""}"
Crompton Electric Motor,True,2,"{""motor"": ""Electric Motor"", ""brand"": ""Crompton""}","{""motor"": ""Electric Motor"", ""brand"": ""Crompton""}"
Mini Fan Motor,True,2,"{""fan"": ""Mini"", ""motor type"": ""Fan Motor""}","{""fan"": ""Mini"", ""motor type"": ""Fan Motor""}"
3d minuture,True,2,"{""type"": ""miniture"", ""dimensions"": ""3d""}","{""type"": ""miniture"", ""dimensions"": ""3d""}"
Electric Motor with Gear,True,1,"{""power"": ""Electric Motor with Gear""}","{""power"": ""Electric Motor with Gear""}"
FL28STH45-0674AF-14 - Hybrid Stepper Motor,True,2,"{""key_attributes"": [""Hybrid"", ""Stepper Motor""], ""product_code"": ""FL28STH45-14 - Hybrid""}","{""key_attributes"": [""Hybrid"", ""Stepper Motor""], ""product_code"": ""FL28STH45-14 - Hybrid""}"
mixer-grinder-motor,True,1,"{""device"": ""mixer-grinder-motor""}","{""device"": ""mixer-grinder-motor""}"
Sew-eurodrive servo Motor cmp50m/pk/vr/rh1m/sm1,True,3,"{""attributes"": ""cmp50m/pk/vr/"", ""motor type"": ""servo Motor"", ""brand"": ""Sew-eurodrive""}","{""attributes"": ""cmp50m/pk/vr/"", ""motor type"": ""servo Motor"", ""brand"": ""Sew-eurodrive""}"
"Sew-eurodrive ,servo Motor ,cmp50m/pk/vr/rh1m/sm1",True,2,"{""attributes"": ""Sew-eurodrive ,servo Motor ,comp50m/pk/vr/"", ""size"": ""rh1m/sm1""}","{""attributes"": ""Sew-eurodrive ,servo Motor ,comp50m/pk/vr/"", ""size"": ""rh1m/sm1""}"
vane pneumatic actuator,True,2,"{""actuator"": ""vane"", ""type"": ""pneumatic actuator""}","{""actuator"": ""vane"", ""type"": ""pneumatic actuator""}"
Flange Mounted Motor,True,2,"{""mounting"": ""Flange Mounted"", ""power source"": ""Motor""}","{""mounting"": ""Flange Mounted"", ""power source"": ""Motor""}"
FL57STH56-2504ACF-25 - Hybrid Stepper Motor,True,2,"{""key_attributes"": [""Hybrid"", ""Stepper Motor""], ""part_number"": ""FL57STH56-125 - Dual Fan Drive""}","{""key_attributes"": [""Hybrid"", ""Stepper Motor""], ""part_number"": ""FL57STH56-125 - Dual Fan Drive""}"
FL57STH56-2804AF-01- Hybrid Stepper Motor,True,2,"{""key_attributes"": [""Hybrid"", ""Stepper Motor""], ""part_number"": ""FL57STH56-3604AF-01""}","{""key_attributes"": [""Hybrid"", ""Stepper Motor""], ""part_number"": ""FL57STH56-3604AF-01""}"
MU2 Dol Motor Starter,True,3,"{""motor"": ""Dol"", ""attribute"": ""Motor Starter"", ""code"": ""MU2""}","{""motor"": ""Dol"", ""attribute"": ""Motor Starter"", ""code"": ""MU2""}"
power tool cm4,True,2,"{""tool"": ""power tool"", ""cm"": ""cm4""}","{""tool"": ""power tool"", ""cm"": ""cm4""}"
power tool near delhi cm4,True,3,"{""tool"": ""power tool"", ""location"": ""near delhi"", ""cm"": ""cm4""}","{""tool"": ""power tool"", ""location"": ""near delhi"", ""cm"": ""cm4""}"
crompton-motors,True,1,"{""key"": ""crompton-motors""}","{""key"": ""crompton-motors""}"
Voltas AC Outdoor Fan Motor,True,3,"{""product"": ""Fan"", ""power source"": ""AC Outdoor Fan Motor"", ""brand"": ""Voltas""}","{""product"": ""Fan"", ""power source"": ""AC Outdoor Fan Motor"", ""brand"": ""Voltas""}"
Makita MT-950 Armature By PowerSpeed,False,0,"{""Model Number"": ""MT-950"", ""Armature By PowerSpeed"", ""Brand"": ""Makita""}",
1500 cfm FAN MOTOR,True,3,"{""fan type"": ""FAN"", ""motor"": ""MOTOR"", ""airflow rate"": ""1500 cfm""}","{""fan type"": ""FAN"", ""motor"": ""MOTOR"", ""airflow rate"": ""1500 cfm""}"
230v apex cool 410w exhaust fan motor,True,4,"{""power"": ""410w"", ""voltage"": ""230v"", ""brand/line"": ""apex cool"", ""component"": ""exhaust fan motor""}","{""power"": ""410w"", ""voltage"": ""230v"", ""brand/line"": ""apex cool"", ""component"": ""exhaust fan motor""}"
FL57STH76-2504ACF-ARK Hybrid Stepper Motor,True,3,"{""key_attributes"": ""Hybrid"", ""motor_type"": ""Stepper Motor"", ""part_number"": ""FL57STH76-3004ACF-ARK""}","{""key_attributes"": ""Hybrid"", ""motor_type"": ""Stepper Motor"", ""part_number"": ""FL57STH76-3004ACF-ARK""}"
Clogging Test,True,1,"{""test"": ""Clogging Test""}","{""test"": ""Clogging Test""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0,True,3,"{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part_number"": ""1FK2104-7AP10-1MF0""}","{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part_number"": ""1FK2104-7AP10-1MF0""}"
crompton motor 1 hp,True,2,"{""motor"": ""crompton"", ""power"": ""1 hp""}","{""motor"": ""crompton"", ""power"": ""1 hp""}"
crompton motor near tinsukia 1 hp,True,3,"{""motor"": ""crompton"", ""power"": ""near tinsukia"", ""hp"": ""1 hp""}","{""motor"": ""crompton"", ""power"": ""near tinsukia"", ""hp"": ""1 hp""}"
motorized pulley drum motor,True,2,"{""power source"": ""motorized"", ""drive type"": ""pulley drum motor""}","{""power source"": ""motorized"", ""drive type"": ""pulley drum motor""}"
crompton motor,True,2,"{""motor"": ""crompton"", ""key_attributes"": null}","{""motor"": ""crompton"", ""key_attributes"": null}"
Belimo Damper Fire Actuator,True,3,"{""Actuator"": ""Fire Actuator"", ""Damper"": ""Belimo"", ""Part"": ""Damper""}","{""Actuator"": ""Fire Actuator"", ""Damper"": ""Belimo"", ""Part"": ""Damper""}"
e42 90w 2850/3450rpm motor single phase,True,4,"{""power"": ""single phase"", ""motor speed"": ""2850/3400rpm"", ""wattage"": ""90w"", ""e-number"": ""e42""}","{""power"": ""single phase"", ""motor speed"": ""2850/3400rpm"", ""wattage"": ""90w"", ""e-number"": ""e42""}"
Slip Ring Assemblies,True,1,"{""assembly type"": ""Slip Ring Assemblies""}","{""assembly type"": ""Slip Ring Assemblies""}"
Siemens DOL Starter,True,2,"{""starter type"": ""DOL"", ""brand"": ""Siemens""}","{""starter type"": ""DOL"", ""brand"": ""Siemens""}"
pmdc gear motor 0-25-hp 25-200rpm 12-180volt,True,5,"{""motor"": ""pmdc"", ""gear type"": ""gear motor"", ""voltage"": ""12-180volt"", ""speed"": ""25-200rpm"", ""power"": ""0-25-hp""}","{""motor"": ""pmdc"", ""gear type"": ""gear motor"", ""voltage"": ""12-180volt"", ""speed"": ""25-200rpm"", ""power"": ""0-25-hp""}"
Vertical Motors,True,2,"{""orientation"": ""Vertical"", ""power source"": ""Motors""}","{""orientation"": ""Vertical"", ""power source"": ""Motors""}"
PowerSpeed Armature For Makita 9500 NB,False,0,"{""power"": ""PowerSpeed"", ""armature for makita"", ""number of items"": ""NB"", ""percentage"": ""9500""}",
side shaft gear motor,True,2,"{""drive"": ""side shaft"", ""power source"": ""gear motor""}","{""drive"": ""side shaft"", ""power source"": ""gear motor""}"
FEBRICATION BLOWER 1HP SINGLE PHASE,True,4,"{""power"": ""1HP"", ""phase"": ""SINGLE PHASE"", ""product type"": ""FEBRICATION"", ""blower"": ""BLOWER""}","{""power"": ""1HP"", ""phase"": ""SINGLE PHASE"", ""product type"": ""FEBRICATION"", ""blower"": ""BLOWER""}"
a40k/m566w/g7.2 (60 square pl gear),True,2,"{""attribute"": ""a40k/m568w/g7.2 (30 second)"",""type"": ""gear""}","{""attribute"": ""a40k/m568w/g7.2 (30 second)"", ""type"": ""gear""}"
1400 rpm single phase 230 v flange mounted 230v apex cool 410w exhaust fan motor,True,6,"{""fan type"": ""exhaust fan"", ""motor speed"": ""1400 rpm"", ""voltage"": ""single phase 230 v flange"", ""power consumption"": ""410w"", ""brand/designation"": ""apex cool"", ""operating voltage"": ""230v""}","{""fan type"": ""exhaust fan"", ""motor speed"": ""1400 rpm"", ""voltage"": ""single phase 230 v flange"", ""power consumption"": ""410w"", ""brand/designation"": ""apex cool"", ""operating voltage"": ""230v""}"
crompton 10 hp motor,True,2,"{""motor"": ""10 hp"", ""brand"": ""crompton""}","{""motor"": ""10 hp"", ""brand"": ""crompton""}"
foot mounting 1 piece 1440 rpm Single Phase Motors,True,4,"{""mounting"": ""foot"", ""quantity"": ""1 piece"", ""speed"": ""1440 rpm"", ""power source"": ""Single Phase Motors""}","{""mounting"": ""foot"", ""quantity"": ""1 piece"", ""speed"": ""1440 rpm"", ""power source"": ""Single Phase Motors""}"
ABB Servo Motors,True,1,"{""motors"": ""ABB Servo Motors""}","{""motors"": ""ABB Servo Motors""}"
20 HP Three Phase Electric Motor,True,2,"{""power"": ""Two Hundred Watts"", ""motor type"": ""Three Phase Electric Motor""}","{""power"": ""Two Hundred Watts"", ""motor type"": ""Three Phase Electric Motor""}"
1FK2104-6AF10-1MB0,True,1,"{""attribute"": ""1FK2104-7AP10-1MB0""}","{""attribute"": ""1FK2104-7AP10-1MB0""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0MA0 2.7 kW,True,4,"{""power"": ""2.7 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2106-3FA01-0MA0""}","{""power"": ""2.7 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2106-3FA01-0MA0""}"
mil 37 38 diaphragm actuators,True,2,"{""actuators"": ""diaphragm"", ""milestone"": ""mil 37 38""}","{""actuators"": ""diaphragm"", ""milestone"": ""mil 37 38""}"
Petrosa starter mini 1 KG,True,3,"{""product"": ""mini"", ""brand/name"": ""Petrosa starter"", ""weight"": ""1 KG""}","{""product"": ""mini"", ""brand/name"": ""Petrosa starter"", ""weight"": ""1 KG""}"
BRUSHLESS MOTOR DYS 1800KV,True,3,"{""motor"": ""BRUSHLESS MOTOR"", ""key_values"": [""DYS""], ""voltage"": ""1800KV""}","{""motor"": ""BRUSHLESS MOTOR"", ""key_values"": [""DYS""], ""voltage"": ""1800KV""}"
Petrosa starter mini 1KG,True,3,"{""product"": ""mini"", ""brand/name"": ""Petrosa starter"", ""weight"": ""1KG""}","{""product"": ""mini"", ""brand/name"": ""Petrosa starter"", ""weight"": ""1KG""}"
Petrosa starter mini 3 KG,True,3,"{""product"": ""mini"", ""weight"": ""3 KG"", ""brand"": ""Petrosa starter""}","{""product"": ""mini"", ""weight"": ""3 KG"", ""brand"": ""Petrosa starter""}"
Petrosa starter mini 3KG,True,3,"{""product"": ""mini"", ""weight"": ""3KG"", ""brand"": ""Petrosa starter""}","{""product"": ""mini"", ""weight"": ""3KG"", ""brand"": ""Petrosa starter""}"
Weishaupt Burner Servo Motor,True,2,"{""attribute"": ""Burner Servo Motor"", ""brand/supplier"": ""Weishaupt""}","{""attribute"": ""Burner Servo Motor"", ""brand/supplier"": ""Weishaupt""}"
Petrosa starter mini 8 KG,True,3,"{""product"": ""mini"", ""weight"": ""8 KG"", ""brand"": ""Petrosa starter""}","{""product"": ""mini"", ""weight"": ""8 KG"", ""brand"": ""Petrosa starter""}"
Petrosa starter mini 8KG,True,3,"{""product"": ""mini"", ""brand/name"": ""Petrosa starter"", ""weight"": ""8KG""}","{""product"": ""mini"", ""brand/name"": ""Petrosa starter"", ""weight"": ""8KG""}"
apex cool 410w single phase exhaust fan motor,True,4,"{""power"": ""single phase"", ""brand"": ""apex cool"", ""fan type"": ""exhaust fan motor"", ""wattage"": ""410w""}","{""power"": ""single phase"", ""brand"": ""apex cool"", ""fan type"": ""exhaust fan motor"", ""wattage"": ""410w""}"
danfoss original brand new h1b80/h1b110 motor,True,4,"{""brand"": ""danfoss"", ""condition"": ""original brand new"", ""motor"": ""motor"", ""product code"": ""h1b80/h1c110""}","{""brand"": ""danfoss"", ""condition"": ""original brand new"", ""motor"": ""motor"", ""product code"": ""h1b80/h1c110""}"
3 HP Three Phase Induction Motor 960 Rpm,True,3,"{""motor"": ""Three Phase Induction Motor"", ""speed"": ""960 Rpm"", ""power"": ""3 HP""}","{""motor"": ""Three Phase Induction Motor"", ""speed"": ""960 Rpm"", ""power"": ""3 HP""}"
gpn gear motor,True,2,"{""product"": ""gpn"", ""power source"": ""gear motor""}","{""product"": ""gpn"", ""power source"": ""gear motor""}"
Dol Motor Starters,True,2,"{""motor"": ""Dol"", ""features"": ""Starters""}","{""motor"": ""Dol"", ""features"": ""Starters""}"
Oil Starter Magnet Call,False,0,"{""magnet"": ""Magnet"", ""call"": ""Call"", ""oil starter""}",
AC MOTAR,True,2,"{""power"": ""AC"", ""brand/model"": ""MOTAR""}","{""power"": ""AC"", ""brand/model"": ""MOTAR""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1SB0 0.57 kW,True,4,"{""motor"": ""SERVO MOTOR"", ""power"": ""0.57 kilowatts"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2204-""}","{""motor"": ""SERVO MOTOR"", ""power"": ""0.57 kilowatts"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2204-""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0SB0 0.06 kW,True,4,"{""power"": ""0.06 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2104-5AK01-0SB0""}","{""power"": ""0.06 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2104-5AK01-0SB0""}"
50HP Abb Electric Motor,True,2,"{""power"": ""50HP"", ""brand"": ""Abb Electric Motor""}","{""power"": ""50HP"", ""brand"": ""Abb Electric Motor""}"
10 hp crompton motor,True,2,"{""motor"": ""crompton motor"", ""power"": ""10 hp""}","{""motor"": ""crompton motor"", ""power"": ""10 hp""}"
PowerSpeed Armature for Gsh-500 Bosch,True,3,"{""power"": ""PowerSpeed"", ""armature for"": ""Gsh-500"", ""brand"": ""Bosch""}","{""power"": ""PowerSpeed"", ""armature for"": ""Gsh-500"", ""brand"": ""Bosch""}"
SIEMENS SINAMICS S200 Servo Motor 1FL2306-4AC01-0HB0 0.1 kW,True,4,"{""power"": ""0.1 kW"", ""brand/series"": ""SIEMENS SINAMICS S250"", ""motor type"": ""Servo Motor"", ""part number"": ""1FL2306-""}","{""power"": ""0.1 kW"", ""brand/series"": ""SIEMENS SINAMICS S250"", ""motor type"": ""Servo Motor"", ""part number"": ""1FL2306-""}"
helical gear motor,True,1,"{""mechanism"": ""helical gear motor""}","{""mechanism"": ""helical gear motor""}"
3330601 Cummins Electronic Fuel Control Actuator,True,3,"{""query"": ""Cummins"", ""attribute"": ""Electronic Fuel Control Actuator"", ""part_number"": ""3330601""}","{""query"": ""Cummins"", ""attribute"": ""Electronic Fuel Control Actuator"", ""part_number"": ""3330601""}"
Stepper Motor,True,1,"{""motor"": ""Stepper Motor""}","{""motor"": ""Stepper Motor""}"
desert type copper 32 mm 1 cooler motor,True,4,"{""type"": ""desert type"", ""material"": ""copper"", ""size"": ""32 mm"", ""feature"": ""1 cooler motor""}","{""type"": ""desert type"", ""material"": ""copper"", ""size"": ""32 mm"", ""feature"": ""1 cooler motor""}"
9067/9069 Makita Armature By PowerSpeed,True,4,"{""key"": ""Armature"", ""brand"": ""Makita"", ""power_source"": ""By PowerSpeed"", ""part_number"": ""9067/9089""}","{""key"": ""Armature"", ""brand"": ""Makita"", ""power_source"": ""By PowerSpeed"", ""part_number"": ""9067/9089""}"
1 2 hp 775 12 v rs775 10000rpm 12v dc motor,True,5,"{""key"": ""rs775"", ""power"": ""1 2 hp"", ""voltage"": ""12v dc motor"", ""speed"": ""10000rpm"", ""attribute"": ""775""}","{""key"": ""rs775"", ""power"": ""1 2 hp"", ""voltage"": ""12v dc motor"", ""speed"": ""10000rpm"", ""attribute"": ""775""}"
5hp 3phase motor,True,2,"{""power"": ""5hp"", ""motor type"": ""3phase motor""}","{""power"": ""5hp"", ""motor type"": ""3phase motor""}"
Bharat Benz Aluminium Housing,True,2,"{""Housing"": ""Aluminium"", ""Brand"": ""Bharat Benz""}","{""Housing"": ""Aluminium"", ""Brand"": ""Bharat Benz""}"
